Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HACK|2025-09-02 13:30|83.0300|83.6400|82.8800|83.3198|29659|0.2898|0.3202|0.1500|BULLISH
HACK|2025-09-02 14:30|83.3860|83.4226|82.7900|82.8750|6206|0.5110|0.0366|0.0850|BEARISH
HACK|2025-09-02 15:30|82.7900|82.8200|82.5700|82.6800|13601|0.1100|0.0300|0.1100|BEARISH
HACK|2025-09-02 16:30|82.6896|82.9608|82.6896|82.9250|28362|0.2354|0.0358|0.0000|BULLISH
HACK|2025-09-02 17:30|83.0450|83.2400|82.8147|82.9368|6158|0.1082|0.1950|0.1221|BEARISH
HACK|2025-09-02 18:30|82.8700|83.1150|82.8100|83.0952|9722|0.2252|0.0198|0.0600|BULLISH
HACK|2025-09-02 19:30|83.0900|83.2800|82.9901|83.2800|5528|0.1900|0.0000|0.0999|BULLISH
HACK|2025-09-03 13:30|83.2200|83.2200|82.4200|82.5100|17151|0.7100|0.0000|0.0900|BEARISH
HACK|2025-09-03 14:30|82.7350|83.1000|82.7178|82.8500|17448|0.1150|0.2500|0.0172|BULLISH
HACK|2025-09-03 15:30|82.9500|83.2200|82.8170|83.0900|9722|0.1400|0.1300|0.1330|BULLISH
HACK|2025-09-03 16:30|83.0600|83.1100|82.9092|82.9092|14034|0.1508|0.0500|0.0000|BEARISH
HACK|2025-09-03 17:30|82.9459|82.9459|82.6200|82.8100|13546|0.1359|0.0000|0.1900|BEARISH
HACK|2025-09-03 18:30|82.7935|82.9150|82.7200|82.9150|8686|0.1215|0.0000|0.0735|BULLISH
HACK|2025-09-03 19:30|82.9150|83.2200|82.9150|83.2100|30314|0.2950|0.0100|0.0000|BULLISH
HACK|2025-09-04 13:30|83.3300|83.3300|82.1018|82.5200|13300|0.8100|0.0000|0.4182|BEARISH
HACK|2025-09-04 14:30|82.7125|83.1850|82.6500|83.1850|20388|0.4725|0.0000|0.0625|BULLISH
HACK|2025-09-04 15:30|83.1200|83.3200|83.1200|83.2100|6115|0.0900|0.1100|0.0000|BULLISH
HACK|2025-09-04 16:30|83.1950|83.5300|83.1950|83.5003|8186|0.3053|0.0297|0.0000|BULLISH
HACK|2025-09-04 17:30|83.5100|83.5885|83.3800|83.3800|6305|0.1300|0.0785|0.0000|BEARISH
HACK|2025-09-04 18:30|83.4756|83.4900|83.2113|83.2500|10857|0.2256|0.0144|0.0387|BEARISH
HACK|2025-09-04 19:30|83.2500|83.4400|83.2200|83.4000|5642|0.1500|0.0400|0.0300|BULLISH
HACK|2025-09-05 13:30|84.9600|85.2500|84.2668|84.3500|24420|0.6100|0.2900|0.0832|BEARISH
HACK|2025-09-05 14:30|84.1801|84.3300|83.8100|84.0959|6315|0.0842|0.1499|0.2859|BEARISH
HACK|2025-09-05 15:30|84.1900|84.4297|84.1000|84.3300|6262|0.1400|0.0997|0.0900|BULLISH
HACK|2025-09-05 16:30|84.4100|84.5462|84.1800|84.4500|8065|0.0400|0.0962|0.2300|BULLISH
HACK|2025-09-05 17:30|84.4750|84.7600|84.4288|84.6850|11717|0.2100|0.0750|0.0462|BULLISH
HACK|2025-09-05 18:30|84.7600|84.9200|84.6600|84.9100|7959|0.1500|0.0100|0.1000|BULLISH
HACK|2025-09-05 19:30|84.8608|84.9800|84.7350|84.9200|10631|0.0592|0.0600|0.1258|BULLISH
HACK|2025-09-08 13:30|85.2900|85.9960|85.2900|85.6700|19578|0.3800|0.3260|0.0000|BULLISH
HACK|2025-09-08 14:30|85.6500|86.0400|85.6500|85.8872|7937|0.2372|0.1528|0.0000|BULLISH
HACK|2025-09-08 15:30|85.8687|85.9000|85.7382|85.8450|3092|0.0237|0.0313|0.1068|BEARISH
HACK|2025-09-08 16:30|85.6301|85.9200|85.6301|85.8971|4847|0.2670|0.0229|0.0000|BULLISH
HACK|2025-09-08 17:30|85.9700|86.0000|85.7100|86.0000|5685|0.0300|0.0000|0.2600|BULLISH
HACK|2025-09-08 18:30|85.9750|86.1650|85.9701|85.9900|6380|0.0150|0.1750|0.0049|BULLISH
