Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IGV|2025-09-02 13:30|106.0500|107.3200|105.6700|107.2600|1042115|1.2100|0.0600|0.3800|BULLISH
IGV|2025-09-02 14:30|107.2600|107.3100|106.5575|106.6800|779586|0.5800|0.0500|0.1225|BEARISH
IGV|2025-09-02 15:30|106.6750|106.6750|106.2300|106.3254|569278|0.3496|0.0000|0.0954|BEARISH
IGV|2025-09-02 16:30|106.3950|106.8493|106.2700|106.8200|345908|0.4250|0.0293|0.1250|BULLISH
IGV|2025-09-02 17:30|106.8300|107.1000|106.6600|106.6700|459550|0.1600|0.2700|0.0100|BEARISH
IGV|2025-09-02 18:30|106.6750|107.0750|106.6050|107.0250|431729|0.3500|0.0500|0.0700|BULLISH
IGV|2025-09-02 19:30|107.0600|107.3200|106.9950|107.2800|818289|0.2200|0.0400|0.0650|BULLISH
IGV|2025-09-03 13:30|107.3600|107.5000|106.7650|107.3200|622504|0.0400|0.1400|0.5550|BEARISH
IGV|2025-09-03 14:30|107.3400|107.7000|107.2800|107.2800|600749|0.0600|0.3600|0.0000|BEARISH
IGV|2025-09-03 15:30|107.2900|107.5600|107.2200|107.3800|397480|0.0900|0.1800|0.0700|BULLISH
IGV|2025-09-03 16:30|107.3800|107.4700|107.1300|107.2300|372342|0.1500|0.0900|0.1000|BEARISH
IGV|2025-09-03 17:30|107.2200|107.2800|106.6500|106.8000|311055|0.4200|0.0600|0.1500|BEARISH
IGV|2025-09-03 18:30|106.8000|106.8900|106.5900|106.8500|284269|0.0500|0.0400|0.2100|BULLISH
IGV|2025-09-03 19:30|106.8400|107.3200|106.8400|107.2600|479230|0.4200|0.0600|0.0000|BULLISH
IGV|2025-09-04 13:30|106.5100|106.6800|105.3000|105.9800|1257994|0.5300|0.1700|0.6800|BEARISH
IGV|2025-09-04 14:30|105.9600|106.5000|105.9600|106.4600|499577|0.5000|0.0400|0.0000|BULLISH
IGV|2025-09-04 15:30|106.4550|106.5500|106.2350|106.2900|872590|0.1650|0.0950|0.0550|BEARISH
IGV|2025-09-04 16:30|106.2900|106.7900|106.2850|106.7700|437800|0.4800|0.0200|0.0050|BULLISH
IGV|2025-09-04 17:30|106.7800|106.8650|106.6050|106.7600|640091|0.0200|0.0850|0.1550|BEARISH
IGV|2025-09-04 18:30|106.7550|106.9350|106.6050|106.6450|978737|0.1100|0.1800|0.0400|BEARISH
IGV|2025-09-04 19:30|106.6500|106.9750|106.6019|106.9300|1146742|0.2800|0.0450|0.0481|BULLISH
IGV|2025-09-05 13:30|108.1000|108.6800|106.9300|107.0600|1597753|1.0400|0.5800|0.1300|BEARISH
IGV|2025-09-05 14:30|107.0400|107.3100|106.4550|107.3000|1140249|0.2600|0.0100|0.5850|BULLISH
IGV|2025-09-05 15:30|107.3000|107.5900|107.1250|107.5000|864065|0.2000|0.0900|0.1750|BULLISH
IGV|2025-09-05 16:30|107.5150|107.5700|107.2400|107.4250|332517|0.0900|0.0550|0.1850|BEARISH
IGV|2025-09-05 17:30|107.4200|107.8650|107.2500|107.8400|329008|0.4200|0.0250|0.1700|BULLISH
IGV|2025-09-05 18:30|107.8500|108.2550|107.7850|108.2200|422593|0.3700|0.0350|0.0650|BULLISH
IGV|2025-09-05 19:30|108.2300|108.2350|107.9500|108.1200|862300|0.1100|0.0050|0.1700|BEARISH
IGV|2025-09-08 13:30|109.0900|109.7300|108.8900|109.5100|1425834|0.4200|0.2200|0.2000|BULLISH
