Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XAR|2025-09-02 13:30|215.4200|216.9600|213.7200|215.9501|43016|0.5301|1.0099|1.7000|BULLISH
XAR|2025-09-02 14:30|216.6599|216.9000|215.9800|216.3400|25752|0.3199|0.2401|0.3600|BEARISH
XAR|2025-09-02 15:30|216.1750|216.3500|215.1000|215.2001|18440|0.9749|0.1750|0.1001|BEARISH
XAR|2025-09-02 16:30|215.3495|216.3300|215.3200|216.2765|11087|0.9270|0.0535|0.0295|BULLISH
XAR|2025-09-02 17:30|216.4707|217.1290|216.4707|216.9200|39701|0.4493|0.2090|0.0000|BULLISH
XAR|2025-09-02 18:30|217.1000|218.1520|217.0350|218.1090|15978|1.0090|0.0430|0.0650|BULLISH
XAR|2025-09-02 19:30|218.1800|218.2668|217.8200|217.8600|16494|0.3200|0.0868|0.0400|BEARISH
XAR|2025-09-03 13:30|218.5200|218.7500|216.5000|216.6217|34204|1.8983|0.2300|0.1217|BEARISH
XAR|2025-09-03 14:30|216.3000|216.8599|215.8800|215.8800|28019|0.4200|0.5599|0.0000|BEARISH
XAR|2025-09-03 15:30|215.8200|216.2800|215.4600|215.4600|10776|0.3600|0.4600|0.0000|BEARISH
XAR|2025-09-03 16:30|215.3600|215.3600|214.4701|214.5700|12304|0.7900|0.0000|0.0999|BEARISH
XAR|2025-09-03 17:30|214.8100|214.8868|214.1900|214.5900|8683|0.2200|0.0768|0.4000|BEARISH
XAR|2025-09-03 18:30|214.4000|214.4000|213.9000|213.9871|12229|0.4129|0.0000|0.0871|BEARISH
XAR|2025-09-03 19:30|213.9690|214.8200|213.9690|214.8000|9322|0.8310|0.0200|0.0000|BULLISH
XAR|2025-09-04 13:30|215.4200|215.4200|213.0800|215.3000|24340|0.1200|0.0000|2.2200|BEARISH
XAR|2025-09-04 14:30|215.3100|215.8900|214.8656|214.8656|16214|0.4444|0.5800|0.0000|BEARISH
XAR|2025-09-04 15:30|214.7400|215.3599|214.5501|214.6600|15176|0.0800|0.6199|0.1099|BEARISH
XAR|2025-09-04 16:30|214.7028|214.9299|214.5400|214.5542|15505|0.1486|0.2271|0.0142|BEARISH
XAR|2025-09-04 17:30|214.6600|214.7600|214.2257|214.5900|14755|0.0700|0.1000|0.3643|BEARISH
XAR|2025-09-04 18:30|214.8700|215.1850|214.7214|215.1750|7236|0.3050|0.0100|0.1486|BULLISH
XAR|2025-09-04 19:30|215.0900|215.5800|214.9500|215.5300|11010|0.4400|0.0500|0.1400|BULLISH
XAR|2025-09-05 13:30|216.8700|217.2600|212.3000|212.7243|36631|4.1457|0.3900|0.4243|BEARISH
XAR|2025-09-05 14:30|212.9000|213.3700|211.8000|213.2101|31329|0.3101|0.1599|1.1000|BULLISH
XAR|2025-09-05 15:30|213.3500|214.0900|213.3500|213.8300|8443|0.4800|0.2600|0.0000|BULLISH
XAR|2025-09-05 16:30|213.8500|214.9000|213.8272|214.7000|14884|0.8500|0.2000|0.0228|BULLISH
XAR|2025-09-05 17:30|214.5700|215.6889|214.5700|215.4550|8963|0.8850|0.2339|0.0000|BULLISH
XAR|2025-09-05 18:30|215.8600|216.8699|215.6100|216.8699|9353|1.0099|0.0000|0.2500|BULLISH
XAR|2025-09-05 19:30|216.6322|217.0900|216.5401|216.8100|9477|0.1778|0.2800|0.0921|BULLISH
XAR|2025-09-08 13:30|217.0300|217.5400|216.2280|217.2467|33080|0.2167|0.2933|0.8020|BULLISH
XAR|2025-09-08 14:30|217.1400|217.8700|217.0700|217.8600|27892|0.7200|0.0100|0.0700|BULLISH
XAR|2025-09-08 15:30|217.9100|218.0100|216.7900|216.9600|27320|0.9500|0.1000|0.1700|BEARISH
XAR|2025-09-08 16:30|216.9800|217.4200|216.5500|217.3800|10216|0.4000|0.0400|0.4300|BULLISH
XAR|2025-09-08 17:30|217.1501|217.4900|216.5800|217.4900|9476|0.3399|0.0000|0.5701|BULLISH
XAR|2025-09-08 18:30|217.4000|217.4600|217.0850|217.1800|12624|0.2200|0.0600|0.0950|BEARISH
XAR|2025-09-08 19:30|217.2900|217.7500|217.1901|217.7000|25590|0.4100|0.0500|0.0999|BULLISH
XAR|2025-09-09 13:30|217.3150|217.3150|214.6200|214.7450|45586|2.5700|0.0000|0.1250|BEARISH
XAR|2025-09-09 14:30|214.3900|214.7300|213.8900|214.2000|15130|0.1900|0.3400|0.3100|BEARISH
XAR|2025-09-09 15:30|214.1706|214.5800|213.7200|214.5800|12444|0.4094|0.0000|0.4506|BULLISH
XAR|2025-09-09 16:30|214.8200|214.8500|214.5300|214.8500|5644|0.0300|0.0000|0.2900|BULLISH
XAR|2025-09-09 17:30|215.1200|215.7023|215.0950|215.7023|8366|0.5823|0.0000|0.0250|BULLISH
XAR|2025-09-09 18:30|215.7074|216.0300|215.5401|215.6900|9183|0.0174|0.3226|0.1499|BEARISH
XAR|2025-09-09 19:30|215.7600|216.0600|215.3717|215.5200|8777|0.2400|0.3000|0.1483|BEARISH
XAR|2025-09-10 13:30|216.3700|218.3700|216.3700|218.1900|23468|1.8200|0.1800|0.0000|BULLISH
XAR|2025-09-10 14:30|218.1100|218.1300|217.0500|217.2750|23702|0.8350|0.0200|0.2250|BEARISH
XAR|2025-09-10 15:30|217.2900|217.6250|216.6600|216.8700|30031|0.4200|0.3350|0.2100|BEARISH
XAR|2025-09-10 16:30|217.0400|217.7960|217.0400|217.4900|37704|0.4500|0.3060|0.0000|BULLISH
XAR|2025-09-10 17:30|217.5900|217.6898|216.9200|217.0000|21015|0.5900|0.0998|0.0800|BEARISH
XAR|2025-09-10 18:30|217.1468|217.5650|216.9600|217.3500|11679|0.2032|0.2150|0.1868|BULLISH
XAR|2025-09-10 19:30|217.3400|218.4000|217.2850|218.4000|16043|1.0600|0.0000|0.0550|BULLISH
XAR|2025-09-11 13:30|218.8700|221.3600|218.8700|221.3600|23223|2.4900|0.0000|0.0000|BULLISH
XAR|2025-09-11 14:30|221.5000|222.5699|221.5000|222.1650|16715|0.6650|0.4049|0.0000|BULLISH
XAR|2025-09-11 15:30|222.2400|222.7600|222.1200|222.5747|12872|0.3347|0.1853|0.1200|BULLISH
XAR|2025-09-11 16:30|222.4200|222.8700|222.1300|222.1300|5487|0.2900|0.4500|0.0000|BEARISH
XAR|2025-09-11 17:30|222.0600|222.1000|221.2959|221.3899|8119|0.6701|0.0400|0.0940|BEARISH
XAR|2025-09-11 18:30|221.0600|221.0850|219.7300|220.4571|18813|0.6029|0.0250|0.7271|BEARISH
XAR|2025-09-11 19:30|221.0800|221.1700|220.6000|220.6500|11014|0.4300|0.0900|0.0500|BEARISH
XAR|2025-09-12 13:30|221.3900|222.1520|220.6000|220.6201|20873|0.7699|0.7620|0.0201|BEARISH
XAR|2025-09-12 14:30|220.4301|222.0500|220.4301|221.6700|16686|1.2399|0.3800|0.0000|BULLISH
XAR|2025-09-12 15:30|221.6100|221.7403|220.9800|221.1300|12036|0.4800|0.1303|0.1500|BEARISH
XAR|2025-09-12 16:30|221.1279|221.1700|220.7000|221.0400|13117|0.0879|0.0421|0.3400|BEARISH
XAR|2025-09-12 17:30|221.0500|222.0000|221.0499|221.9500|11242|0.9000|0.0500|0.0001|BULLISH
