Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLE|2025-09-02 13:30|90.1500|90.6800|89.4700|90.1800|4068200|0.0300|0.5000|0.6800|BULLISH
XLE|2025-09-02 14:30|90.1800|90.2200|89.9200|90.0600|2158858|0.1200|0.0400|0.1400|BEARISH
XLE|2025-09-02 15:30|90.0700|90.2950|90.0000|90.1800|1051393|0.1100|0.1150|0.0700|BULLISH
XLE|2025-09-02 16:30|90.1800|90.4550|90.1100|90.3900|847488|0.2100|0.0650|0.0700|BULLISH
XLE|2025-09-02 17:30|90.4000|90.5800|90.2100|90.2499|966256|0.1501|0.1800|0.0399|BEARISH
XLE|2025-09-02 18:30|90.2500|90.3300|89.9900|90.3250|1105468|0.0750|0.0050|0.2600|BULLISH
XLE|2025-09-02 19:30|90.3200|90.5200|90.3000|90.5200|2545647|0.2000|0.0000|0.0200|BULLISH
XLE|2025-09-03 13:30|89.8000|90.5450|88.6350|88.6600|4661512|1.1400|0.7450|0.0250|BEARISH
XLE|2025-09-03 14:30|88.6600|88.8800|88.4300|88.6750|2179717|0.0150|0.2050|0.2300|BULLISH
XLE|2025-09-03 15:30|88.6800|89.1300|88.6250|88.7500|2097468|0.0700|0.3800|0.0550|BULLISH
XLE|2025-09-03 16:30|88.7600|88.8050|88.5550|88.6800|1174857|0.0800|0.0450|0.1250|BEARISH
XLE|2025-09-03 17:30|88.6800|88.7350|88.3450|88.6300|1764578|0.0500|0.0550|0.2850|BEARISH
XLE|2025-09-03 18:30|88.6300|88.6342|88.1900|88.2250|1805890|0.4050|0.0042|0.0350|BEARISH
XLE|2025-09-03 19:30|88.2300|88.5500|88.1901|88.5100|3732214|0.2800|0.0400|0.0399|BULLISH
XLE|2025-09-04 13:30|88.5000|88.8500|88.1200|88.6000|3268065|0.1000|0.2500|0.3800|BULLISH
XLE|2025-09-04 14:30|88.6000|89.0900|88.5250|89.0000|1702749|0.4000|0.0900|0.0750|BULLISH
XLE|2025-09-04 15:30|88.9900|89.3900|88.9500|89.3500|1463787|0.3600|0.0400|0.0400|BULLISH
XLE|2025-09-04 16:30|89.3500|89.3900|89.1400|89.3500|920493|0.0000|0.0400|0.2100|BULLISH
XLE|2025-09-04 17:30|89.3300|89.4500|89.0834|89.0834|1172098|0.2466|0.1200|0.0000|BEARISH
XLE|2025-09-04 18:30|89.0900|89.1999|89.0200|89.1350|1642894|0.0450|0.0649|0.0700|BULLISH
XLE|2025-09-04 19:30|89.1300|89.1700|89.0250|89.0700|2292181|0.0600|0.0400|0.0450|BEARISH
XLE|2025-09-05 13:30|88.3500|88.6400|87.6400|87.8100|7501006|0.5400|0.2900|0.1700|BEARISH
XLE|2025-09-05 14:30|87.8150|87.8400|86.9900|87.1600|5119594|0.6550|0.0250|0.1700|BEARISH
XLE|2025-09-05 15:30|87.1650|87.4950|87.1150|87.3220|2177067|0.1570|0.1730|0.0500|BULLISH
XLE|2025-09-05 16:30|87.3300|87.5150|87.0700|87.0800|1507684|0.2500|0.1850|0.0100|BEARISH
XLE|2025-09-05 17:30|87.0900|87.2150|86.9150|87.1200|1674878|0.0300|0.0950|0.1750|BULLISH
XLE|2025-09-05 18:30|87.1150|87.3350|87.1100|87.2701|1708121|0.1551|0.0649|0.0050|BULLISH
XLE|2025-09-05 19:30|87.2800|87.4200|87.1350|87.3400|3478398|0.0600|0.0800|0.1450|BULLISH
XLE|2025-09-08 13:30|87.6500|88.0300|86.3850|86.5400|7055352|1.1100|0.3800|0.1550|BEARISH
XLE|2025-09-08 14:30|86.5300|87.2600|86.5000|87.1800|1867470|0.6500|0.0800|0.0300|BULLISH
