Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLI|2025-09-02 13:30|150.4200|150.7200|149.6400|150.4000|3077806|0.0200|0.3000|0.7600|BEARISH
XLI|2025-09-02 14:30|150.4000|150.4500|150.0650|150.1200|1701061|0.2800|0.0500|0.0550|BEARISH
XLI|2025-09-02 15:30|150.1200|150.1200|149.6100|149.7000|1075460|0.4200|0.0000|0.0900|BEARISH
XLI|2025-09-02 16:30|149.7100|150.0950|149.6300|150.0650|728122|0.3550|0.0300|0.0800|BULLISH
XLI|2025-09-02 17:30|150.0700|150.3900|150.0630|150.1200|687632|0.0500|0.2700|0.0070|BULLISH
XLI|2025-09-02 18:30|150.1150|150.4550|150.0600|150.3800|968881|0.2650|0.0750|0.0550|BULLISH
XLI|2025-09-02 19:30|150.3850|150.5800|150.3300|150.5600|1487900|0.1750|0.0200|0.0550|BULLISH
XLI|2025-09-03 13:30|150.5200|150.6200|149.7600|149.9000|2248730|0.6200|0.1000|0.1400|BEARISH
XLI|2025-09-03 14:30|149.9100|150.2000|149.7500|149.7700|1897227|0.1400|0.2900|0.0200|BEARISH
XLI|2025-09-03 15:30|149.7650|149.9200|149.4700|149.5650|1387906|0.2000|0.1550|0.0950|BEARISH
XLI|2025-09-03 16:30|149.5700|149.5850|149.2300|149.4900|1402998|0.0800|0.0150|0.2600|BEARISH
XLI|2025-09-03 17:30|149.4850|149.5400|149.1000|149.4550|1301671|0.0300|0.0550|0.3550|BEARISH
XLI|2025-09-03 18:30|149.4500|149.4500|149.1450|149.1450|1684302|0.3050|0.0000|0.0000|BEARISH
XLI|2025-09-03 19:30|149.1500|149.8500|149.1500|149.8300|1477732|0.6800|0.0200|0.0000|BULLISH
XLI|2025-09-04 13:30|150.0800|150.4700|149.6800|150.4700|2749443|0.3900|0.0000|0.4000|BULLISH
XLI|2025-09-04 14:30|150.4700|150.8900|150.4700|150.7550|1529446|0.2850|0.1350|0.0000|BULLISH
XLI|2025-09-04 15:30|150.7500|150.9700|150.7000|150.8700|1044105|0.1200|0.1000|0.0500|BULLISH
