Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLP|2025-09-02 13:30|80.9200|81.2000|80.3350|80.4550|4776030|0.4650|0.2800|0.1200|BEARISH
XLP|2025-09-02 14:30|80.4500|80.7200|80.3950|80.5800|2357013|0.1300|0.1400|0.0550|BULLISH
XLP|2025-09-02 15:30|80.5800|80.7450|80.5550|80.6000|1739436|0.0200|0.1450|0.0250|BULLISH
XLP|2025-09-02 16:30|80.6100|80.6300|80.5099|80.5600|1192426|0.0500|0.0200|0.0501|BEARISH
XLP|2025-09-02 17:30|80.5600|80.6750|80.5600|80.5800|970038|0.0200|0.0950|0.0000|BULLISH
XLP|2025-09-02 18:30|80.5900|80.6150|80.4400|80.5300|932251|0.0600|0.0250|0.0900|BEARISH
XLP|2025-09-02 19:30|80.5210|80.6900|80.5100|80.6500|2522497|0.1290|0.0400|0.0110|BULLISH
XLP|2025-09-03 13:30|80.2500|80.5400|79.9050|80.0000|3311261|0.2500|0.2900|0.0950|BEARISH
XLP|2025-09-03 14:30|79.9900|80.4300|79.9500|80.3850|1811089|0.3950|0.0450|0.0400|BULLISH
XLP|2025-09-03 15:30|80.3850|80.4200|80.1050|80.2000|1901858|0.1850|0.0350|0.0950|BEARISH
XLP|2025-09-03 16:30|80.1950|80.2850|80.0207|80.1300|1627932|0.0650|0.0900|0.1093|BEARISH
XLP|2025-09-03 17:30|80.1250|80.3350|80.0850|80.3150|1384110|0.1900|0.0200|0.0400|BULLISH
XLP|2025-09-03 18:30|80.3150|80.4350|80.2300|80.3800|1571718|0.0650|0.0550|0.0850|BULLISH
XLP|2025-09-03 19:30|80.3750|80.6251|80.3600|80.6050|2370556|0.2300|0.0201|0.0150|BULLISH
XLP|2025-09-04 13:30|80.7500|81.0500|80.5300|80.7000|4050870|0.0500|0.3000|0.1700|BEARISH
XLP|2025-09-04 14:30|80.7000|80.7900|80.6068|80.6350|1298607|0.0650|0.0900|0.0282|BEARISH
XLP|2025-09-04 15:30|80.6300|80.7300|80.5200|80.6050|1331778|0.0250|0.1000|0.0850|BEARISH
XLP|2025-09-04 16:30|80.6000|80.6250|80.4732|80.5350|985118|0.0650|0.0250|0.0618|BEARISH
XLP|2025-09-04 17:30|80.5300|80.5300|80.4400|80.5050|995771|0.0250|0.0000|0.0650|BEARISH
XLP|2025-09-04 18:30|80.5000|80.6000|80.4500|80.4950|1152713|0.0050|0.1000|0.0450|BEARISH
XLP|2025-09-04 19:30|80.4950|80.6500|80.4600|80.6300|2359005|0.1350|0.0200|0.0350|BULLISH
XLP|2025-09-05 13:30|80.6200|81.2800|80.5600|81.0300|4863307|0.4100|0.2500|0.0600|BULLISH
