Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLRE|2025-09-02 13:30|41.9300|42.0200|41.8300|41.9100|1754478|0.0200|0.0900|0.0800|BEARISH
XLRE|2025-09-02 14:30|41.9100|41.9350|41.7000|41.7600|654543|0.1500|0.0250|0.0600|BEARISH
XLRE|2025-09-02 15:30|41.7650|41.7650|41.6050|41.6200|363241|0.1450|0.0000|0.0150|BEARISH
XLRE|2025-09-02 16:30|41.6250|41.6756|41.5800|41.6450|809571|0.0200|0.0306|0.0450|BULLISH
XLRE|2025-09-02 17:30|41.6400|41.6650|41.4950|41.5300|458241|0.1100|0.0250|0.0350|BEARISH
XLRE|2025-09-02 18:30|41.5300|41.5372|41.4428|41.5000|677983|0.0300|0.0072|0.0572|BEARISH
XLRE|2025-09-02 19:30|41.4950|41.6100|41.4900|41.5800|2338796|0.0850|0.0300|0.0050|BULLISH
XLRE|2025-09-03 13:30|41.4700|41.6500|41.4200|41.5600|1555546|0.0900|0.0900|0.0500|BULLISH
XLRE|2025-09-03 14:30|41.5600|41.6650|41.5200|41.5650|673405|0.0050|0.1000|0.0400|BULLISH
XLRE|2025-09-03 15:30|41.5700|41.6000|41.4550|41.4900|402633|0.0800|0.0300|0.0350|BEARISH
XLRE|2025-09-03 16:30|41.4900|41.5350|41.4350|41.4700|330102|0.0200|0.0450|0.0350|BEARISH
XLRE|2025-09-03 17:30|41.4700|41.5200|41.3400|41.5100|409970|0.0400|0.0100|0.1300|BULLISH
XLRE|2025-09-03 18:30|41.5000|41.5200|41.3750|41.4250|994565|0.0750|0.0200|0.0500|BEARISH
XLRE|2025-09-03 19:30|41.4300|41.5100|41.4200|41.4900|1150654|0.0600|0.0200|0.0100|BULLISH
XLRE|2025-09-04 13:30|41.6400|41.8300|41.5450|41.5900|1174897|0.0500|0.1900|0.0450|BEARISH
XLRE|2025-09-04 14:30|41.5800|41.6200|41.4800|41.5800|389029|0.0000|0.0400|0.1000|BULLISH
XLRE|2025-09-04 15:30|41.5700|41.6099|41.4400|41.4500|470443|0.1200|0.0399|0.0100|BEARISH
XLRE|2025-09-04 16:30|41.4500|41.4681|41.3700|41.4400|332435|0.0100|0.0181|0.0700|BEARISH
XLRE|2025-09-04 17:30|41.4400|41.5250|41.4000|41.4950|407373|0.0550|0.0300|0.0400|BULLISH
XLRE|2025-09-04 18:30|41.4950|41.7250|41.4900|41.7150|1076631|0.2200|0.0100|0.0050|BULLISH
XLRE|2025-09-04 19:30|41.7150|41.7700|41.6800|41.7500|2085160|0.0350|0.0200|0.0350|BULLISH
XLRE|2025-09-05 13:30|41.9800|42.3900|41.9800|42.0600|1980277|0.0800|0.3300|0.0000|BULLISH
XLRE|2025-09-05 14:30|42.0700|42.1500|41.9300|42.1500|832377|0.0800|0.0000|0.1400|BULLISH
XLRE|2025-09-05 15:30|42.1500|42.1578|42.0600|42.0800|569803|0.0700|0.0078|0.0200|BEARISH
XLRE|2025-09-05 16:30|42.0800|42.1043|42.0300|42.0650|416910|0.0150|0.0243|0.0350|BEARISH
XLRE|2025-09-05 17:30|42.0600|42.0899|42.0150|42.0400|479752|0.0200|0.0299|0.0250|BEARISH
XLRE|2025-09-05 18:30|42.0350|42.1700|42.0350|42.1300|463515|0.0950|0.0400|0.0000|BULLISH
XLRE|2025-09-05 19:30|42.1350|42.2199|42.1100|42.1800|497195|0.0450|0.0399|0.0250|BULLISH
XLRE|2025-09-08 13:30|41.6600|41.9100|41.5500|41.6800|1893085|0.0200|0.2300|0.1100|BULLISH
XLRE|2025-09-08 14:30|41.6700|41.7250|41.6100|41.7200|878204|0.0500|0.0050|0.0600|BULLISH
XLRE|2025-09-08 15:30|41.7100|41.7571|41.6400|41.7000|534975|0.0100|0.0471|0.0600|BEARISH
XLRE|2025-09-08 16:30|41.7100|41.7850|41.7000|41.7650|593045|0.0550|0.0200|0.0100|BULLISH
XLRE|2025-09-08 17:30|41.7700|41.7850|41.6000|41.6550|398534|0.1150|0.0150|0.0550|BEARISH
XLRE|2025-09-08 18:30|41.6500|41.7100|41.6250|41.6800|646714|0.0300|0.0300|0.0250|BULLISH
XLRE|2025-09-08 19:30|41.6846|41.9200|41.6700|41.9000|1533934|0.2154|0.0200|0.0146|BULLISH
XLRE|2025-09-09 13:30|41.7700|41.8500|41.6750|41.7750|938960|0.0050|0.0750|0.0950|BULLISH
XLRE|2025-09-09 14:30|41.7700|41.7700|41.6619|41.7554|333421|0.0146|0.0000|0.0935|BEARISH
XLRE|2025-09-09 15:30|41.7550|41.7900|41.6650|41.7155|290307|0.0395|0.0350|0.0505|BEARISH
XLRE|2025-09-09 16:30|41.7100|41.7700|41.6728|41.7650|289124|0.0550|0.0050|0.0372|BULLISH
XLRE|2025-09-09 17:30|41.7600|41.8669|41.7600|41.8500|186853|0.0900|0.0169|0.0000|BULLISH
XLRE|2025-09-09 18:30|41.8500|41.8700|41.7550|41.7655|488496|0.0845|0.0200|0.0105|BEARISH
XLRE|2025-09-09 19:30|41.7650|41.8900|41.7450|41.8700|1688823|0.1050|0.0200|0.0200|BULLISH
XLRE|2025-09-10 13:30|41.8900|42.1800|41.8550|42.1500|1258285|0.2600|0.0300|0.0350|BULLISH
XLRE|2025-09-10 14:30|42.1400|42.1450|42.0200|42.0550|453541|0.0850|0.0050|0.0350|BEARISH
XLRE|2025-09-10 15:30|42.0600|42.1050|42.0000|42.0011|308722|0.0589|0.0450|0.0011|BEARISH
XLRE|2025-09-10 16:30|42.0100|42.0300|41.8936|41.9000|540448|0.1100|0.0200|0.0064|BEARISH
XLRE|2025-09-10 17:30|41.9000|41.9350|41.8332|41.8750|250436|0.0250|0.0350|0.0418|BEARISH
XLRE|2025-09-10 18:30|41.8750|41.9500|41.8450|41.8450|289472|0.0300|0.0750|0.0000|BEARISH
XLRE|2025-09-10 19:30|41.8445|41.9150|41.7900|41.8600|831383|0.0155|0.0550|0.0545|BULLISH
XLRE|2025-09-11 13:30|41.9200|42.3150|41.9150|42.2400|870318|0.3200|0.0750|0.0050|BULLISH
XLRE|2025-09-11 14:30|42.2400|42.3600|42.2000|42.3350|391358|0.0950|0.0250|0.0400|BULLISH
XLRE|2025-09-11 15:30|42.3350|42.4550|42.2850|42.4050|284590|0.0700|0.0500|0.0500|BULLISH
XLRE|2025-09-11 16:30|42.4050|42.4099|42.3000|42.3450|305096|0.0600|0.0049|0.0450|BEARISH
XLRE|2025-09-11 17:30|42.3450|42.4650|42.3239|42.4600|343056|0.1150|0.0050|0.0211|BULLISH
XLRE|2025-09-11 18:30|42.4550|42.5850|42.4150|42.5750|404966|0.1200|0.0100|0.0400|BULLISH
XLRE|2025-09-11 19:30|42.5800|42.6200|42.5000|42.5400|898868|0.0400|0.0400|0.0400|BEARISH
XLRE|2025-09-12 13:30|42.4200|42.5800|42.3850|42.4300|929881|0.0100|0.1500|0.0350|BULLISH
XLRE|2025-09-12 14:30|42.4350|42.4800|42.3650|42.3700|235662|0.0650|0.0450|0.0050|BEARISH
XLRE|2025-09-12 15:30|42.3800|42.3900|42.3100|42.3800|200091|0.0000|0.0100|0.0700|BULLISH
XLRE|2025-09-12 16:30|42.3800|42.4450|42.3545|42.4400|119330|0.0600|0.0050|0.0255|BULLISH
XLRE|2025-09-12 17:30|42.4400|42.4850|42.3910|42.4800|168939|0.0400|0.0050|0.0490|BULLISH
XLRE|2025-09-12 18:30|42.4850|42.5250|42.4450|42.4550|181880|0.0300|0.0400|0.0100|BEARISH
XLRE|2025-09-12 19:30|42.4500|42.4650|42.3300|42.3400|572019|0.1100|0.0150|0.0100|BEARISH
XLRE|2025-09-15 13:30|42.4000|42.5600|42.3550|42.4050|851736|0.0050|0.1550|0.0450|BULLISH
XLRE|2025-09-15 14:30|42.4050|42.5350|42.3674|42.3674|455184|0.0376|0.1300|0.0000|BEARISH
XLRE|2025-09-15 15:30|42.3601|42.4200|42.2100|42.3750|684945|0.0149|0.0450|0.1501|BULLISH
XLRE|2025-09-15 16:30|42.3700|42.3700|42.2350|42.2500|332028|0.1200|0.0000|0.0150|BEARISH
XLRE|2025-09-15 17:30|42.2581|42.3400|42.2550|42.2800|255081|0.0219|0.0600|0.0031|BULLISH
XLRE|2025-09-15 18:30|42.2850|42.3350|42.1850|42.3150|404500|0.0300|0.0200|0.1000|BULLISH
XLRE|2025-09-15 19:30|42.3200|42.3650|42.2650|42.2900|795645|0.0300|0.0450|0.0250|BEARISH
XLRE|2025-09-16 13:30|42.2600|42.3850|42.1150|42.1350|1137727|0.1250|0.1250|0.0200|BEARISH
XLRE|2025-09-16 14:30|42.1400|42.2400|42.0650|42.0901|776053|0.0499|0.1000|0.0251|BEARISH
XLRE|2025-09-16 15:30|42.1000|42.1300|41.9900|42.0050|476102|0.0950|0.0300|0.0150|BEARISH
XLRE|2025-09-16 16:30|42.0000|42.0700|41.9700|42.0599|443496|0.0599|0.0101|0.0300|BULLISH
XLRE|2025-09-16 17:30|42.0500|42.0700|42.0000|42.0600|411655|0.0100|0.0100|0.0500|BULLISH
XLRE|2025-09-16 18:30|42.0650|42.1650|42.0545|42.0735|533000|0.0085|0.0915|0.0105|BULLISH
XLRE|2025-09-16 19:30|42.0800|42.1300|42.0135|42.0550|1396382|0.0250|0.0500|0.0415|BEARISH
XLRE|2025-09-17 13:30|42.1700|42.4500|42.1200|42.3262|1416242|0.1562|0.1238|0.0500|BULLISH
XLRE|2025-09-17 14:30|42.3250|42.4800|42.3101|42.4100|501183|0.0850|0.0700|0.0149|BULLISH
XLRE|2025-09-17 15:30|42.4050|42.4300|42.3100|42.3200|398251|0.0850|0.0250|0.0100|BEARISH
XLRE|2025-09-17 16:30|42.3200|42.3600|42.2618|42.3038|904023|0.0162|0.0400|0.0420|BEARISH
XLRE|2025-09-17 17:30|42.3050|42.6500|42.2600|42.6203|1060516|0.3153|0.0297|0.0450|BULLISH
XLRE|2025-09-17 18:30|42.6200|42.6200|41.9900|42.1950|1691743|0.4250|0.0000|0.2050|BEARISH
XLRE|2025-09-17 19:30|42.1900|42.2000|41.9900|42.0300|1270229|0.1600|0.0100|0.0400|BEARISH
XLRE|2025-09-18 13:30|42.0450|42.2250|41.9450|42.1600|1665751|0.1150|0.0650|0.1000|BULLISH
XLRE|2025-09-18 14:30|42.1550|42.1950|41.9600|42.0650|604545|0.0900|0.0400|0.1050|BEARISH
XLRE|2025-09-18 15:30|42.0650|42.1750|42.0300|42.1750|464244|0.1100|0.0000|0.0350|BULLISH
XLRE|2025-09-18 16:30|42.1800|42.2600|42.1250|42.1397|334535|0.0403|0.0800|0.0147|BEARISH
XLRE|2025-09-18 17:30|42.1300|42.1700|42.0950|42.1300|379285|0.0000|0.0400|0.0350|BULLISH
XLRE|2025-09-18 18:30|42.1400|42.1799|42.0200|42.0300|528761|0.1100|0.0399|0.0100|BEARISH
