Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLV|2025-09-02 13:30|136.8900|137.7400|136.4609|137.2200|3824253|0.3300|0.5200|0.4291|BULLISH
XLV|2025-09-02 14:30|137.2150|137.4500|136.9200|137.0000|1814974|0.2150|0.2350|0.0800|BEARISH
XLV|2025-09-02 15:30|136.9800|137.2000|136.8400|136.9150|1347365|0.0650|0.2200|0.0750|BEARISH
XLV|2025-09-02 16:30|136.9000|137.1800|136.8300|137.0550|990392|0.1550|0.1250|0.0700|BULLISH
XLV|2025-09-02 17:30|137.0500|137.4700|137.0500|137.3000|811352|0.2500|0.1700|0.0000|BULLISH
XLV|2025-09-02 18:30|137.3000|137.4500|137.0000|137.4200|962810|0.1200|0.0300|0.3000|BULLISH
XLV|2025-09-02 19:30|137.4250|137.5350|137.3000|137.5000|2172307|0.0750|0.0350|0.1250|BULLISH
XLV|2025-09-03 13:30|137.1100|137.7600|136.8600|136.8950|2755923|0.2150|0.6500|0.0350|BEARISH
XLV|2025-09-03 14:30|136.9000|137.2650|136.8300|136.9150|1962118|0.0150|0.3500|0.0700|BULLISH
XLV|2025-09-03 15:30|136.9200|136.9500|136.4400|136.5400|1489167|0.3800|0.0300|0.1000|BEARISH
XLV|2025-09-03 16:30|136.5400|136.6450|136.2700|136.4050|1080773|0.1350|0.1050|0.1350|BEARISH
XLV|2025-09-03 17:30|136.4200|136.6850|136.2400|136.6250|1232845|0.2050|0.0600|0.1800|BULLISH
XLV|2025-09-03 18:30|136.6250|136.7950|136.5150|136.5700|981081|0.0550|0.1700|0.0550|BEARISH
XLV|2025-09-03 19:30|136.5600|136.9400|136.4950|136.9300|2927468|0.3700|0.0100|0.0650|BULLISH
XLV|2025-09-04 13:30|136.8000|137.4350|136.0800|137.0600|3706806|0.2600|0.3750|0.7200|BULLISH
XLV|2025-09-04 14:30|137.0700|137.2500|136.9150|137.1850|2182268|0.1150|0.0650|0.1550|BULLISH
XLV|2025-09-04 15:30|137.1900|137.3550|137.1300|137.1800|1247512|0.0100|0.1650|0.0500|BEARISH
XLV|2025-09-04 16:30|137.1700|137.3250|137.0500|137.3000|1447373|0.1300|0.0250|0.1200|BULLISH
XLV|2025-09-04 17:30|137.3100|137.4500|137.1350|137.1550|680200|0.1550|0.1400|0.0200|BEARISH
XLV|2025-09-04 18:30|137.1600|137.4650|137.0900|137.3200|817980|0.1600|0.1450|0.0700|BULLISH
XLV|2025-09-04 19:30|137.3100|137.4550|137.2000|137.4400|1517455|0.1300|0.0150|0.1100|BULLISH
XLV|2025-09-05 13:30|137.2800|138.3750|137.0500|137.7050|5407847|0.4250|0.6700|0.2300|BULLISH
XLV|2025-09-05 14:30|137.7000|138.0350|137.3500|137.9500|2577665|0.2500|0.0850|0.3500|BULLISH
XLV|2025-09-05 15:30|137.9550|138.0850|137.8400|137.8765|1608269|0.0785|0.1300|0.0365|BEARISH
XLV|2025-09-05 16:30|137.8800|137.9650|137.7250|137.7600|878463|0.1200|0.0850|0.0350|BEARISH
XLV|2025-09-05 17:30|137.7650|137.8750|137.4500|137.5900|1697834|0.1750|0.1100|0.1400|BEARISH
XLV|2025-09-05 18:30|137.5900|137.9100|137.5900|137.7650|958103|0.1750|0.1450|0.0000|BULLISH
XLV|2025-09-05 19:30|137.7650|137.9100|137.6200|137.9000|1422603|0.1350|0.0100|0.1450|BULLISH
XLV|2025-09-08 13:30|137.4600|137.6600|136.3700|136.8800|5430860|0.5800|0.2000|0.5100|BEARISH
XLV|2025-09-08 14:30|136.8700|137.6300|136.8400|137.3800|1819933|0.5100|0.2500|0.0300|BULLISH
XLV|2025-09-08 15:30|137.3900|137.4100|136.9450|136.9450|900778|0.4450|0.0200|0.0000|BEARISH
XLV|2025-09-08 16:30|136.9500|137.4055|136.8200|137.2750|1832559|0.3250|0.1305|0.1300|BULLISH
XLV|2025-09-08 17:30|137.2750|137.4300|137.0200|137.4250|1374721|0.1500|0.0050|0.2550|BULLISH
XLV|2025-09-08 18:30|137.4250|137.5200|137.2700|137.3000|1177014|0.1250|0.0950|0.0300|BEARISH
