Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XLY|2025-09-02 13:30|228.8100|230.2800|228.4900|230.1700|1913898|1.3600|0.1100|0.3200|BULLISH
XLY|2025-09-02 14:30|230.1600|230.1600|228.8500|228.9600|1375557|1.2000|0.0000|0.1100|BEARISH
XLY|2025-09-02 15:30|228.9300|229.0500|228.3062|228.9100|684370|0.0200|0.1200|0.6038|BEARISH
XLY|2025-09-02 16:30|228.9200|229.8000|228.8400|229.7300|638969|0.8100|0.0700|0.0800|BULLISH
XLY|2025-09-02 17:30|229.7400|230.1850|229.6100|229.6500|765675|0.0900|0.4450|0.0400|BEARISH
XLY|2025-09-02 18:30|229.7000|230.0500|229.5200|229.9000|843067|0.2000|0.1500|0.1800|BULLISH
XLY|2025-09-02 19:30|229.8700|230.1700|229.7950|230.0300|1004806|0.1600|0.1400|0.0750|BULLISH
XLY|2025-09-03 13:30|230.4700|231.5500|229.9200|231.1849|1225776|0.7149|0.3651|0.5500|BULLISH
XLY|2025-09-03 14:30|231.1900|232.2300|231.1900|231.5200|1410188|0.3300|0.7100|0.0000|BULLISH
XLY|2025-09-03 15:30|231.4900|232.0300|231.3500|231.6800|888929|0.1900|0.3500|0.1400|BULLISH
XLY|2025-09-03 16:30|231.6800|232.1000|231.4100|231.8100|660567|0.1300|0.2900|0.2700|BULLISH
XLY|2025-09-03 17:30|231.8100|231.8300|230.7700|230.8300|861108|0.9800|0.0200|0.0600|BEARISH
XLY|2025-09-03 18:30|230.8100|230.8100|230.4000|230.6250|663085|0.1850|0.0000|0.2250|BEARISH
XLY|2025-09-03 19:30|230.6200|231.2300|230.6200|230.9300|1150764|0.3100|0.3000|0.0000|BULLISH
XLY|2025-09-04 13:30|232.7200|233.8600|232.4200|233.2000|4097981|0.4800|0.6600|0.3000|BULLISH
XLY|2025-09-04 14:30|233.1900|233.6850|232.8900|233.6600|1772057|0.4700|0.0250|0.3000|BULLISH
XLY|2025-09-04 15:30|233.6600|234.0600|233.5700|233.6800|1257703|0.0200|0.3800|0.0900|BULLISH
XLY|2025-09-04 16:30|233.6700|233.9800|233.5900|233.9800|969505|0.3100|0.0000|0.0800|BULLISH
XLY|2025-09-04 17:30|233.9900|234.5500|233.8800|234.4600|867144|0.4700|0.0900|0.1100|BULLISH
XLY|2025-09-04 18:30|234.4700|234.9900|234.3200|234.7500|1533311|0.2800|0.2400|0.1500|BULLISH
XLY|2025-09-04 19:30|234.7500|235.2700|234.7350|235.1700|1613772|0.4200|0.1000|0.0150|BULLISH
XLY|2025-09-05 13:30|236.4000|237.8600|235.4800|235.7300|3994887|0.6700|1.4600|0.2500|BEARISH
XLY|2025-09-05 14:30|235.7300|235.8100|234.2600|235.2700|3712044|0.4600|0.0800|1.0100|BEARISH
XLY|2025-09-05 15:30|235.2800|235.4500|234.7000|234.9350|1915397|0.3450|0.1700|0.2350|BEARISH
XLY|2025-09-05 16:30|234.9500|235.3800|234.5600|235.0300|1615198|0.0800|0.3500|0.3900|BULLISH
XLY|2025-09-05 17:30|235.0300|235.2200|234.4800|234.9300|1274287|0.1000|0.1900|0.4500|BEARISH
XLY|2025-09-05 18:30|234.9200|235.1900|234.7100|234.9300|1394355|0.0100|0.2600|0.2100|BULLISH
XLY|2025-09-05 19:30|234.9350|235.2190|234.5700|235.1600|1438576|0.2250|0.0590|0.3650|BULLISH
XLY|2025-09-08 13:30|236.3300|236.7000|235.2400|236.1600|2494685|0.1700|0.3700|0.9200|BEARISH
XLY|2025-09-08 14:30|236.1500|236.5800|236.0900|236.4400|1629322|0.2900|0.1400|0.0600|BULLISH
XLY|2025-09-08 15:30|236.4400|236.5400|235.7900|235.9000|1087696|0.5400|0.1000|0.1100|BEARISH
XLY|2025-09-08 16:30|235.8950|235.9500|235.5300|235.9500|946023|0.0550|0.0000|0.3650|BULLISH
XLY|2025-09-08 17:30|235.9500|236.1000|235.3900|236.0850|743003|0.1350|0.0150|0.5600|BULLISH
XLY|2025-09-08 18:30|236.0800|236.1150|235.6000|235.6950|845604|0.3850|0.0350|0.0950|BEARISH
XLY|2025-09-08 19:30|235.7000|236.1200|235.6450|236.0900|1386404|0.3900|0.0300|0.0550|BULLISH
XLY|2025-09-09 13:30|235.8700|235.9350|234.6800|234.7500|2040601|1.1200|0.0650|0.0700|BEARISH
XLY|2025-09-09 14:30|234.7300|235.1100|234.1300|235.0100|1387095|0.2800|0.1000|0.6000|BULLISH
XLY|2025-09-09 15:30|235.0100|235.5650|234.8600|235.3700|645156|0.3600|0.1950|0.1500|BULLISH
