Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ETHA|2025-09-02 13:30|32.5650|33.2646|32.3411|33.0733|13574226|0.5083|0.1913|0.2239|BULLISH
ETHA|2025-09-02 14:30|33.0400|33.1199|32.6500|32.8100|5699270|0.2300|0.0799|0.1600|BEARISH
ETHA|2025-09-02 15:30|32.8000|32.8000|32.3350|32.3750|5139163|0.4250|0.0000|0.0400|BEARISH
ETHA|2025-09-02 16:30|32.3900|32.6300|32.3600|32.5900|3350769|0.2000|0.0400|0.0300|BULLISH
ETHA|2025-09-02 17:30|32.6000|32.7600|32.3500|32.4300|3406318|0.1700|0.1600|0.0800|BEARISH
ETHA|2025-09-02 18:30|32.4365|32.6300|32.2450|32.2700|4267237|0.1665|0.1935|0.0250|BEARISH
ETHA|2025-09-02 19:30|32.2700|32.3950|32.1800|32.3100|3360024|0.0400|0.0850|0.0900|BULLISH
ETHA|2025-09-03 13:30|33.1300|33.7400|33.0800|33.6200|17123609|0.4900|0.1200|0.0500|BULLISH
ETHA|2025-09-03 14:30|33.6212|33.9500|33.6212|33.7450|8685499|0.1238|0.2050|0.0000|BULLISH
ETHA|2025-09-03 15:30|33.7550|33.9800|33.7400|33.7416|4132787|0.0134|0.2250|0.0016|BEARISH
ETHA|2025-09-03 16:30|33.7500|33.9750|33.7200|33.9350|3207347|0.1850|0.0400|0.0300|BULLISH
ETHA|2025-09-03 17:30|33.9399|34.0100|33.7800|33.8444|2689931|0.0955|0.0701|0.0644|BEARISH
ETHA|2025-09-03 18:30|33.8450|33.8900|33.7335|33.7758|3244635|0.0692|0.0450|0.0423|BEARISH
ETHA|2025-09-03 19:30|33.7800|33.9000|33.7600|33.8650|5369280|0.0850|0.0350|0.0200|BULLISH
ETHA|2025-09-04 13:30|33.2750|33.3200|32.7300|32.9000|16442422|0.3750|0.0450|0.1700|BEARISH
ETHA|2025-09-04 14:30|32.9002|33.0200|32.4600|32.5699|9808154|0.3303|0.1198|0.1099|BEARISH
ETHA|2025-09-04 15:30|32.5650|32.6600|32.4000|32.4100|8100743|0.1550|0.0950|0.0100|BEARISH
ETHA|2025-09-04 16:30|32.4050|32.6850|32.3950|32.6400|4180219|0.2350|0.0450|0.0100|BULLISH
ETHA|2025-09-04 17:30|32.6435|32.6500|32.3450|32.3500|4087066|0.2935|0.0065|0.0050|BEARISH
ETHA|2025-09-04 18:30|32.3600|32.5650|32.2300|32.3400|11630265|0.0200|0.2050|0.1100|BEARISH
ETHA|2025-09-04 19:30|32.3350|32.3800|32.2247|32.3150|6020140|0.0200|0.0450|0.0903|BEARISH
ETHA|2025-09-05 13:30|33.8000|33.8900|32.6300|32.6500|24486785|1.1500|0.0900|0.0200|BEARISH
ETHA|2025-09-05 14:30|32.6600|32.6900|32.1400|32.4600|13840074|0.2000|0.0300|0.3200|BEARISH
ETHA|2025-09-05 15:30|32.4550|32.5499|32.3100|32.4099|4782581|0.0451|0.0949|0.0999|BEARISH
ETHA|2025-09-05 16:30|32.4100|32.5450|32.3600|32.4000|3599952|0.0100|0.1350|0.0400|BEARISH
ETHA|2025-09-05 17:30|32.4000|32.5300|32.2800|32.5041|3249279|0.1041|0.0259|0.1200|BULLISH
ETHA|2025-09-05 18:30|32.5053|32.7800|32.4900|32.7400|4726719|0.2347|0.0400|0.0153|BULLISH
ETHA|2025-09-05 19:30|32.7599|32.7900|32.6400|32.7799|4534570|0.0200|0.0101|0.1199|BULLISH
ETHA|2025-09-08 13:30|32.8500|32.9200|32.6300|32.8700|9145366|0.0200|0.0500|0.2200|BULLISH
ETHA|2025-09-08 14:30|32.8600|33.2000|32.8250|33.1800|6999494|0.3200|0.0200|0.0350|BULLISH
ETHA|2025-09-08 15:30|33.1700|33.1899|32.9126|33.0350|3460966|0.1350|0.0199|0.1224|BEARISH
ETHA|2025-09-08 16:30|33.0500|33.0500|32.7500|32.8599|2302682|0.1901|0.0000|0.1099|BEARISH
ETHA|2025-09-08 17:30|32.8550|32.8550|32.5400|32.7550|2570524|0.1000|0.0000|0.2150|BEARISH
ETHA|2025-09-08 18:30|32.7550|32.8200|32.5000|32.6150|5373937|0.1400|0.0650|0.1150|BEARISH
ETHA|2025-09-08 19:30|32.6300|32.6300|32.4016|32.4600|2589250|0.1700|0.0000|0.0584|BEARISH
ETHA|2025-09-09 13:30|32.8500|33.0200|32.5901|32.6948|9994935|0.1552|0.1700|0.1047|BEARISH
ETHA|2025-09-09 14:30|32.6900|32.6950|32.3800|32.4450|5732492|0.2450|0.0050|0.0650|BEARISH
ETHA|2025-09-09 15:30|32.4400|32.5000|32.3300|32.4100|3144579|0.0300|0.0600|0.0800|BEARISH
ETHA|2025-09-09 16:30|32.4000|32.4900|32.3300|32.3900|1917326|0.0100|0.0900|0.0600|BEARISH
ETHA|2025-09-09 17:30|32.3900|32.4800|32.3600|32.4499|1400978|0.0599|0.0301|0.0300|BULLISH
ETHA|2025-09-09 18:30|32.4500|32.5000|32.3900|32.4950|1703288|0.0450|0.0050|0.0600|BULLISH
ETHA|2025-09-09 19:30|32.5000|32.5300|32.4500|32.4800|2520244|0.0200|0.0300|0.0300|BEARISH
ETHA|2025-09-10 13:30|33.1000|33.7400|32.9750|33.5200|24491253|0.4200|0.2200|0.1250|BULLISH
ETHA|2025-09-10 14:30|33.5200|33.5800|33.3100|33.3546|4858232|0.1654|0.0600|0.0446|BEARISH
ETHA|2025-09-10 15:30|33.3550|33.4000|33.0100|33.0795|4405759|0.2755|0.0450|0.0695|BEARISH
ETHA|2025-09-10 16:30|33.0800|33.2800|32.8600|32.8900|4064144|0.1900|0.2000|0.0300|BEARISH
ETHA|2025-09-10 17:30|32.8700|33.0800|32.7500|32.7850|3791469|0.0850|0.2100|0.0350|BEARISH
ETHA|2025-09-10 18:30|32.7897|32.8900|32.5250|32.5827|4534573|0.2070|0.1003|0.0577|BEARISH
ETHA|2025-09-10 19:30|32.5800|32.7250|32.5100|32.7050|3693347|0.1250|0.0200|0.0700|BULLISH
ETHA|2025-09-11 13:30|33.3679|33.6450|33.2450|33.3768|14063670|0.0089|0.2682|0.1229|BULLISH
ETHA|2025-09-11 14:30|33.3754|33.5950|33.3600|33.4319|0|0.0565|0.1631|0.0154|BULLISH
ETHA|2025-09-11 15:30|33.4300|33.5300|33.3100|33.4050|12372152|0.0250|0.1000|0.0950|BEARISH
ETHA|2025-09-11 16:30|33.4050|33.6200|33.3600|33.5301|2044189|0.1251|0.0899|0.0450|BULLISH
ETHA|2025-09-11 17:30|33.5332|33.6500|33.3900|33.4390|4210154|0.0942|0.1168|0.0490|BEARISH
ETHA|2025-09-11 18:30|33.4390|33.5250|33.3800|33.4950|1447142|0.0560|0.0300|0.0590|BULLISH
