Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GLD|2025-09-02 13:30|320.8200|322.7028|320.2400|322.4500|7042326|1.6300|0.2528|0.5800|BULLISH
GLD|2025-09-02 14:30|322.4700|323.7700|321.8200|323.4150|3387803|0.9450|0.3550|0.6500|BULLISH
GLD|2025-09-02 15:30|323.4300|324.6600|323.3000|324.5100|2278625|1.0800|0.1500|0.1300|BULLISH
GLD|2025-09-02 16:30|324.5200|324.8800|324.2050|324.8100|1503691|0.2900|0.0700|0.3150|BULLISH
GLD|2025-09-02 17:30|324.8050|325.0600|324.4900|324.9946|1775895|0.1896|0.0654|0.3150|BULLISH
GLD|2025-09-02 18:30|324.9900|325.7500|324.5600|325.6100|2146028|0.6200|0.1400|0.4300|BULLISH
GLD|2025-09-02 19:30|325.6072|325.9200|325.2700|325.6300|2639269|0.0228|0.2900|0.3372|BULLISH
GLD|2025-09-03 13:30|327.7600|328.2900|326.7301|328.0600|3925648|0.3000|0.2300|1.0299|BULLISH
GLD|2025-09-03 14:30|328.0750|328.2150|327.2112|328.1607|1927823|0.0857|0.0543|0.8638|BULLISH
GLD|2025-09-03 15:30|328.1720|328.4700|327.8400|328.4500|1511805|0.2780|0.0200|0.3320|BULLISH
GLD|2025-09-03 16:30|328.4500|328.9300|328.3800|328.8300|1572453|0.3800|0.1000|0.0700|BULLISH
GLD|2025-09-03 17:30|328.8200|329.4500|328.8200|329.1008|2358079|0.2808|0.3492|0.0000|BULLISH
GLD|2025-09-03 18:30|329.1000|329.1000|327.8700|328.1000|2530166|1.0000|0.0000|0.2300|BEARISH
GLD|2025-09-03 19:30|328.0900|328.2800|327.8400|328.0800|1769297|0.0100|0.1900|0.2400|BEARISH
GLD|2025-09-04 13:30|327.0300|327.5600|325.3600|325.9300|3915939|1.1000|0.5300|0.5700|BEARISH
GLD|2025-09-04 14:30|325.9176|326.6300|325.7900|326.1600|1814438|0.2424|0.4700|0.1276|BULLISH
GLD|2025-09-04 15:30|326.1691|327.3200|326.1691|327.0100|1218967|0.8409|0.3100|0.0000|BULLISH
GLD|2025-09-04 16:30|327.0200|327.2250|326.4900|326.6800|934958|0.3400|0.2050|0.1900|BEARISH
GLD|2025-09-04 17:30|326.6407|326.6850|326.0250|326.3200|1268568|0.3207|0.0443|0.2950|BEARISH
GLD|2025-09-04 18:30|326.3299|326.7600|326.2500|326.6650|1147881|0.3351|0.0950|0.0799|BULLISH
GLD|2025-09-04 19:30|326.6700|326.8400|326.6100|326.7050|1055951|0.0350|0.1350|0.0600|BULLISH
