Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IBIT|2025-09-02 13:30|62.1350|63.3900|61.9400|63.3500|19534617|1.2150|0.0400|0.1950|BULLISH
IBIT|2025-09-02 14:30|63.3399|63.5399|63.0400|63.2450|7420167|0.0949|0.2000|0.2050|BEARISH
IBIT|2025-09-02 15:30|63.2400|63.2500|62.7700|62.7810|4529017|0.4590|0.0100|0.0110|BEARISH
IBIT|2025-09-02 16:30|62.7900|63.0500|62.7850|63.0067|3581702|0.2167|0.0433|0.0050|BULLISH
IBIT|2025-09-02 17:30|63.0050|63.1200|62.7100|62.7750|2726696|0.2300|0.1150|0.0650|BEARISH
IBIT|2025-09-02 18:30|62.7750|62.9859|62.6001|62.7850|3554809|0.0100|0.2009|0.1749|BULLISH
IBIT|2025-09-02 19:30|62.7750|62.9850|62.7300|62.9800|3138928|0.2050|0.0050|0.0450|BULLISH
IBIT|2025-09-03 13:30|63.2900|63.6100|63.1358|63.3450|9181933|0.0550|0.2650|0.1542|BULLISH
IBIT|2025-09-03 14:30|63.3700|63.9658|63.3650|63.6150|6148171|0.2450|0.3508|0.0050|BULLISH
IBIT|2025-09-03 15:30|63.6100|63.8800|63.6000|63.6450|4016813|0.0350|0.2350|0.0100|BULLISH
IBIT|2025-09-03 16:30|63.6500|63.9500|63.4642|63.9200|3512608|0.2700|0.0300|0.1858|BULLISH
IBIT|2025-09-03 17:30|63.9250|64.0000|63.7100|63.7300|3437752|0.1950|0.0750|0.0200|BEARISH
IBIT|2025-09-03 18:30|63.7200|63.7250|63.4980|63.5800|3190276|0.1400|0.0050|0.0820|BEARISH
IBIT|2025-09-03 19:30|63.5850|63.7900|63.5000|63.7650|3958011|0.1800|0.0250|0.0850|BULLISH
IBIT|2025-09-04 13:30|62.9200|63.0100|62.2750|62.4384|9442759|0.4816|0.0900|0.1634|BEARISH
IBIT|2025-09-04 14:30|62.4350|62.6060|62.0650|62.1772|6049344|0.2578|0.1710|0.1122|BEARISH
IBIT|2025-09-04 15:30|62.1750|62.2800|62.0800|62.1100|3463387|0.0650|0.1050|0.0300|BEARISH
IBIT|2025-09-04 16:30|62.1156|62.3800|62.0700|62.3300|3330342|0.2144|0.0500|0.0456|BULLISH
IBIT|2025-09-04 17:30|62.3300|62.5700|62.2100|62.4050|2473557|0.0750|0.1650|0.1200|BULLISH
IBIT|2025-09-04 18:30|62.4100|62.5599|62.2841|62.4650|2541496|0.0550|0.0949|0.1259|BULLISH
IBIT|2025-09-04 19:30|62.4650|62.4872|62.2900|62.3400|3059640|0.1250|0.0222|0.0500|BEARISH
IBIT|2025-09-05 13:30|64.1200|64.3432|62.9300|62.9800|18230642|1.1400|0.2232|0.0500|BEARISH
IBIT|2025-09-05 14:30|62.9750|63.0565|62.5700|62.9400|7805172|0.0350|0.0815|0.3700|BEARISH
IBIT|2025-09-05 15:30|62.9350|63.0400|62.7200|62.8500|5382934|0.0850|0.1050|0.1300|BEARISH
