Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SLVR|2025-09-02 13:30|36.2400|36.4800|35.3661|36.2782|182357|0.0382|0.2018|0.8739|BULLISH
SLVR|2025-09-02 14:30|36.3200|36.7500|36.1200|36.7500|56012|0.4300|0.0000|0.2000|BULLISH
SLVR|2025-09-02 15:30|36.7300|36.8492|36.4500|36.5899|37910|0.1401|0.1192|0.1399|BEARISH
SLVR|2025-09-02 16:30|36.5894|36.6100|36.4424|36.4500|32439|0.1394|0.0206|0.0076|BEARISH
SLVR|2025-09-02 17:30|36.4500|36.6600|36.4200|36.5252|39682|0.0752|0.1348|0.0300|BULLISH
SLVR|2025-09-02 18:30|36.6200|36.6690|36.2700|36.4700|44610|0.1500|0.0490|0.2000|BEARISH
SLVR|2025-09-02 19:30|36.4994|36.7899|36.4632|36.7800|49776|0.2806|0.0099|0.0362|BULLISH
SLVR|2025-09-03 13:30|37.3300|37.3700|36.7800|37.1000|99362|0.2300|0.0400|0.3200|BEARISH
SLVR|2025-09-03 14:30|37.1100|37.1491|36.7500|37.0000|35308|0.1100|0.0391|0.2500|BEARISH
SLVR|2025-09-03 15:30|37.0200|37.1700|36.9500|37.0490|27497|0.0290|0.1210|0.0700|BULLISH
SLVR|2025-09-03 16:30|36.9500|37.0400|36.6201|36.7123|29369|0.2377|0.0900|0.0922|BEARISH
SLVR|2025-09-03 17:30|36.7400|36.8900|36.6900|36.8300|40877|0.0900|0.0600|0.0500|BULLISH
SLVR|2025-09-03 18:30|36.8047|36.8047|36.4560|36.5876|25382|0.2171|0.0000|0.1316|BEARISH
SLVR|2025-09-03 19:30|36.5436|37.0156|36.5436|36.9500|25282|0.4064|0.0656|0.0000|BULLISH
SLVR|2025-09-04 13:30|36.7000|36.8400|35.7000|35.8100|113834|0.8900|0.1400|0.1100|BEARISH
SLVR|2025-09-04 14:30|35.9600|36.1400|35.9106|36.0740|25551|0.1140|0.0660|0.0494|BULLISH
