Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
USO|2025-09-02 13:30|76.0800|76.1700|75.6700|75.9100|1261451|0.1700|0.0900|0.2400|BEARISH
USO|2025-09-02 14:30|75.9000|76.5400|75.7600|76.3800|883559|0.4800|0.1600|0.1400|BULLISH
USO|2025-09-02 15:30|76.3950|76.8300|76.3400|76.7693|774755|0.3743|0.0607|0.0550|BULLISH
USO|2025-09-02 16:30|76.7700|76.9600|76.6700|76.8682|550789|0.0982|0.0918|0.1000|BULLISH
USO|2025-09-02 17:30|76.8700|76.9455|76.6200|76.7700|1027589|0.1000|0.0755|0.1500|BEARISH
USO|2025-09-02 18:30|76.7800|76.9000|76.6500|76.8000|622406|0.0200|0.1000|0.1300|BULLISH
USO|2025-09-02 19:30|76.8000|76.8450|76.7650|76.7800|223872|0.0200|0.0450|0.0150|BEARISH
USO|2025-09-03 13:30|75.6100|75.7100|74.7600|74.8000|1998358|0.8100|0.1000|0.0400|BEARISH
USO|2025-09-03 14:30|74.8400|75.0100|74.6800|74.7000|783492|0.1400|0.1700|0.0200|BEARISH
USO|2025-09-03 15:30|74.7000|75.8300|74.6800|75.1800|1733428|0.4800|0.6500|0.0200|BULLISH
USO|2025-09-03 16:30|75.1800|75.2600|74.7900|74.8100|509262|0.3700|0.0800|0.0200|BEARISH
USO|2025-09-03 17:30|74.8100|74.9200|74.5900|74.9100|530952|0.1000|0.0100|0.2200|BULLISH
USO|2025-09-03 18:30|74.9100|74.9100|74.6600|74.6650|317453|0.2450|0.0000|0.0050|BEARISH
USO|2025-09-03 19:30|74.6700|74.8750|74.6600|74.8200|291360|0.1500|0.0550|0.0100|BULLISH
USO|2025-09-04 13:30|73.8700|74.2600|73.7500|74.1530|1424449|0.2830|0.1070|0.1200|BULLISH
USO|2025-09-04 14:30|74.1500|74.4200|73.9700|74.4000|675655|0.2500|0.0200|0.1800|BULLISH
USO|2025-09-04 15:30|74.4000|74.5500|74.0800|74.4445|662050|0.0445|0.1055|0.3200|BULLISH
USO|2025-09-04 16:30|74.4400|74.5300|74.2400|74.4000|423215|0.0400|0.0900|0.1600|BEARISH
USO|2025-09-04 17:30|74.4000|74.4700|74.1900|74.2600|524306|0.1400|0.0700|0.0700|BEARISH
USO|2025-09-04 18:30|74.2700|74.2800|74.1100|74.1500|268654|0.1200|0.0100|0.0400|BEARISH
USO|2025-09-04 19:30|74.1500|74.1700|74.0250|74.1300|432527|0.0200|0.0200|0.1050|BEARISH
USO|2025-09-05 13:30|73.0200|73.0200|72.4350|72.4750|1438243|0.5450|0.0000|0.0400|BEARISH
USO|2025-09-05 14:30|72.4800|72.6200|71.9900|72.0300|1118978|0.4500|0.1400|0.0400|BEARISH
USO|2025-09-05 15:30|72.0400|72.2900|71.9600|72.0800|779473|0.0400|0.2100|0.0800|BULLISH
USO|2025-09-05 16:30|72.0850|72.4200|72.0800|72.2850|424225|0.2000|0.1350|0.0050|BULLISH
USO|2025-09-05 17:30|72.2850|72.5400|72.1200|72.4400|523096|0.1550|0.1000|0.1650|BULLISH
USO|2025-09-05 18:30|72.4400|72.6800|72.4150|72.5950|293429|0.1550|0.0850|0.0250|BULLISH
USO|2025-09-05 19:30|72.6000|72.6700|72.5150|72.6200|433703|0.0200|0.0500|0.0850|BULLISH
USO|2025-09-08 13:30|73.4900|73.5400|72.5700|72.8350|1273260|0.6550|0.0500|0.2650|BEARISH
USO|2025-09-08 14:30|72.8300|73.3600|72.7600|73.1800|777291|0.3500|0.1800|0.0700|BULLISH
USO|2025-09-08 15:30|73.1800|73.2700|72.9100|72.9550|489249|0.2250|0.0900|0.0450|BEARISH
USO|2025-09-08 16:30|72.9500|73.0450|72.8100|73.0350|291086|0.0850|0.0100|0.1400|BULLISH
USO|2025-09-08 17:30|73.0350|73.1000|72.8100|72.9000|566970|0.1350|0.0650|0.0900|BEARISH
USO|2025-09-08 18:30|72.9000|73.0850|72.8900|73.0502|241005|0.1502|0.0348|0.0100|BULLISH
USO|2025-09-08 19:30|73.0550|73.0600|73.0100|73.0400|234315|0.0150|0.0050|0.0300|BEARISH
USO|2025-09-09 13:30|73.9300|74.2050|73.8200|74.1200|1051298|0.1900|0.0850|0.1100|BULLISH
USO|2025-09-09 14:30|74.0951|74.5200|73.9650|74.0200|777376|0.0751|0.4249|0.0550|BEARISH
USO|2025-09-09 15:30|74.0100|74.0100|73.5300|73.5600|667208|0.4500|0.0000|0.0300|BEARISH
USO|2025-09-09 16:30|73.5800|73.7058|73.4600|73.6700|231077|0.0900|0.0358|0.1200|BULLISH
USO|2025-09-09 17:30|73.6700|73.6700|73.2850|73.3800|407713|0.2900|0.0000|0.0950|BEARISH
USO|2025-09-09 18:30|73.3700|73.4950|73.3000|73.4800|212178|0.1100|0.0150|0.0700|BULLISH
USO|2025-09-09 19:30|73.4700|73.5200|73.3900|73.4000|632060|0.0700|0.0500|0.0100|BEARISH
USO|2025-09-10 13:30|74.0000|74.3400|73.9000|74.2250|641485|0.2250|0.1150|0.1000|BULLISH
USO|2025-09-10 14:30|74.2200|74.6800|73.7900|74.4950|2651102|0.2750|0.1850|0.4300|BULLISH
USO|2025-09-10 15:30|74.4900|75.0500|74.4050|74.9500|879976|0.4600|0.1000|0.0850|BULLISH
USO|2025-09-10 16:30|74.9500|75.0200|74.7500|74.8200|355940|0.1300|0.0700|0.0700|BEARISH
USO|2025-09-10 17:30|74.8200|74.8202|74.5900|74.6200|394418|0.2000|0.0002|0.0300|BEARISH
USO|2025-09-10 18:30|74.6300|74.8450|74.6200|74.7500|209326|0.1200|0.0950|0.0100|BULLISH
USO|2025-09-10 19:30|74.7600|74.7900|74.7300|74.7300|610188|0.0300|0.0300|0.0000|BEARISH
USO|2025-09-11 13:30|73.1900|73.5500|73.0700|73.2200|896535|0.0300|0.3300|0.1200|BULLISH
