Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AAPL|2025-09-02 13:30|228.7500|230.7800|227.6900|230.6000|9687341|1.8500|0.1800|1.0600|BULLISH
AAPL|2025-09-02 14:30|230.6000|230.7500|227.5284|227.8290|5124954|2.7710|0.1500|0.3006|BEARISH
AAPL|2025-09-02 15:30|227.8200|228.1469|227.1700|227.8500|3136378|0.0300|0.2969|0.6500|BULLISH
AAPL|2025-09-02 16:30|227.8437|228.5454|227.6500|228.4100|2530443|0.5663|0.1354|0.1937|BULLISH
AAPL|2025-09-02 17:30|228.4200|229.3400|228.3300|228.4000|2346892|0.0200|0.9200|0.0700|BEARISH
AAPL|2025-09-02 18:30|228.4000|229.0800|226.9700|228.9400|3504389|0.5400|0.1400|1.4300|BULLISH
AAPL|2025-09-02 19:30|228.9247|230.0000|228.8950|229.7100|4687318|0.7853|0.2900|0.0297|BULLISH
AAPL|2025-09-03 13:30|237.2000|237.9700|234.3700|236.8300|21171526|0.3700|0.7700|2.4600|BEARISH
AAPL|2025-09-03 14:30|236.8139|237.6000|235.9900|236.0110|8284903|0.8029|0.7861|0.0210|BEARISH
AAPL|2025-09-03 15:30|236.0200|236.8200|235.4900|236.4900|4830748|0.4700|0.3300|0.5300|BULLISH
AAPL|2025-09-03 16:30|236.4998|237.9000|236.4400|237.4272|4651843|0.9274|0.4728|0.0598|BULLISH
AAPL|2025-09-03 17:30|237.4250|237.4400|236.6300|236.9100|4344650|0.5150|0.0150|0.2800|BEARISH
AAPL|2025-09-03 18:30|236.9000|237.4500|236.7700|237.1550|4834362|0.2550|0.2950|0.1300|BULLISH
AAPL|2025-09-03 19:30|237.1558|238.7100|237.1504|238.4900|8891635|1.3342|0.2200|0.0054|BULLISH
AAPL|2025-09-04 13:30|238.4500|239.8932|237.0400|237.6900|12016131|0.7600|1.4432|0.6500|BEARISH
AAPL|2025-09-04 14:30|237.6800|238.1000|237.0750|237.4000|5223309|0.2800|0.4200|0.3250|BEARISH
AAPL|2025-09-04 15:30|237.3900|237.6746|236.7400|237.1600|3678939|0.2300|0.2846|0.4200|BEARISH
AAPL|2025-09-04 16:30|237.1500|238.0900|236.9700|238.0400|3071522|0.8900|0.0500|0.1800|BULLISH
AAPL|2025-09-04 17:30|238.0401|238.3900|237.5100|238.0600|5093419|0.0199|0.3300|0.5301|BULLISH
AAPL|2025-09-04 18:30|238.0700|238.9800|237.8800|238.7045|3814924|0.6345|0.2755|0.1900|BULLISH
AAPL|2025-09-04 19:30|238.7000|239.8999|238.4900|239.7100|5942248|1.0100|0.1899|0.2100|BULLISH
AAPL|2025-09-05 13:30|239.9900|241.3200|239.1200|239.2850|17499270|0.7050|1.3300|0.1650|BEARISH
AAPL|2025-09-05 14:30|239.2500|240.1700|238.6400|239.8050|6538203|0.5550|0.3650|0.6100|BULLISH
AAPL|2025-09-05 15:30|239.8200|240.3150|238.5200|238.7700|4219870|1.0500|0.4950|0.2500|BEARISH
AAPL|2025-09-05 16:30|238.7800|239.7250|238.4901|239.6250|3993359|0.8450|0.1000|0.2899|BULLISH
AAPL|2025-09-05 17:30|239.6485|239.6500|238.7300|239.1200|2784543|0.5285|0.0015|0.3900|BEARISH
AAPL|2025-09-05 18:30|239.1200|240.1300|239.1000|239.9250|5197093|0.8050|0.2050|0.0200|BULLISH
AAPL|2025-09-05 19:30|239.9300|240.0150|239.0600|239.6700|4868520|0.2600|0.0850|0.6100|BEARISH
AAPL|2025-09-08 13:30|239.3000|240.1500|238.7400|239.2300|11286441|0.0700|0.8500|0.4900|BEARISH
AAPL|2025-09-08 14:30|239.2200|239.5700|238.6150|238.7000|5248756|0.5200|0.3500|0.0850|BEARISH
