Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ABT|2025-09-02 13:30|132.6850|133.3950|131.6700|132.2400|678470|0.4450|0.7100|0.5700|BEARISH
ABT|2025-09-02 14:30|132.2200|132.3321|131.5500|131.6200|436708|0.6000|0.1121|0.0700|BEARISH
ABT|2025-09-02 15:30|131.6600|131.7900|131.1000|131.1200|362506|0.5400|0.1300|0.0200|BEARISH
ABT|2025-09-02 16:30|131.1150|131.4100|130.8400|130.8600|298364|0.2550|0.2950|0.0200|BEARISH
ABT|2025-09-02 17:30|130.8800|131.2900|130.8800|131.0500|311421|0.1700|0.2400|0.0000|BULLISH
ABT|2025-09-02 18:30|131.0300|131.7250|130.8600|131.6750|617383|0.6450|0.0500|0.1700|BULLISH
ABT|2025-09-02 19:30|131.6750|131.6900|131.0800|131.4000|740797|0.2750|0.0150|0.3200|BEARISH
ABT|2025-09-03 13:30|131.1500|131.6100|130.2100|130.8850|695665|0.2650|0.4600|0.6750|BEARISH
ABT|2025-09-03 14:30|130.8850|131.6600|130.5900|131.3400|567975|0.4550|0.3200|0.2950|BULLISH
ABT|2025-09-03 15:30|131.4000|131.5099|130.2400|130.5350|766887|0.8650|0.1099|0.2950|BEARISH
ABT|2025-09-03 16:30|130.4850|130.8000|130.2900|130.5300|266338|0.0450|0.2700|0.1950|BULLISH
ABT|2025-09-03 17:30|130.5400|131.3200|130.4600|131.1900|310740|0.6500|0.1300|0.0800|BULLISH
ABT|2025-09-03 18:30|131.1800|131.8500|131.1800|131.7000|516980|0.5200|0.1500|0.0000|BULLISH
ABT|2025-09-03 19:30|131.6900|132.1900|131.6250|132.1800|812977|0.4900|0.0100|0.0650|BULLISH
ABT|2025-09-04 13:30|132.1800|133.7500|131.7000|133.4650|706109|1.2850|0.2850|0.4800|BULLISH
ABT|2025-09-04 14:30|133.4900|133.8400|133.2500|133.5100|460629|0.0200|0.3300|0.2400|BULLISH
ABT|2025-09-04 15:30|133.4800|133.7700|133.2500|133.7000|334763|0.2200|0.0700|0.2300|BULLISH
ABT|2025-09-04 16:30|133.7200|133.7750|133.1700|133.2000|374916|0.5200|0.0550|0.0300|BEARISH
ABT|2025-09-04 17:30|133.1900|133.1900|132.6600|132.7150|420735|0.4750|0.0000|0.0550|BEARISH
ABT|2025-09-04 18:30|132.7100|133.1600|132.5800|132.5900|1024466|0.1200|0.4500|0.0100|BEARISH
ABT|2025-09-04 19:30|132.5800|132.8400|132.2810|132.8200|904585|0.2400|0.0200|0.2990|BULLISH
ABT|2025-09-05 13:30|132.5150|133.9800|132.4450|133.4550|430259|0.9400|0.5250|0.0700|BULLISH
ABT|2025-09-05 14:30|133.4300|134.3250|133.1700|133.6250|502270|0.1950|0.7000|0.2600|BULLISH
ABT|2025-09-05 15:30|133.6144|133.8700|133.1608|133.3100|263895|0.3044|0.2556|0.1492|BEARISH
ABT|2025-09-05 16:30|133.2984|133.5200|133.1848|133.4600|210975|0.1616|0.0600|0.1136|BULLISH
ABT|2025-09-05 17:30|133.4800|133.6616|132.8850|132.9150|208472|0.5650|0.1816|0.0300|BEARISH
ABT|2025-09-05 18:30|132.9400|133.2400|132.8200|133.2150|269621|0.2750|0.0250|0.1200|BULLISH
ABT|2025-09-05 19:30|133.2150|133.2900|132.7900|132.9500|409951|0.2650|0.0750|0.1600|BEARISH
ABT|2025-09-08 13:30|132.2600|133.0900|132.0000|132.4600|540772|0.2000|0.6300|0.2600|BULLISH
ABT|2025-09-08 14:30|132.4850|132.9200|131.7700|132.3100|450388|0.1750|0.4350|0.5400|BEARISH
ABT|2025-09-08 15:30|132.3100|132.3600|131.8486|131.8850|370581|0.4250|0.0500|0.0364|BEARISH
ABT|2025-09-08 16:30|131.8900|132.5000|131.7900|132.3600|299242|0.4700|0.1400|0.1000|BULLISH
ABT|2025-09-08 17:30|132.3800|132.4700|131.9000|132.1500|384355|0.2300|0.0900|0.2500|BEARISH
ABT|2025-09-08 18:30|132.1550|132.1800|131.6100|131.8700|430631|0.2850|0.0250|0.2600|BEARISH
ABT|2025-09-08 19:30|131.8800|132.4100|131.8103|132.2300|1011132|0.3500|0.1800|0.0697|BULLISH
ABT|2025-09-09 13:30|132.4500|133.1679|132.3000|132.3900|466176|0.0600|0.7179|0.0900|BEARISH
ABT|2025-09-09 14:30|132.4000|132.6100|131.6450|131.9100|454417|0.4900|0.2100|0.2650|BEARISH
ABT|2025-09-09 15:30|131.9100|132.3200|131.6600|131.9400|279713|0.0300|0.3800|0.2500|BULLISH
ABT|2025-09-09 16:30|131.9600|132.1800|131.7000|132.1550|540190|0.1950|0.0250|0.2600|BULLISH
ABT|2025-09-09 17:30|132.1700|132.7100|132.0100|132.1300|526238|0.0400|0.5400|0.1200|BEARISH
ABT|2025-09-09 18:30|132.1400|132.2600|131.7703|132.0100|492695|0.1300|0.1200|0.2397|BEARISH
ABT|2025-09-09 19:30|132.0200|132.3000|131.8100|131.9600|855775|0.0600|0.2800|0.1500|BEARISH
ABT|2025-09-10 13:30|131.8500|131.8500|129.4400|129.9050|1280948|1.9450|0.0000|0.4650|BEARISH
ABT|2025-09-10 14:30|129.9100|130.4300|128.3750|128.6450|745489|1.2650|0.5200|0.2700|BEARISH
ABT|2025-09-10 15:30|128.6400|129.1000|128.2500|128.4300|580823|0.2100|0.4600|0.1800|BEARISH
ABT|2025-09-10 16:30|128.4507|128.4800|127.4450|128.0300|662748|0.4207|0.0293|0.5850|BEARISH
ABT|2025-09-10 17:30|128.0250|128.8125|127.9200|128.3200|649840|0.2950|0.4925|0.1050|BULLISH
ABT|2025-09-10 18:30|128.3500|129.2550|128.3300|128.8710|894500|0.5210|0.3840|0.0200|BULLISH
ABT|2025-09-10 19:30|128.8800|129.6450|128.7300|129.3700|1219094|0.4900|0.2750|0.1500|BULLISH
ABT|2025-09-11 13:30|129.6900|130.7400|129.3975|130.3300|741899|0.6400|0.4100|0.2925|BULLISH
ABT|2025-09-11 14:30|130.2900|131.2600|130.1750|131.2100|476313|0.9200|0.0500|0.1150|BULLISH
ABT|2025-09-11 15:30|131.2300|131.5500|130.9400|131.5400|370729|0.3100|0.0100|0.2900|BULLISH
