Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ADBE|2025-09-02 13:30|350.0000|352.7131|345.4200|345.8500|928699|4.1500|2.7131|0.4300|BEARISH
ADBE|2025-09-02 14:30|345.6900|346.1100|342.0801|342.1700|624084|3.5200|0.4200|0.0899|BEARISH
ADBE|2025-09-02 15:30|342.1050|343.5400|341.2800|342.8850|489051|0.7800|0.6550|0.8250|BULLISH
ADBE|2025-09-02 16:30|342.8900|344.6300|342.1300|344.4100|354135|1.5200|0.2200|0.7600|BULLISH
ADBE|2025-09-02 17:30|344.4700|345.3100|343.0000|343.6600|360493|0.8100|0.8400|0.6600|BEARISH
ADBE|2025-09-02 18:30|343.7200|344.5600|343.2000|344.5100|303262|0.7900|0.0500|0.5200|BULLISH
ADBE|2025-09-02 19:30|344.5000|345.9400|344.4300|345.6500|684041|1.1500|0.2900|0.0700|BULLISH
ADBE|2025-09-03 13:30|345.8150|346.9500|343.3810|345.0200|533441|0.7950|1.1350|1.6390|BEARISH
ADBE|2025-09-03 14:30|345.0800|346.1500|344.2900|344.7800|326320|0.3000|1.0700|0.4900|BEARISH
ADBE|2025-09-03 15:30|344.8600|346.1650|343.5400|345.8600|262705|1.0000|0.3050|1.3200|BULLISH
ADBE|2025-09-03 16:30|345.7800|347.7188|345.7800|347.3200|222207|1.5400|0.3988|0.0000|BULLISH
ADBE|2025-09-03 17:30|347.2600|347.7400|345.8400|347.5600|274825|0.3000|0.1800|1.4200|BULLISH
ADBE|2025-09-03 18:30|347.5300|347.7500|345.9200|345.9900|372676|1.5400|0.2200|0.0700|BEARISH
ADBE|2025-09-03 19:30|345.9700|348.5100|345.8600|348.5000|619503|2.5300|0.0100|0.1100|BULLISH
ADBE|2025-09-04 13:30|342.1000|342.2400|332.6568|338.9350|1545648|3.1650|0.1400|6.2782|BEARISH
ADBE|2025-09-04 14:30|338.8400|341.6800|338.6100|341.6250|514507|2.7850|0.0550|0.2300|BULLISH
ADBE|2025-09-04 15:30|341.6000|343.6300|340.7400|341.3412|475553|0.2588|2.0300|0.6012|BEARISH
ADBE|2025-09-04 16:30|341.3800|341.5445|339.5100|341.3800|328015|0.0000|0.1645|1.8700|BULLISH
ADBE|2025-09-04 17:30|341.3000|342.3814|340.9500|342.0500|239935|0.7500|0.3314|0.3500|BULLISH
