Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AIG|2025-09-02 13:30|81.3800|81.4500|79.9000|80.3200|751736|1.0600|0.0700|0.4200|BEARISH
AIG|2025-09-02 14:30|80.3200|80.6800|80.3100|80.5000|524893|0.1800|0.1800|0.0100|BULLISH
AIG|2025-09-02 15:30|80.4900|80.6250|80.3200|80.3950|391034|0.0950|0.1350|0.0750|BEARISH
AIG|2025-09-02 16:30|80.3950|80.8400|80.3450|80.7900|395407|0.3950|0.0500|0.0500|BULLISH
AIG|2025-09-02 17:30|80.7850|80.9500|80.7750|80.9350|318062|0.1500|0.0150|0.0100|BULLISH
AIG|2025-09-02 18:30|80.9345|80.9900|80.7250|80.9750|442675|0.0405|0.0150|0.2095|BULLISH
AIG|2025-09-02 19:30|80.9750|81.1450|80.9650|81.0200|856966|0.0450|0.1250|0.0100|BULLISH
AIG|2025-09-03 13:30|80.6200|81.2800|80.4500|80.5500|398739|0.0700|0.6600|0.1000|BEARISH
AIG|2025-09-03 14:30|80.5600|80.8600|80.5450|80.8400|394081|0.2800|0.0200|0.0150|BULLISH
AIG|2025-09-03 15:30|80.8350|80.8850|80.6400|80.6800|201341|0.1550|0.0500|0.0400|BEARISH
AIG|2025-09-03 16:30|80.6750|81.0100|80.6750|81.0050|229521|0.3300|0.0050|0.0000|BULLISH
AIG|2025-09-03 17:30|81.0050|81.2700|80.8350|81.2050|333045|0.2000|0.0650|0.1700|BULLISH
AIG|2025-09-03 18:30|81.2050|81.2400|81.0000|81.1050|373438|0.1000|0.0350|0.1050|BEARISH
AIG|2025-09-03 19:30|81.1050|81.4500|81.1050|81.3400|876225|0.2350|0.1100|0.0000|BULLISH
AIG|2025-09-04 13:30|81.6800|81.9100|81.2400|81.4000|421876|0.2800|0.2300|0.1600|BEARISH
AIG|2025-09-04 14:30|81.4000|81.6200|81.2900|81.3500|381416|0.0500|0.2200|0.0600|BEARISH
AIG|2025-09-04 15:30|81.3450|81.5850|81.3200|81.5500|290967|0.2050|0.0350|0.0250|BULLISH
AIG|2025-09-04 16:30|81.5600|81.6800|81.4100|81.6400|221927|0.0800|0.0400|0.1500|BULLISH
AIG|2025-09-04 17:30|81.6300|81.9450|81.5550|81.7350|288466|0.1050|0.2100|0.0750|BULLISH
AIG|2025-09-04 18:30|81.7350|81.8800|81.5950|81.5950|356195|0.1400|0.1450|0.0000|BEARISH
AIG|2025-09-04 19:30|81.5990|81.8290|81.5600|81.7300|798804|0.1310|0.0990|0.0390|BULLISH
AIG|2025-09-05 13:30|81.4600|81.5250|80.4300|80.4700|525343|0.9900|0.0650|0.0400|BEARISH
AIG|2025-09-05 14:30|80.4800|80.4800|79.5250|80.0100|658120|0.4700|0.0000|0.4850|BEARISH
AIG|2025-09-05 15:30|80.0190|80.0300|79.6300|79.6500|391618|0.3690|0.0110|0.0200|BEARISH
AIG|2025-09-05 16:30|79.6600|79.7898|79.4700|79.4850|325923|0.1750|0.1298|0.0150|BEARISH
AIG|2025-09-05 17:30|79.4800|79.5300|78.8400|79.1000|441352|0.3800|0.0500|0.2600|BEARISH
AIG|2025-09-05 18:30|79.1000|79.2800|78.9900|79.1900|582559|0.0900|0.0900|0.1100|BULLISH
AIG|2025-09-05 19:30|79.1850|79.3600|79.0900|79.2300|889700|0.0450|0.1300|0.0950|BULLISH
AIG|2025-09-08 13:30|78.9300|79.1500|78.2100|78.9200|545175|0.0100|0.2200|0.7100|BEARISH
AIG|2025-09-08 14:30|78.9200|79.0935|78.7900|78.8700|445111|0.0500|0.1735|0.0800|BEARISH
AIG|2025-09-08 15:30|78.8650|78.8650|78.4900|78.6100|435194|0.2550|0.0000|0.1200|BEARISH
AIG|2025-09-08 16:30|78.6200|78.7000|78.5129|78.5500|336445|0.0700|0.0800|0.0371|BEARISH
AIG|2025-09-08 17:30|78.5550|78.5844|78.1500|78.2900|349103|0.2650|0.0294|0.1400|BEARISH
AIG|2025-09-08 18:30|78.2800|78.5850|78.2700|78.4650|521597|0.1850|0.1200|0.0100|BULLISH
AIG|2025-09-08 19:30|78.4700|78.9450|78.4410|78.7400|992051|0.2700|0.2050|0.0290|BULLISH
AIG|2025-09-09 13:30|78.6550|79.1900|78.5200|79.1650|435714|0.5100|0.0250|0.1350|BULLISH
AIG|2025-09-09 14:30|79.1650|79.1990|78.9300|79.1800|451217|0.0150|0.0190|0.2350|BULLISH
AIG|2025-09-09 15:30|79.1900|79.2700|78.7300|78.7400|388499|0.4500|0.0800|0.0100|BEARISH
AIG|2025-09-09 16:30|78.7500|78.8150|78.5750|78.7000|310162|0.0500|0.0650|0.1250|BEARISH
AIG|2025-09-09 17:30|78.7100|78.9700|78.7100|78.8550|320468|0.1450|0.1150|0.0000|BULLISH
AIG|2025-09-09 18:30|78.8550|78.9000|78.6600|78.6900|439252|0.1650|0.0450|0.0300|BEARISH
AIG|2025-09-09 19:30|78.6850|78.7000|78.4450|78.4700|663639|0.2150|0.0150|0.0250|BEARISH
AIG|2025-09-10 13:30|78.1600|78.9150|78.0000|78.4800|388575|0.3200|0.4350|0.1600|BULLISH
AIG|2025-09-10 14:30|78.4800|78.4800|77.7900|77.9050|516178|0.5750|0.0000|0.1150|BEARISH
AIG|2025-09-10 15:30|77.9200|78.2089|77.8200|77.8300|316961|0.0900|0.2889|0.0100|BEARISH
