Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AMD|2025-09-02 13:30|157.5000|161.9599|156.7400|161.8532|14904403|4.3532|0.1067|0.7600|BULLISH
AMD|2025-09-02 14:30|161.8300|161.8694|159.6900|160.8100|5381161|1.0200|0.0394|1.1200|BEARISH
AMD|2025-09-02 15:30|160.8100|160.9061|159.0600|159.2900|4349356|1.5200|0.0961|0.2300|BEARISH
AMD|2025-09-02 16:30|159.3000|160.5050|159.3000|160.2800|2769192|0.9800|0.2250|0.0000|BULLISH
AMD|2025-09-02 17:30|160.2650|160.7425|159.9800|160.1270|2823086|0.1380|0.4775|0.1470|BEARISH
AMD|2025-09-02 18:30|160.1200|161.5398|160.1100|161.3600|2601205|1.2400|0.1798|0.0100|BULLISH
AMD|2025-09-02 19:30|161.3500|162.3916|161.2510|162.3500|3529407|1.0000|0.0416|0.0990|BULLISH
AMD|2025-09-03 13:30|161.7800|163.6500|160.5800|162.6500|8471711|0.8700|1.0000|1.2000|BULLISH
AMD|2025-09-03 14:30|162.6700|163.6797|160.9600|161.0700|5390942|1.6000|1.0097|0.1100|BEARISH
AMD|2025-09-03 15:30|161.0400|162.2253|160.7300|161.7900|4193229|0.7500|0.4353|0.3100|BULLISH
AMD|2025-09-03 16:30|161.8100|161.8999|161.3300|161.5300|2666457|0.2800|0.0899|0.2000|BEARISH
AMD|2025-09-03 17:30|161.5100|161.9300|160.8200|161.0272|2137620|0.4828|0.4200|0.2072|BEARISH
AMD|2025-09-03 18:30|161.0100|161.4600|160.6226|161.0400|2188495|0.0300|0.4200|0.3874|BULLISH
AMD|2025-09-03 19:30|161.0300|164.7500|161.0250|162.1200|2900107|1.0900|2.6300|0.0050|BULLISH
AMD|2025-09-04 13:30|159.9350|160.3800|157.7900|159.7100|12406470|0.2250|0.4450|1.9200|BEARISH
AMD|2025-09-04 14:30|159.7309|160.6999|159.3400|160.4068|4408514|0.6759|0.2931|0.3909|BULLISH
AMD|2025-09-04 15:30|160.4100|160.4601|159.7126|160.3900|2569581|0.0200|0.0501|0.6774|BEARISH
AMD|2025-09-04 16:30|160.4000|160.8800|160.2500|160.7000|1871867|0.3000|0.1800|0.1500|BULLISH
AMD|2025-09-04 17:30|160.7100|161.3600|160.5700|160.6550|2425016|0.0550|0.6500|0.0850|BEARISH
AMD|2025-09-04 18:30|160.6400|161.8499|160.6200|161.7963|2409140|1.1563|0.0536|0.0200|BULLISH
AMD|2025-09-04 19:30|161.7900|162.0500|161.3900|161.7900|2969686|0.0000|0.2600|0.4000|BULLISH
AMD|2025-09-05 13:30|157.1200|157.1300|150.2900|150.5300|30292225|6.5900|0.0100|0.2400|BEARISH
AMD|2025-09-05 14:30|150.4550|151.8800|150.1800|151.7100|11589162|1.2550|0.1700|0.2750|BULLISH
AMD|2025-09-05 15:30|151.7200|153.3799|151.3200|152.4330|7261548|0.7130|0.9469|0.4000|BULLISH
AMD|2025-09-05 16:30|152.4600|153.2000|151.9300|151.9800|4614793|0.4800|0.7400|0.0500|BEARISH
AMD|2025-09-05 17:30|151.9800|152.6200|150.8000|152.0700|6065307|0.0900|0.5500|1.1800|BULLISH
AMD|2025-09-05 18:30|152.0750|153.1600|151.5100|152.4800|5817649|0.4050|0.6800|0.5650|BULLISH
AMD|2025-09-05 19:30|152.4800|152.5300|150.6100|151.1200|8850118|1.3600|0.0500|0.5100|BEARISH
AMD|2025-09-08 13:30|151.8000|152.5500|149.2200|151.5050|16327136|0.2950|0.7500|2.2850|BEARISH
AMD|2025-09-08 14:30|151.5068|152.6388|151.2800|152.2748|7516230|0.7680|0.3640|0.2268|BULLISH
AMD|2025-09-08 15:30|152.2600|152.3299|150.9400|151.2100|3457432|1.0500|0.0699|0.2700|BEARISH
AMD|2025-09-08 16:30|151.2050|151.3790|150.3900|150.5500|3526284|0.6550|0.1740|0.1600|BEARISH
AMD|2025-09-08 17:30|150.5700|151.6100|150.5500|151.2600|2970188|0.6900|0.3500|0.0200|BULLISH
AMD|2025-09-08 18:30|151.2510|151.6150|151.0800|151.2900|2339652|0.0390|0.3250|0.1710|BULLISH
AMD|2025-09-08 19:30|151.3000|151.8100|151.1100|151.3700|3219675|0.0700|0.4400|0.1900|BULLISH
AMD|2025-09-09 13:30|152.0350|154.2300|151.9500|153.8968|14439437|1.8618|0.3332|0.0850|BULLISH
AMD|2025-09-09 14:30|153.8800|154.2500|152.8900|153.5200|5748080|0.3600|0.3700|0.6300|BEARISH
AMD|2025-09-09 15:30|153.5000|154.5800|153.0000|154.3100|4242424|0.8100|0.2700|0.5000|BULLISH
AMD|2025-09-09 16:30|154.3050|154.7000|153.5500|154.2300|3054464|0.0750|0.3950|0.6800|BEARISH
AMD|2025-09-09 17:30|154.2300|155.4499|154.2100|155.3500|3672902|1.1200|0.0999|0.0200|BULLISH
AMD|2025-09-09 18:30|155.3500|155.6654|154.9150|155.2950|3570160|0.0550|0.3154|0.3800|BEARISH
AMD|2025-09-09 19:30|155.3038|156.0400|155.2000|155.8300|3932659|0.5262|0.2100|0.1038|BULLISH
AMD|2025-09-10 13:30|163.6200|164.5250|159.0200|161.2800|20018449|2.3400|0.9050|2.2600|BEARISH
AMD|2025-09-10 14:30|161.2750|162.3000|160.9000|161.4600|6382346|0.1850|0.8400|0.3750|BULLISH
AMD|2025-09-10 15:30|161.4750|161.7999|160.5200|160.5300|4036975|0.9450|0.3249|0.0100|BEARISH
AMD|2025-09-10 16:30|160.5200|160.9900|160.0600|160.7400|2897819|0.2200|0.2500|0.4600|BULLISH
AMD|2025-09-10 17:30|160.7350|161.3800|158.6001|158.7116|5020984|2.0234|0.6450|0.1115|BEARISH
