Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AVGO|2025-09-02 13:30|287.5550|295.5000|287.1100|295.5000|5687285|7.9450|0.0000|0.4450|BULLISH
AVGO|2025-09-02 14:30|295.4400|296.4710|293.9000|295.4650|2823610|0.0250|1.0060|1.5400|BULLISH
AVGO|2025-09-02 15:30|295.4000|295.4500|293.6000|294.9950|1701147|0.4050|0.0500|1.3950|BEARISH
AVGO|2025-09-02 16:30|295.0000|296.3950|294.8648|296.2772|2208554|1.2772|0.1178|0.1352|BULLISH
AVGO|2025-09-02 17:30|296.3000|297.7000|296.0315|296.6200|1142946|0.3200|1.0800|0.2685|BULLISH
AVGO|2025-09-02 18:30|296.5800|297.9000|296.5600|297.5100|1279658|0.9300|0.3900|0.0200|BULLISH
AVGO|2025-09-02 19:30|297.5100|298.6500|297.4800|298.2700|1810627|0.7600|0.3800|0.0300|BULLISH
AVGO|2025-09-03 13:30|302.2900|302.4669|296.4000|301.3700|4740773|0.9200|0.1769|4.9700|BEARISH
AVGO|2025-09-03 14:30|301.3250|304.4500|300.7101|302.2920|3765540|0.9670|2.1580|0.6149|BULLISH
AVGO|2025-09-03 15:30|302.3000|303.6384|301.4500|302.4300|1821866|0.1300|1.2084|0.8500|BULLISH
AVGO|2025-09-03 16:30|302.4300|303.0900|300.5700|302.3600|1168917|0.0700|0.6600|1.7900|BEARISH
AVGO|2025-09-03 17:30|302.3400|302.8019|300.0000|300.3500|1304740|1.9900|0.4619|0.3500|BEARISH
AVGO|2025-09-03 18:30|300.3350|300.5800|299.1398|300.1200|1127910|0.2150|0.2450|0.9802|BEARISH
AVGO|2025-09-03 19:30|300.1200|302.7300|300.1200|302.3900|2202826|2.2700|0.3400|0.0000|BULLISH
AVGO|2025-09-04 13:30|305.5000|308.7800|302.2501|303.6500|5520609|1.8500|3.2800|1.3999|BEARISH
AVGO|2025-09-04 14:30|303.5800|305.8700|303.4550|305.0000|1863301|1.4200|0.8700|0.1250|BULLISH
AVGO|2025-09-04 15:30|305.0050|305.7300|303.8800|304.9050|2279399|0.1000|0.7250|1.0250|BEARISH
