Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AXP|2025-09-02 13:30|326.6600|328.0700|322.7100|327.7900|579837|1.1300|0.2800|3.9500|BULLISH
AXP|2025-09-02 14:30|327.7900|328.6200|326.1300|327.2300|485400|0.5600|0.8300|1.1000|BEARISH
AXP|2025-09-02 15:30|327.3000|327.4500|325.9900|326.5400|360485|0.7600|0.1500|0.5500|BEARISH
AXP|2025-09-02 16:30|326.5250|328.4750|326.3900|328.3600|171519|1.8350|0.1150|0.1350|BULLISH
AXP|2025-09-02 17:30|328.3550|329.4600|328.3550|328.3640|282460|0.0090|1.0960|0.0000|BULLISH
AXP|2025-09-02 18:30|328.4300|330.6400|328.2650|330.5850|417655|2.1550|0.0550|0.1650|BULLISH
AXP|2025-09-02 19:30|330.6000|331.3800|330.4900|331.1600|450347|0.5600|0.2200|0.1100|BULLISH
AXP|2025-09-03 13:30|330.7500|332.0700|325.4000|326.8000|408835|3.9500|1.3200|1.4000|BEARISH
AXP|2025-09-03 14:30|326.7800|327.6000|325.2350|325.3850|293446|1.3950|0.8200|0.1500|BEARISH
AXP|2025-09-03 15:30|325.4000|325.7400|323.3600|324.2100|318236|1.1900|0.3400|0.8500|BEARISH
AXP|2025-09-03 16:30|324.2100|324.2800|322.4100|322.7700|312361|1.4400|0.0700|0.3600|BEARISH
AXP|2025-09-03 17:30|322.6500|322.8800|321.4100|322.7850|309263|0.1350|0.0950|1.2400|BULLISH
AXP|2025-09-03 18:30|322.7800|323.2800|321.9500|322.7600|354678|0.0200|0.5000|0.8100|BEARISH
AXP|2025-09-03 19:30|322.7900|324.2500|322.7900|323.6000|709145|0.8100|0.6500|0.0000|BULLISH
AXP|2025-09-04 13:30|325.0000|326.1000|322.8200|325.7500|461171|0.7500|0.3500|2.1800|BULLISH
AXP|2025-09-04 14:30|325.5300|327.5500|325.3800|327.3700|288173|1.8400|0.1800|0.1500|BULLISH
