Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BAC|2025-09-02 13:30|50.2200|50.3500|49.6700|50.2650|16034352|0.0450|0.0850|0.5500|BULLISH
BAC|2025-09-02 14:30|50.2600|50.4700|50.1950|50.2300|6526716|0.0300|0.2100|0.0350|BEARISH
BAC|2025-09-02 15:30|50.2350|50.2350|50.0650|50.1150|4357160|0.1200|0.0000|0.0500|BEARISH
BAC|2025-09-02 16:30|50.1192|50.2450|50.1100|50.1385|3288006|0.0193|0.1065|0.0092|BULLISH
BAC|2025-09-02 17:30|50.1350|50.2700|50.0500|50.0685|4272036|0.0665|0.1350|0.0185|BEARISH
BAC|2025-09-02 18:30|50.0650|50.2400|50.0500|50.2150|4265244|0.1500|0.0250|0.0150|BULLISH
BAC|2025-09-02 19:30|50.2150|50.4100|50.2100|50.4050|3995276|0.1900|0.0050|0.0050|BULLISH
BAC|2025-09-03 13:30|50.4000|50.5700|50.1250|50.3200|4351132|0.0800|0.1700|0.1950|BEARISH
BAC|2025-09-03 14:30|50.3200|50.3900|50.2200|50.2350|4192908|0.0850|0.0700|0.0150|BEARISH
BAC|2025-09-03 15:30|50.2300|50.2600|49.9250|49.9300|3539888|0.3000|0.0300|0.0050|BEARISH
BAC|2025-09-03 16:30|49.9300|50.0254|49.7000|49.9855|3985798|0.0555|0.0399|0.2300|BULLISH
BAC|2025-09-03 17:30|49.9850|50.0253|49.7100|49.9050|4004645|0.0800|0.0403|0.1950|BEARISH
BAC|2025-09-03 18:30|49.9050|49.9990|49.8500|49.8900|2495538|0.0150|0.0940|0.0400|BEARISH
BAC|2025-09-03 19:30|49.8900|50.0900|49.8800|50.0900|4773127|0.2000|0.0000|0.0100|BULLISH
BAC|2025-09-04 13:30|50.2400|50.5200|50.1200|50.4450|6342893|0.2050|0.0750|0.1200|BULLISH
BAC|2025-09-04 14:30|50.4450|50.4650|50.2500|50.2650|3659709|0.1800|0.0200|0.0150|BEARISH
BAC|2025-09-04 15:30|50.2669|50.6500|50.2046|50.5950|4073197|0.3281|0.0550|0.0623|BULLISH
BAC|2025-09-04 16:30|50.5950|50.7000|50.4950|50.6949|3086436|0.0999|0.0051|0.1000|BULLISH
BAC|2025-09-04 17:30|50.6950|50.8300|50.6600|50.7350|3506478|0.0400|0.0950|0.0350|BULLISH
BAC|2025-09-04 18:30|50.7350|50.7400|50.5700|50.6775|3960623|0.0575|0.0050|0.1075|BEARISH
BAC|2025-09-04 19:30|50.6700|50.6800|50.5800|50.6600|5208021|0.0100|0.0100|0.0800|BEARISH
BAC|2025-09-05 13:30|50.4400|50.6850|49.6550|49.6900|9024493|0.7500|0.2450|0.0350|BEARISH
BAC|2025-09-05 14:30|49.6900|49.7250|49.2300|49.5351|5875193|0.1549|0.0350|0.3051|BEARISH
BAC|2025-09-05 15:30|49.5350|49.5900|49.4150|49.4700|3850017|0.0650|0.0550|0.0550|BEARISH
BAC|2025-09-05 16:30|49.4750|49.7650|49.4301|49.6291|3229262|0.1541|0.1359|0.0449|BULLISH
