Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BA|2025-09-02 13:30|231.2800|237.6100|230.8000|236.8200|1832882|5.5400|0.7900|0.4800|BULLISH
BA|2025-09-02 14:30|236.8400|237.2500|234.5300|235.7000|932921|1.1400|0.4100|1.1700|BEARISH
BA|2025-09-02 15:30|235.7300|236.0900|234.6801|235.4350|472634|0.2950|0.3600|0.7549|BEARISH
BA|2025-09-02 16:30|235.4733|237.7000|235.0300|237.6000|650621|2.1267|0.1000|0.4433|BULLISH
BA|2025-09-02 17:30|237.5983|238.3300|237.3100|237.3250|628821|0.2733|0.7317|0.0150|BEARISH
BA|2025-09-02 18:30|237.3250|237.9150|236.7394|237.8200|595354|0.4950|0.0950|0.5856|BULLISH
BA|2025-09-02 19:30|237.8001|238.0500|236.9200|237.3800|710286|0.4201|0.2499|0.4600|BEARISH
BA|2025-09-03 13:30|237.0600|237.0600|232.0500|232.3700|1904324|4.6900|0.0000|0.3200|BEARISH
BA|2025-09-03 14:30|232.3550|233.6000|231.6800|232.4350|974031|0.0800|1.1650|0.6750|BULLISH
BA|2025-09-03 15:30|232.4350|232.8150|231.5150|232.3700|497477|0.0650|0.3800|0.8550|BEARISH
BA|2025-09-03 16:30|232.3850|232.4000|231.0500|231.1350|493364|1.2500|0.0150|0.0850|BEARISH
BA|2025-09-03 17:30|231.1200|232.0245|230.7601|231.7758|411985|0.6558|0.2487|0.3599|BULLISH
BA|2025-09-03 18:30|231.7650|231.7650|230.7700|231.1950|407245|0.5700|0.0000|0.4250|BEARISH
BA|2025-09-03 19:30|231.1750|232.5000|231.0800|232.3600|743750|1.1850|0.1400|0.0950|BULLISH
BA|2025-09-04 13:30|233.0100|233.0950|229.2100|232.0600|1094327|0.9500|0.0850|2.8500|BEARISH
BA|2025-09-04 14:30|232.0200|232.6548|231.6492|231.9500|402255|0.0700|0.6348|0.3008|BEARISH
BA|2025-09-04 15:30|231.8600|231.9300|230.6100|231.6800|522617|0.1800|0.0700|1.0700|BEARISH
BA|2025-09-04 16:30|231.7100|231.7300|231.0400|231.4450|211453|0.2650|0.0200|0.4050|BEARISH
BA|2025-09-04 17:30|231.4900|231.7400|230.7100|230.8900|447460|0.6000|0.2500|0.1800|BEARISH
BA|2025-09-04 18:30|230.9200|231.9400|230.9000|231.5000|373495|0.5800|0.4400|0.0200|BULLISH
BA|2025-09-04 19:30|231.4600|231.5299|230.6500|230.7200|716303|0.7400|0.0699|0.0700|BEARISH
BA|2025-09-05 13:30|231.8000|232.2299|225.5900|225.7900|2258971|6.0100|0.4299|0.2000|BEARISH
BA|2025-09-05 14:30|225.7100|228.9750|225.5000|228.9100|1399696|3.2000|0.0650|0.2100|BULLISH
BA|2025-09-05 15:30|228.9900|229.0800|226.9800|227.1555|677502|1.8345|0.0900|0.1755|BEARISH
BA|2025-09-05 16:30|227.1850|227.7375|226.7100|226.8600|645410|0.3250|0.5525|0.1500|BEARISH
BA|2025-09-05 17:30|226.8000|228.1200|226.5500|228.0685|520819|1.2685|0.0515|0.2500|BULLISH
BA|2025-09-05 18:30|228.1300|229.2700|227.7900|228.8250|950083|0.6950|0.4450|0.3400|BULLISH
BA|2025-09-05 19:30|228.8700|229.7500|228.4800|229.6400|1137261|0.7700|0.1100|0.3900|BULLISH
BA|2025-09-08 13:30|231.7000|232.2000|228.0900|229.8500|1607575|1.8500|0.5000|1.7600|BEARISH
BA|2025-09-08 14:30|229.9100|230.7500|228.9100|230.7400|616011|0.8300|0.0100|1.0000|BULLISH
BA|2025-09-08 15:30|230.7500|231.4400|229.5000|229.7400|611414|1.0100|0.6900|0.2400|BEARISH
BA|2025-09-08 16:30|229.8162|230.9399|229.6600|230.3000|402162|0.4838|0.6399|0.1562|BULLISH
