Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BKNG|2025-09-02 13:30|5577.3198|5577.3198|5501.7598|5534.6001|53401|42.7197|0.0000|32.8403|BEARISH
BKNG|2025-09-02 14:30|5532.3052|5562.0000|5501.9424|5562.0000|24122|29.6948|0.0000|30.3628|BULLISH
BKNG|2025-09-02 15:30|5500.0449|5500.0449|5461.9351|5461.9351|16397|38.1099|0.0000|0.0000|BEARISH
BKNG|2025-09-02 16:30|5462.0000|5486.5200|5456.9702|5486.5200|15970|24.5200|0.0000|5.0298|BULLISH
BKNG|2025-09-02 17:30|5489.5352|5500.0000|5483.5601|5499.3848|8355|9.8496|0.6152|5.9751|BULLISH
BKNG|2025-09-02 18:30|5497.7798|5507.3374|5488.3701|5494.4902|20537|3.2896|9.5576|6.1201|BEARISH
BKNG|2025-09-02 19:30|5500.1001|5515.0000|5489.8599|5502.8350|31570|2.7349|12.1650|10.2402|BULLISH
BKNG|2025-09-03 13:30|5524.8599|5552.8848|5485.0000|5534.4863|42252|9.6265|18.3984|39.8599|BULLISH
BKNG|2025-09-03 14:30|5531.1001|5557.6699|5531.1001|5545.3799|19800|14.2798|12.2900|0.0000|BULLISH
BKNG|2025-09-03 15:30|5540.3750|5546.8501|5525.5498|5544.2197|10596|3.8447|2.6304|14.8252|BULLISH
BKNG|2025-09-03 16:30|5510.3901|5525.1851|5510.3901|5513.9673|10865|3.5771|11.2178|0.0000|BULLISH
BKNG|2025-09-03 17:30|5524.8999|5529.8750|5522.3599|5529.8750|7279|4.9751|0.0000|2.5400|BULLISH
BKNG|2025-09-03 18:30|5517.8848|5579.5259|5517.8848|5579.5259|14578|61.6411|0.0000|0.0000|BULLISH
BKNG|2025-09-03 19:30|5586.0000|5596.9199|5572.0000|5587.5000|32943|1.5000|9.4199|14.0000|BULLISH
BKNG|2025-09-04 13:30|5570.0000|5570.0000|5454.1802|5514.1450|49095|55.8550|0.0000|59.9648|BEARISH
BKNG|2025-09-04 14:30|5527.9800|5538.2300|5510.9302|5532.7749|18669|4.7949|5.4551|17.0498|BULLISH
BKNG|2025-09-04 15:30|5535.5098|5546.0151|5518.6802|5531.6948|23789|3.8149|10.5054|13.0146|BEARISH
BKNG|2025-09-04 16:30|5533.5601|5554.0801|5523.0601|5554.0801|18457|20.5200|0.0000|10.5000|BULLISH
BKNG|2025-09-04 17:30|5548.4800|5589.2998|5531.9351|5584.5801|19488|36.1001|4.7197|16.5449|BULLISH
BKNG|2025-09-04 18:30|5594.7700|5594.7700|5559.5352|5590.6250|18836|4.1450|0.0000|31.0898|BEARISH
BKNG|2025-09-04 19:30|5590.6250|5598.5000|5580.5200|5590.2500|43467|0.3750|7.8750|9.7300|BEARISH
BKNG|2025-09-05 13:30|5594.0698|5652.5049|5579.1948|5607.1499|39368|13.0801|45.3550|14.8750|BULLISH
BKNG|2025-09-05 14:30|5577.7402|5598.0000|5523.9248|5523.9248|23292|53.8154|20.2598|0.0000|BEARISH
BKNG|2025-09-05 15:30|5540.1899|5540.1899|5480.4775|5482.1152|37066|58.0747|0.0000|1.6377|BEARISH
BKNG|2025-09-05 16:30|5495.7852|5512.9502|5455.0000|5475.0098|26329|20.7754|17.1650|20.0098|BEARISH
BKNG|2025-09-05 17:30|5473.0801|5500.9199|5473.0801|5500.9199|11448|27.8398|0.0000|0.0000|BULLISH
BKNG|2025-09-05 18:30|5511.4502|5519.5400|5511.1299|5511.1299|11394|0.3203|8.0898|0.0000|BEARISH
BKNG|2025-09-05 19:30|5502.0098|5507.1001|5493.9902|5507.1001|16925|5.0903|0.0000|8.0195|BULLISH
BKNG|2025-09-08 13:30|5528.4902|5638.5000|5509.9751|5636.8999|42218|108.4097|1.6001|18.5151|BULLISH
BKNG|2025-09-08 14:30|5628.6201|5628.6201|5604.7998|5614.4648|23786|14.1553|0.0000|9.6650|BEARISH
BKNG|2025-09-08 15:30|5614.4702|5615.2002|5596.5698|5612.0698|13704|2.4004|0.7300|15.5000|BEARISH
BKNG|2025-09-08 16:30|5603.8052|5603.8052|5581.5801|5581.5801|14861|22.2251|0.0000|0.0000|BEARISH
BKNG|2025-09-08 17:30|5589.8149|5589.8149|5566.8901|5570.2998|12115|19.5151|0.0000|3.4097|BEARISH
BKNG|2025-09-08 18:30|5566.0098|5570.0200|5541.7998|5555.0000|19516|11.0098|4.0103|13.2002|BEARISH
BKNG|2025-09-08 19:30|5555.9951|5570.8101|5555.9951|5568.1699|27434|12.1748|2.6401|0.0000|BULLISH
BKNG|2025-09-09 13:30|5570.6401|5570.6401|5517.5000|5542.4248|22749|28.2153|0.0000|24.9248|BEARISH
BKNG|2025-09-09 14:30|5551.9048|5569.2300|5551.9048|5569.2300|15095|17.3252|0.0000|0.0000|BULLISH
BKNG|2025-09-09 15:30|5570.5000|5582.1152|5557.2700|5557.3198|13238|13.1802|11.6152|0.0498|BEARISH
BKNG|2025-09-09 16:30|5577.1201|5577.2148|5569.2451|5575.9048|3949|1.2153|0.0947|6.6597|BEARISH
BKNG|2025-09-09 17:30|5580.4502|5593.9150|5576.2300|5589.5151|10327|9.0649|4.3999|4.2202|BULLISH
BKNG|2025-09-09 18:30|5603.3726|5603.3726|5598.3799|5602.0801|7839|1.2925|0.0000|3.7002|BEARISH
BKNG|2025-09-09 19:30|5604.4302|5604.4302|5569.0200|5572.8101|28145|31.6201|0.0000|3.7900|BEARISH
BKNG|2025-09-10 13:30|5564.0000|5564.0000|5440.9150|5440.9150|44734|123.0850|0.0000|0.0000|BEARISH
BKNG|2025-09-10 14:30|5442.9150|5442.9150|5375.2002|5421.4102|50836|21.5049|0.0000|46.2100|BEARISH
BKNG|2025-09-10 15:30|5427.7798|5440.2700|5401.4600|5431.1802|25548|3.4004|9.0898|26.3198|BULLISH
BKNG|2025-09-10 16:30|5444.2402|5463.2549|5440.5498|5443.4502|17702|0.7900|19.0146|2.9004|BEARISH
BKNG|2025-09-10 17:30|5457.6201|5468.9800|5456.1099|5460.0000|11430|2.3799|8.9800|1.5103|BULLISH
BKNG|2025-09-10 18:30|5479.9502|5479.9502|5464.6001|5467.3501|16985|12.6001|0.0000|2.7500|BEARISH
BKNG|2025-09-10 19:30|5469.3501|5492.3999|5467.5649|5474.8198|35756|5.4697|17.5801|1.7852|BULLISH
BKNG|2025-09-11 13:30|5474.8101|5509.0000|5410.0000|5496.7300|34282|21.9199|12.2700|64.8101|BULLISH
BKNG|2025-09-11 14:30|5508.3799|5508.3799|5478.3799|5489.6099|2430|18.7700|0.0000|11.2300|BEARISH
