Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BMY|2025-09-02 13:30|47.3000|47.8600|47.0400|47.0750|2622726|0.2250|0.5600|0.0350|BEARISH
BMY|2025-09-02 14:30|47.0900|47.2900|47.0550|47.2100|1201624|0.1200|0.0800|0.0350|BULLISH
BMY|2025-09-02 15:30|47.2050|47.2950|47.0850|47.0985|613471|0.1065|0.0900|0.0135|BEARISH
BMY|2025-09-02 16:30|47.0950|47.4100|47.0619|47.3150|663147|0.2200|0.0950|0.0331|BULLISH
BMY|2025-09-02 17:30|47.3153|47.4600|47.3050|47.3450|723753|0.0297|0.1150|0.0103|BULLISH
BMY|2025-09-02 18:30|47.3450|47.4050|47.1750|47.3800|687931|0.0350|0.0250|0.1700|BULLISH
BMY|2025-09-02 19:30|47.3800|47.4300|47.2700|47.4100|1226558|0.0300|0.0200|0.1100|BULLISH
BMY|2025-09-03 13:30|47.3200|48.5100|47.3000|47.6700|1510726|0.3500|0.8400|0.0200|BULLISH
BMY|2025-09-03 14:30|47.6800|47.8500|47.5550|47.5850|800780|0.0950|0.1700|0.0300|BEARISH
BMY|2025-09-03 15:30|47.5800|47.6150|47.4000|47.4900|644617|0.0900|0.0350|0.0900|BEARISH
BMY|2025-09-03 16:30|47.4900|47.6300|47.4750|47.6149|425470|0.1249|0.0151|0.0150|BULLISH
BMY|2025-09-03 17:30|47.6150|47.6158|47.4000|47.5500|574661|0.0650|0.0008|0.1500|BEARISH
BMY|2025-09-03 18:30|47.5500|47.5800|47.4100|47.4850|702268|0.0650|0.0300|0.0750|BEARISH
BMY|2025-09-03 19:30|47.4850|47.5850|47.4500|47.4950|1211235|0.0100|0.0900|0.0350|BULLISH
BMY|2025-09-04 13:30|47.6000|47.6850|46.9300|47.2350|1078011|0.3650|0.0850|0.3050|BEARISH
BMY|2025-09-04 14:30|47.2350|47.3000|47.0250|47.1150|660634|0.1200|0.0650|0.0900|BEARISH
BMY|2025-09-04 15:30|47.1150|47.1357|46.5100|46.5100|1055036|0.6050|0.0207|0.0000|BEARISH
BMY|2025-09-04 16:30|46.5200|46.7200|46.3100|46.7035|1133132|0.1835|0.0165|0.2100|BULLISH
BMY|2025-09-04 17:30|46.7100|46.9150|46.6350|46.7900|622678|0.0800|0.1250|0.0750|BULLISH
BMY|2025-09-04 18:30|46.7900|46.9600|46.7450|46.8350|840001|0.0450|0.1250|0.0450|BULLISH
BMY|2025-09-04 19:30|46.8350|46.8750|46.5600|46.6900|2590694|0.1450|0.0400|0.1300|BEARISH
BMY|2025-09-05 13:30|46.7200|47.1700|46.5000|46.7900|1201604|0.0700|0.3800|0.2200|BULLISH
BMY|2025-09-05 14:30|46.7924|46.9900|46.6450|46.8450|728428|0.0526|0.1450|0.1474|BULLISH
BMY|2025-09-05 15:30|46.8400|46.9900|46.7650|46.9500|481359|0.1100|0.0400|0.0750|BULLISH
BMY|2025-09-05 16:30|46.9500|46.9500|46.7800|46.8250|413816|0.1250|0.0000|0.0450|BEARISH
BMY|2025-09-05 17:30|46.8250|47.0700|46.8250|46.8728|597634|0.0478|0.1972|0.0000|BULLISH
BMY|2025-09-05 18:30|46.8800|47.1000|46.8800|47.0450|625298|0.1650|0.0550|0.0000|BULLISH
BMY|2025-09-05 19:30|47.0400|47.1600|46.9700|47.1300|1276372|0.0900|0.0300|0.0700|BULLISH
BMY|2025-09-08 13:30|46.6500|46.8050|45.8500|46.2004|2231488|0.4496|0.1550|0.3504|BEARISH
BMY|2025-09-08 14:30|46.1900|46.4500|46.1601|46.3950|1178911|0.2050|0.0550|0.0299|BULLISH
BMY|2025-09-08 15:30|46.3950|46.4000|46.2000|46.2750|918919|0.1200|0.0050|0.0750|BEARISH
BMY|2025-09-08 16:30|46.2750|46.4600|46.2350|46.3900|679692|0.1150|0.0700|0.0400|BULLISH
BMY|2025-09-08 17:30|46.3951|46.4800|46.2900|46.4750|781391|0.0799|0.0050|0.1051|BULLISH
BMY|2025-09-08 18:30|46.4750|46.5750|46.4500|46.5001|958977|0.0251|0.0749|0.0250|BULLISH
BMY|2025-09-08 19:30|46.5050|46.7250|46.4100|46.7100|1737295|0.2050|0.0150|0.0950|BULLISH
BMY|2025-09-09 13:30|46.8000|47.2200|46.7600|47.2150|1070331|0.4150|0.0050|0.0400|BULLISH
BMY|2025-09-09 14:30|47.2150|47.2800|46.9600|47.2750|794454|0.0600|0.0050|0.2550|BULLISH
BMY|2025-09-09 15:30|47.2800|47.3500|47.1500|47.2300|468062|0.0500|0.0700|0.0800|BEARISH
BMY|2025-09-09 16:30|47.2300|47.3900|47.1700|47.3650|478388|0.1350|0.0250|0.0600|BULLISH
BMY|2025-09-09 17:30|47.3700|47.5200|47.2700|47.4150|699358|0.0450|0.1050|0.1000|BULLISH
BMY|2025-09-09 18:30|47.4200|47.4650|47.1900|47.3650|1108816|0.0550|0.0450|0.1750|BEARISH
BMY|2025-09-09 19:30|47.3650|47.3650|47.2300|47.2400|1427024|0.1250|0.0000|0.0100|BEARISH
BMY|2025-09-10 13:30|47.0000|47.3500|46.7800|47.0950|1320871|0.0950|0.2550|0.2200|BULLISH
BMY|2025-09-10 14:30|47.0950|47.2300|46.8600|47.0300|573023|0.0650|0.1350|0.1700|BEARISH
BMY|2025-09-10 15:30|47.0350|47.3400|47.0150|47.0900|586193|0.0550|0.2500|0.0200|BULLISH
BMY|2025-09-10 16:30|47.0900|47.3900|47.0150|47.3150|591621|0.2250|0.0750|0.0750|BULLISH
BMY|2025-09-10 17:30|47.3200|47.3800|47.1600|47.3450|615141|0.0250|0.0350|0.1600|BULLISH
BMY|2025-09-10 18:30|47.3400|47.4400|47.2250|47.2250|810503|0.1150|0.1000|0.0000|BEARISH
BMY|2025-09-10 19:30|47.2250|47.2950|47.1300|47.1450|1446571|0.0800|0.0700|0.0150|BEARISH
BMY|2025-09-11 13:30|47.3800|47.8700|47.2201|47.7450|1112628|0.3650|0.1250|0.1599|BULLISH
BMY|2025-09-11 14:30|47.7500|48.1098|47.7500|48.0850|749705|0.3350|0.0248|0.0000|BULLISH
BMY|2025-09-11 15:30|48.0900|48.1850|47.9900|48.1300|694070|0.0400|0.0550|0.1000|BULLISH
BMY|2025-09-11 16:30|48.1300|48.1900|47.5850|47.7010|842254|0.4290|0.0600|0.1160|BEARISH
BMY|2025-09-11 17:30|47.7050|47.8550|47.6550|47.7555|733711|0.0505|0.0995|0.0500|BULLISH
BMY|2025-09-11 18:30|47.7560|47.7800|47.5450|47.6250|1479303|0.1310|0.0240|0.0800|BEARISH
BMY|2025-09-11 19:30|47.6250|47.6997|47.5050|47.5200|2122697|0.1050|0.0747|0.0150|BEARISH
BMY|2025-09-12 13:30|47.4200|47.9000|47.1600|47.4900|1619315|0.0700|0.4100|0.2600|BULLISH
BMY|2025-09-12 14:30|47.4810|47.5100|47.0750|47.1102|1117586|0.3708|0.0290|0.0352|BEARISH
BMY|2025-09-12 15:30|47.1136|47.1250|46.3000|46.7500|1432802|0.3636|0.0114|0.4500|BEARISH
BMY|2025-09-12 16:30|46.7550|46.7900|46.4250|46.4650|951172|0.2900|0.0350|0.0400|BEARISH
BMY|2025-09-12 17:30|46.4650|46.5300|46.3345|46.4350|1360534|0.0300|0.0650|0.1005|BEARISH
BMY|2025-09-12 18:30|46.4400|46.5300|46.3300|46.3650|1074339|0.0750|0.0900|0.0350|BEARISH
BMY|2025-09-12 19:30|46.3650|46.3700|46.1850|46.2100|2417267|0.1550|0.0050|0.0250|BEARISH
BMY|2025-09-15 13:30|46.3200|46.7300|46.1800|46.2800|1598935|0.0400|0.4100|0.1000|BEARISH
BMY|2025-09-15 14:30|46.2800|46.3400|46.0000|46.1350|1446001|0.1450|0.0600|0.1350|BEARISH
BMY|2025-09-15 15:30|46.1350|46.2450|46.0425|46.1100|896191|0.0250|0.1100|0.0675|BEARISH
BMY|2025-09-15 16:30|46.1100|46.1882|46.0524|46.1850|786012|0.0750|0.0032|0.0576|BULLISH
BMY|2025-09-15 17:30|46.1850|46.4150|46.1500|46.2965|910098|0.1115|0.1185|0.0350|BULLISH
BMY|2025-09-15 18:30|46.3000|46.4350|46.2800|46.3550|968684|0.0550|0.0800|0.0200|BULLISH
BMY|2025-09-15 19:30|46.3550|46.4450|46.2700|46.3650|1517471|0.0100|0.0800|0.0850|BULLISH
BMY|2025-09-16 13:30|46.0500|46.8430|46.0400|46.4100|1409944|0.3600|0.4330|0.0100|BULLISH
