Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BRK.B|2025-09-02 13:30|504.2400|505.9000|497.6200|502.0279|1086499|2.2121|1.6600|4.4079|BEARISH
BRK.B|2025-09-02 14:30|502.0800|502.7820|500.2000|500.8050|381993|1.2750|0.7020|0.6050|BEARISH
BRK.B|2025-09-02 15:30|500.8000|500.9050|499.4001|499.5700|413252|1.2300|0.1050|0.1699|BEARISH
BRK.B|2025-09-02 16:30|499.5500|500.1600|499.1050|499.7790|242155|0.2290|0.3810|0.4450|BULLISH
BRK.B|2025-09-02 17:30|499.7800|500.5000|499.2500|499.3100|246925|0.4700|0.7200|0.0600|BEARISH
BRK.B|2025-09-02 18:30|499.4000|499.5200|498.2301|499.3543|369405|0.0457|0.1200|1.1242|BEARISH
BRK.B|2025-09-02 19:30|499.4000|501.0800|499.1500|500.9500|799300|1.5500|0.1300|0.2500|BULLISH
BRK.B|2025-09-03 13:30|499.5500|501.5100|496.5900|497.6230|710266|1.9270|1.9600|1.0330|BEARISH
BRK.B|2025-09-03 14:30|497.6900|500.2300|497.4500|499.1177|400880|1.4277|1.1123|0.2400|BULLISH
BRK.B|2025-09-03 15:30|499.1000|499.5100|498.4301|498.8650|191281|0.2350|0.4100|0.4349|BEARISH
BRK.B|2025-09-03 16:30|498.9300|500.3987|498.8000|500.3450|167928|1.4150|0.0537|0.1300|BULLISH
BRK.B|2025-09-03 17:30|500.3999|501.1890|500.0100|500.8250|226357|0.4251|0.3640|0.3899|BULLISH
BRK.B|2025-09-03 18:30|500.6550|501.1899|499.8301|500.3800|191988|0.2750|0.5349|0.5499|BEARISH
BRK.B|2025-09-03 19:30|500.3950|502.1100|500.3500|501.4300|493357|1.0350|0.6800|0.0450|BULLISH
BRK.B|2025-09-04 13:30|502.9000|504.9800|501.2600|503.6300|647697|0.7300|1.3500|1.6400|BULLISH
BRK.B|2025-09-04 14:30|503.5500|506.2200|502.2000|505.3800|391665|1.8300|0.8400|1.3500|BULLISH
BRK.B|2025-09-04 15:30|505.2200|506.0000|505.0000|505.5230|249730|0.3030|0.4770|0.2200|BULLISH
BRK.B|2025-09-04 16:30|505.6000|506.6999|504.7700|506.2300|262035|0.6300|0.4699|0.8300|BULLISH
BRK.B|2025-09-04 17:30|506.1500|506.7100|505.5646|506.5400|212909|0.3900|0.1700|0.5854|BULLISH
BRK.B|2025-09-04 18:30|506.5400|507.3800|506.2705|507.0748|274377|0.5348|0.3052|0.2695|BULLISH
BRK.B|2025-09-04 19:30|507.0700|507.1600|506.3700|506.7300|439523|0.3400|0.0900|0.3600|BEARISH
BRK.B|2025-09-05 13:30|506.0000|507.6610|502.0001|502.2750|658257|3.7250|1.6610|0.2749|BEARISH
BRK.B|2025-09-05 14:30|502.2750|502.3081|497.7500|499.0500|552759|3.2250|0.0331|1.3000|BEARISH
BRK.B|2025-09-05 15:30|499.1300|499.5500|498.3100|498.6500|360902|0.4800|0.4200|0.3400|BEARISH
BRK.B|2025-09-05 16:30|498.5774|499.7100|498.4500|498.9500|214325|0.3726|0.7600|0.1274|BULLISH
BRK.B|2025-09-05 17:30|499.0600|499.1400|498.0001|499.0100|240007|0.0500|0.0800|1.0099|BEARISH
BRK.B|2025-09-05 18:30|498.9500|500.8000|498.9350|500.4600|333831|1.5100|0.3400|0.0150|BULLISH
BRK.B|2025-09-05 19:30|500.4450|500.6000|499.5200|499.8200|426366|0.6250|0.1550|0.3000|BEARISH
BRK.B|2025-09-08 13:30|499.0000|499.6500|494.8600|496.4700|891202|2.5300|0.6500|1.6100|BEARISH
BRK.B|2025-09-08 14:30|496.5700|498.0750|496.4700|497.8400|474536|1.2700|0.2350|0.1000|BULLISH
BRK.B|2025-09-08 15:30|497.8450|497.9500|496.4100|496.7200|311936|1.1250|0.1050|0.3100|BEARISH
BRK.B|2025-09-08 16:30|496.6400|497.4300|496.2400|496.6800|263748|0.0400|0.7500|0.4000|BULLISH
