Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CAT|2025-09-02 13:30|413.9100|416.8200|410.5150|415.9200|482701|2.0100|0.9000|3.3950|BULLISH
CAT|2025-09-02 14:30|415.9750|417.2050|414.7800|415.1550|263431|0.8200|1.2300|0.3750|BEARISH
CAT|2025-09-02 15:30|415.2600|415.4652|413.1200|413.4400|197096|1.8200|0.2052|0.3200|BEARISH
CAT|2025-09-02 16:30|413.5600|414.0000|412.9550|413.6760|239938|0.1160|0.3240|0.6050|BULLISH
CAT|2025-09-02 17:30|413.6900|415.4900|413.6900|414.0700|175875|0.3800|1.4200|0.0000|BULLISH
CAT|2025-09-02 18:30|414.1150|415.1200|413.7700|414.3600|252367|0.2450|0.7600|0.3450|BULLISH
CAT|2025-09-02 19:30|414.2500|416.0400|413.9400|415.8600|375559|1.6100|0.1800|0.3100|BULLISH
CAT|2025-09-03 13:30|418.1300|418.1300|412.1501|412.7650|316593|5.3650|0.0000|0.6149|BEARISH
CAT|2025-09-03 14:30|412.7600|413.2700|411.5001|411.7250|171198|1.0350|0.5100|0.2249|BEARISH
CAT|2025-09-03 15:30|411.8150|413.1800|411.3700|412.6100|117493|0.7950|0.5700|0.4450|BULLISH
CAT|2025-09-03 16:30|412.5500|413.2500|411.7700|413.0600|58927|0.5100|0.1900|0.7800|BULLISH
CAT|2025-09-03 17:30|413.1400|413.3500|411.7000|412.9100|88084|0.2300|0.2100|1.2100|BEARISH
CAT|2025-09-03 18:30|412.8500|413.3699|412.2600|412.4700|95469|0.3800|0.5199|0.2100|BEARISH
CAT|2025-09-03 19:30|412.5000|415.1900|412.4300|415.1400|317161|2.6400|0.0500|0.0700|BULLISH
CAT|2025-09-04 13:30|415.8100|416.6300|414.2875|415.2400|204678|0.5700|0.8200|0.9525|BEARISH
CAT|2025-09-04 14:30|415.0300|416.0600|414.3850|415.3700|224718|0.3400|0.6900|0.6450|BULLISH
CAT|2025-09-04 15:30|415.3600|416.4200|415.2600|416.3475|155142|0.9875|0.0725|0.1000|BULLISH
CAT|2025-09-04 16:30|416.3450|417.6500|415.4700|417.3200|112479|0.9750|0.3300|0.8750|BULLISH
CAT|2025-09-04 17:30|417.3500|419.1550|417.2800|418.2400|143748|0.8900|0.9150|0.0700|BULLISH
CAT|2025-09-04 18:30|418.3300|419.1087|418.1679|418.9650|149731|0.6350|0.1437|0.1621|BULLISH
CAT|2025-09-04 19:30|418.9200|420.7900|418.6200|420.2300|337721|1.3100|0.5600|0.3000|BULLISH
CAT|2025-09-05 13:30|423.9000|424.8999|419.6181|420.3550|428619|3.5450|0.9999|0.7369|BEARISH
CAT|2025-09-05 14:30|420.3500|420.5300|417.9100|420.4600|150083|0.1100|0.0700|2.4400|BULLISH
CAT|2025-09-05 15:30|420.4600|421.8200|420.0600|420.6800|97338|0.2200|1.1400|0.4000|BULLISH
CAT|2025-09-05 16:30|420.5500|421.9500|420.2200|421.5100|87033|0.9600|0.4400|0.3300|BULLISH
CAT|2025-09-05 17:30|421.4500|422.8900|420.3200|422.8700|139788|1.4200|0.0200|1.1300|BULLISH
CAT|2025-09-05 18:30|422.9650|424.7500|422.8788|424.1090|310572|1.1440|0.6410|0.0862|BULLISH
CAT|2025-09-05 19:30|424.1300|424.2200|422.6100|423.2100|293234|0.9200|0.0900|0.6000|BEARISH
CAT|2025-09-08 13:30|422.6500|423.9100|416.7800|421.6400|432671|1.0100|1.2600|4.8600|BEARISH
CAT|2025-09-08 14:30|421.7800|423.6700|421.2500|423.6700|178368|1.8900|0.0000|0.5300|BULLISH
CAT|2025-09-08 15:30|423.8500|423.8500|421.5100|421.9500|125709|1.9000|0.0000|0.4400|BEARISH
CAT|2025-09-08 16:30|422.1800|422.4900|421.3600|422.4900|86718|0.3100|0.0000|0.8200|BULLISH
CAT|2025-09-08 17:30|422.3500|422.4900|420.5100|421.4200|126627|0.9300|0.1400|0.9100|BEARISH
CAT|2025-09-08 18:30|421.4300|422.5500|420.8800|420.9800|184431|0.4500|1.1200|0.1000|BEARISH
CAT|2025-09-08 19:30|420.9750|423.0500|420.3200|422.9400|350461|1.9650|0.1100|0.6550|BULLISH
CAT|2025-09-09 13:30|423.1600|423.5500|418.7400|419.1100|220629|4.0500|0.3900|0.3700|BEARISH
CAT|2025-09-09 14:30|419.0400|419.3300|417.5350|418.0800|166355|0.9600|0.2900|0.5450|BEARISH
CAT|2025-09-09 15:30|418.1550|418.2000|416.4400|417.1400|160942|1.0150|0.0450|0.7000|BEARISH
CAT|2025-09-09 16:30|417.0200|418.2500|417.0200|418.1000|111994|1.0800|0.1500|0.0000|BULLISH
