Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CL|2025-09-02 13:30|84.1750|84.5900|83.5784|83.6550|858670|0.5200|0.4150|0.0766|BEARISH
CL|2025-09-02 14:30|83.6400|84.3200|83.6000|84.2200|666007|0.5800|0.1000|0.0400|BULLISH
CL|2025-09-02 15:30|84.2100|84.5800|84.1750|84.3700|409526|0.1600|0.2100|0.0350|BULLISH
CL|2025-09-02 16:30|84.3750|84.3750|84.0400|84.2000|266085|0.1750|0.0000|0.1600|BEARISH
CL|2025-09-02 17:30|84.2000|84.3350|84.1650|84.2550|337507|0.0550|0.0800|0.0350|BULLISH
CL|2025-09-02 18:30|84.2600|84.3000|84.1200|84.2800|404907|0.0200|0.0200|0.1400|BULLISH
CL|2025-09-02 19:30|84.2750|84.4765|84.2210|84.3700|764164|0.0950|0.1065|0.0540|BULLISH
CL|2025-09-03 13:30|84.5200|84.7500|82.6500|83.2950|814252|1.2250|0.2300|0.6450|BEARISH
CL|2025-09-03 14:30|83.2600|83.6500|83.1200|83.4100|572542|0.1500|0.2400|0.1400|BULLISH
CL|2025-09-03 15:30|83.4100|83.5200|82.9700|83.1600|457676|0.2500|0.1100|0.1900|BEARISH
CL|2025-09-03 16:30|83.1600|83.5100|83.0900|83.1700|276363|0.0100|0.3400|0.0700|BULLISH
CL|2025-09-03 17:30|83.1700|83.3800|83.0600|83.3350|321807|0.1650|0.0450|0.1100|BULLISH
CL|2025-09-03 18:30|83.3300|83.6900|83.3300|83.5500|381340|0.2200|0.1400|0.0000|BULLISH
CL|2025-09-03 19:30|83.5550|83.8400|83.4500|83.8100|778463|0.2550|0.0300|0.1050|BULLISH
CL|2025-09-04 13:30|84.1000|84.1000|83.1400|83.3100|661195|0.7900|0.0000|0.1700|BEARISH
CL|2025-09-04 14:30|83.3200|83.7550|83.0700|83.6800|997656|0.3600|0.0750|0.2500|BULLISH
CL|2025-09-04 15:30|83.6800|84.0500|83.2900|83.5200|735287|0.1600|0.3700|0.2300|BEARISH
CL|2025-09-04 16:30|83.5300|83.5900|83.3150|83.4850|376056|0.0450|0.0600|0.1700|BEARISH
CL|2025-09-04 17:30|83.4800|83.4800|83.0200|83.2250|494565|0.2550|0.0000|0.2050|BEARISH
CL|2025-09-04 18:30|83.2250|83.7200|83.1450|83.6500|651872|0.4250|0.0700|0.0800|BULLISH
CL|2025-09-04 19:30|83.6600|83.7450|83.4450|83.6500|758307|0.0100|0.0850|0.2050|BEARISH
CL|2025-09-05 13:30|83.4700|85.4000|83.1200|84.9500|1119065|1.4800|0.4500|0.3500|BULLISH
CL|2025-09-05 14:30|84.9800|85.7600|84.8400|85.6200|729246|0.6400|0.1400|0.1400|BULLISH
CL|2025-09-05 15:30|85.6151|85.6500|84.8550|84.9999|470930|0.6152|0.0349|0.1449|BEARISH
CL|2025-09-05 16:30|84.9700|85.0700|84.8500|84.9200|416741|0.0500|0.1000|0.0700|BEARISH
CL|2025-09-05 17:30|84.9200|85.0850|84.3600|84.3800|766124|0.5400|0.1650|0.0200|BEARISH
CL|2025-09-05 18:30|84.3900|85.1600|84.3900|85.1200|781965|0.7300|0.0400|0.0000|BULLISH
CL|2025-09-05 19:30|85.1400|85.2700|85.0300|85.1500|890930|0.0100|0.1200|0.1100|BULLISH
CL|2025-09-08 13:30|84.9200|84.9800|83.9800|84.6770|497413|0.2430|0.0600|0.6970|BEARISH
CL|2025-09-08 14:30|84.6800|85.0800|84.4400|84.4450|519463|0.2350|0.4000|0.0050|BEARISH
CL|2025-09-08 15:30|84.4450|84.5600|84.1400|84.5200|326254|0.0750|0.0400|0.3050|BULLISH
CL|2025-09-08 16:30|84.5150|84.5900|84.2800|84.3550|202453|0.1600|0.0750|0.0750|BEARISH
CL|2025-09-08 17:30|84.3500|84.4050|84.0600|84.2800|245558|0.0700|0.0550|0.2200|BEARISH
CL|2025-09-08 18:30|84.2900|84.3000|83.9900|84.0700|337756|0.2200|0.0100|0.0800|BEARISH
CL|2025-09-08 19:30|84.0750|84.2250|83.9700|84.2100|678405|0.1350|0.0150|0.1050|BULLISH
CL|2025-09-09 13:30|84.0350|84.5800|83.8000|84.5500|453309|0.5150|0.0300|0.2350|BULLISH
CL|2025-09-09 14:30|84.5500|84.6900|84.1500|84.3350|287568|0.2150|0.1400|0.1850|BEARISH
CL|2025-09-09 15:30|84.3400|84.4550|84.2500|84.2950|213360|0.0450|0.1150|0.0450|BEARISH
CL|2025-09-09 16:30|84.3000|84.4900|84.2700|84.3450|213206|0.0450|0.1450|0.0300|BULLISH
CL|2025-09-09 17:30|84.3482|84.4400|84.1250|84.3800|491514|0.0318|0.0600|0.2232|BULLISH
CL|2025-09-09 18:30|84.3800|84.4450|84.1400|84.2700|426113|0.1100|0.0650|0.1300|BEARISH
CL|2025-09-09 19:30|84.2750|84.4300|84.1800|84.2900|572006|0.0150|0.1400|0.0950|BULLISH
CL|2025-09-10 13:30|83.7100|84.0850|82.5200|82.5600|611473|1.1500|0.3750|0.0400|BEARISH
CL|2025-09-10 14:30|82.5550|82.7450|82.2900|82.5200|683267|0.0350|0.1900|0.2300|BEARISH
CL|2025-09-10 15:30|82.5200|82.6900|82.3450|82.6800|469293|0.1600|0.0100|0.1750|BULLISH
CL|2025-09-10 16:30|82.6850|83.1100|82.6750|82.9300|515483|0.2450|0.1800|0.0100|BULLISH
