Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CMCSA|2025-09-02 13:30|33.7000|34.0750|33.6503|33.9950|2718242|0.2950|0.0800|0.0497|BULLISH
CMCSA|2025-09-02 14:30|33.9900|34.0750|33.8950|33.9250|2343189|0.0650|0.0850|0.0300|BEARISH
CMCSA|2025-09-02 15:30|33.9250|33.9586|33.8400|33.8950|1628243|0.0300|0.0336|0.0550|BEARISH
CMCSA|2025-09-02 16:30|33.9000|33.9900|33.8500|33.9450|1777767|0.0450|0.0450|0.0500|BULLISH
CMCSA|2025-09-02 17:30|33.9500|34.1400|33.9350|34.0850|2248710|0.1350|0.0550|0.0150|BULLISH
CMCSA|2025-09-02 18:30|34.0900|34.1100|34.0401|34.0650|1831730|0.0250|0.0200|0.0249|BEARISH
CMCSA|2025-09-02 19:30|34.0600|34.1600|34.0200|34.1350|3473218|0.0750|0.0250|0.0400|BULLISH
CMCSA|2025-09-03 13:30|34.1671|34.1800|33.4800|33.5600|3251631|0.6071|0.0129|0.0800|BEARISH
CMCSA|2025-09-03 14:30|33.5600|33.7363|33.5600|33.6850|1559061|0.1250|0.0513|0.0000|BULLISH
CMCSA|2025-09-03 15:30|33.6850|33.7200|33.5700|33.6950|1787936|0.0100|0.0250|0.1150|BULLISH
CMCSA|2025-09-03 16:30|33.6911|33.8159|33.6900|33.8050|1378326|0.1139|0.0109|0.0011|BULLISH
CMCSA|2025-09-03 17:30|33.8062|33.8065|33.6200|33.7450|1329160|0.0612|0.0003|0.1250|BEARISH
CMCSA|2025-09-03 18:30|33.7450|33.7900|33.7050|33.7550|1425001|0.0100|0.0350|0.0400|BULLISH
CMCSA|2025-09-03 19:30|33.7550|33.8900|33.7500|33.8900|3844584|0.1350|0.0000|0.0050|BULLISH
CMCSA|2025-09-04 13:30|33.9800|34.4500|33.7200|34.3850|3222121|0.4050|0.0650|0.2600|BULLISH
CMCSA|2025-09-04 14:30|34.3800|34.4500|33.7900|34.1150|5785458|0.2650|0.0700|0.3250|BEARISH
CMCSA|2025-09-04 15:30|34.1150|34.1900|33.9400|34.0200|1461287|0.0950|0.0750|0.0800|BEARISH
CMCSA|2025-09-04 16:30|34.0250|34.0450|33.7900|33.9550|1510365|0.0700|0.0200|0.1650|BEARISH
CMCSA|2025-09-04 17:30|33.9550|33.9750|33.7818|33.9050|2590204|0.0500|0.0200|0.1232|BEARISH
CMCSA|2025-09-04 18:30|33.9000|34.0500|33.8150|34.0200|2140414|0.1200|0.0300|0.0850|BULLISH
CMCSA|2025-09-04 19:30|34.0150|34.0150|33.9000|33.9400|5025345|0.0750|0.0000|0.0400|BEARISH
CMCSA|2025-09-05 13:30|34.0300|34.3800|33.8700|34.0456|4680830|0.0156|0.3344|0.1600|BULLISH
CMCSA|2025-09-05 14:30|34.0450|34.0600|33.8600|34.0000|2439776|0.0450|0.0150|0.1400|BEARISH
CMCSA|2025-09-05 15:30|34.0000|34.0000|33.8050|33.8450|1548168|0.1550|0.0000|0.0400|BEARISH
CMCSA|2025-09-05 16:30|33.8450|33.8850|33.6650|33.6650|1258998|0.1800|0.0400|0.0000|BEARISH
CMCSA|2025-09-05 17:30|33.6650|33.7099|33.5900|33.6850|1429347|0.0200|0.0249|0.0750|BULLISH
CMCSA|2025-09-05 18:30|33.6850|33.7800|33.6850|33.7650|1783535|0.0800|0.0150|0.0000|BULLISH
CMCSA|2025-09-05 19:30|33.7600|33.9200|33.7500|33.9200|3901920|0.1600|0.0000|0.0100|BULLISH
CMCSA|2025-09-08 13:30|32.5750|33.5458|32.5314|33.5350|5741345|0.9600|0.0108|0.0436|BULLISH
CMCSA|2025-09-08 14:30|33.5350|33.7850|33.5150|33.7550|2403493|0.2200|0.0300|0.0200|BULLISH
CMCSA|2025-09-08 15:30|33.7500|33.8750|33.6900|33.8150|1580409|0.0650|0.0600|0.0600|BULLISH
CMCSA|2025-09-08 16:30|33.8199|34.0000|33.7600|33.9700|2326284|0.1501|0.0300|0.0599|BULLISH
CMCSA|2025-09-08 17:30|33.9699|34.1100|33.8200|33.9300|2309726|0.0399|0.1401|0.1100|BEARISH
CMCSA|2025-09-08 18:30|33.9300|33.9350|33.7500|33.8450|2513415|0.0850|0.0050|0.0950|BEARISH
CMCSA|2025-09-08 19:30|33.8450|34.0200|33.8400|34.0100|3065378|0.1650|0.0100|0.0050|BULLISH
CMCSA|2025-09-09 13:30|33.9900|34.0400|33.7200|33.9750|1571696|0.0150|0.0500|0.2550|BEARISH
CMCSA|2025-09-09 14:30|33.9744|34.0400|33.8700|33.9156|983041|0.0588|0.0656|0.0456|BEARISH
CMCSA|2025-09-09 15:30|33.9200|33.9300|33.6800|33.8000|1750666|0.1200|0.0100|0.1200|BEARISH
CMCSA|2025-09-09 16:30|33.7956|33.8200|33.7200|33.7850|1131267|0.0106|0.0244|0.0650|BEARISH
CMCSA|2025-09-09 17:30|33.7900|33.9350|33.7450|33.8950|1810763|0.1050|0.0400|0.0450|BULLISH
CMCSA|2025-09-09 18:30|33.8950|34.0000|33.7700|33.7700|3407561|0.1250|0.1050|0.0000|BEARISH
CMCSA|2025-09-09 19:30|33.7700|33.8050|33.6700|33.6700|2674153|0.1000|0.0350|0.0000|BEARISH
CMCSA|2025-09-10 13:30|33.5300|33.7350|33.0650|33.1100|2962904|0.4200|0.2050|0.0450|BEARISH
CMCSA|2025-09-10 14:30|33.1050|33.1400|32.9000|33.0232|1892498|0.0818|0.0350|0.1232|BEARISH
CMCSA|2025-09-10 15:30|33.0282|33.1065|32.9900|33.0200|3420317|0.0082|0.0783|0.0300|BEARISH
CMCSA|2025-09-10 16:30|33.0250|33.1699|32.9950|33.0800|1321693|0.0550|0.0899|0.0300|BULLISH
CMCSA|2025-09-10 17:30|33.0800|33.4055|33.0500|33.4050|1149656|0.3250|0.0005|0.0300|BULLISH
CMCSA|2025-09-10 18:30|33.4000|33.4600|33.2832|33.2850|1586048|0.1150|0.0600|0.0018|BEARISH
CMCSA|2025-09-10 19:30|33.2850|33.5100|33.2450|33.4800|2426002|0.1950|0.0300|0.0400|BULLISH
CMCSA|2025-09-11 13:30|33.4750|33.5600|33.2901|33.3202|2013682|0.1548|0.0850|0.0301|BEARISH
CMCSA|2025-09-11 14:30|33.3250|33.3700|33.2335|33.3050|976335|0.0200|0.0450|0.0715|BEARISH
CMCSA|2025-09-11 15:30|33.3100|33.3450|33.1850|33.3050|2927823|0.0050|0.0350|0.1200|BEARISH
CMCSA|2025-09-11 16:30|33.3100|33.4156|33.2700|33.3350|1087196|0.0250|0.0806|0.0400|BULLISH
CMCSA|2025-09-11 17:30|33.3400|33.5056|33.3100|33.3550|2242937|0.0150|0.1506|0.0300|BULLISH
CMCSA|2025-09-11 18:30|33.3550|33.3800|33.2550|33.3368|2552108|0.0182|0.0250|0.0818|BEARISH
CMCSA|2025-09-11 19:30|33.3350|33.4566|33.3200|33.3900|4076973|0.0550|0.0666|0.0150|BULLISH
