Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
COF|2025-09-02 13:30|223.4000|223.5000|219.2400|222.4950|867606|0.9050|0.1000|3.2550|BEARISH
COF|2025-09-02 14:30|222.4900|222.8000|221.3350|222.0100|290827|0.4800|0.3100|0.6750|BEARISH
COF|2025-09-02 15:30|221.9500|221.9500|220.5650|221.2500|202857|0.7000|0.0000|0.6850|BEARISH
COF|2025-09-02 16:30|221.2400|222.7400|221.2000|222.6150|153127|1.3750|0.1250|0.0400|BULLISH
COF|2025-09-02 17:30|222.6400|223.6600|222.6200|222.6900|161720|0.0500|0.9700|0.0200|BULLISH
COF|2025-09-02 18:30|222.7200|223.5850|222.5250|223.4900|242054|0.7700|0.0950|0.1950|BULLISH
COF|2025-09-02 19:30|223.4900|223.8500|223.0800|223.2200|448124|0.2700|0.3600|0.1400|BEARISH
COF|2025-09-03 13:30|223.2500|223.9700|221.0750|221.3200|422724|1.9300|0.7200|0.2450|BEARISH
COF|2025-09-03 14:30|221.3650|222.2400|220.5001|220.6800|370086|0.6850|0.8750|0.1799|BEARISH
COF|2025-09-03 15:30|220.7600|221.0280|219.8850|220.2250|211824|0.5350|0.2680|0.3400|BEARISH
COF|2025-09-03 16:30|220.2500|220.2500|218.5900|219.5975|333554|0.6525|0.0000|1.0075|BEARISH
COF|2025-09-03 17:30|219.5900|220.1300|218.7800|220.1200|234354|0.5300|0.0100|0.8100|BULLISH
COF|2025-09-03 18:30|220.1202|220.2300|219.5900|220.1400|387555|0.0198|0.0900|0.5302|BULLISH
COF|2025-09-03 19:30|220.1400|221.5700|220.0900|221.2900|490525|1.1500|0.2800|0.0500|BULLISH
COF|2025-09-04 13:30|222.2800|223.6200|221.4600|222.7700|230244|0.4900|0.8500|0.8200|BULLISH
COF|2025-09-04 14:30|222.7200|223.8300|222.4900|223.4300|262500|0.7100|0.4000|0.2300|BULLISH
COF|2025-09-04 15:30|223.4200|224.9600|223.1900|224.2700|386385|0.8500|0.6900|0.2300|BULLISH
COF|2025-09-04 16:30|224.2400|225.7400|224.2200|225.3600|258153|1.1200|0.3800|0.0200|BULLISH
COF|2025-09-04 17:30|225.3700|226.3200|225.0889|226.0700|228685|0.7000|0.2500|0.2811|BULLISH
COF|2025-09-04 18:30|226.0700|226.6300|225.4400|226.5800|306198|0.5100|0.0500|0.6300|BULLISH
COF|2025-09-04 19:30|226.5500|226.7450|225.7800|226.3300|438048|0.2200|0.1950|0.5500|BEARISH
COF|2025-09-05 13:30|226.2500|227.4800|222.7100|223.0200|621815|3.2300|1.2300|0.3100|BEARISH
COF|2025-09-05 14:30|223.0100|223.1600|220.1800|222.6200|661268|0.3900|0.1500|2.4400|BEARISH
COF|2025-09-05 15:30|222.6050|222.9900|221.9750|222.0250|435581|0.5800|0.3850|0.0500|BEARISH
COF|2025-09-05 16:30|222.0800|223.0100|221.6800|221.8250|380501|0.2550|0.9300|0.1450|BEARISH
COF|2025-09-05 17:30|221.7500|221.9700|220.1300|220.5437|355117|1.2063|0.2200|0.4137|BEARISH
COF|2025-09-05 18:30|220.5800|222.5200|220.5800|222.3150|326146|1.7350|0.2050|0.0000|BULLISH
COF|2025-09-05 19:30|222.3200|222.4500|221.4050|221.6100|526395|0.7100|0.1300|0.2050|BEARISH
COF|2025-09-08 13:30|222.0600|222.5000|218.5900|219.6400|429021|2.4200|0.4400|1.0500|BEARISH
COF|2025-09-08 14:30|219.5950|220.8800|219.4600|220.3200|273744|0.7250|0.5600|0.1350|BULLISH
COF|2025-09-08 15:30|220.2800|220.3300|219.0800|219.9300|230741|0.3500|0.0500|0.8500|BEARISH
COF|2025-09-08 16:30|219.9400|219.9900|219.3300|219.6300|155593|0.3100|0.0500|0.3000|BEARISH
COF|2025-09-08 17:30|219.6900|219.8350|219.0450|219.6450|164809|0.0450|0.1450|0.6000|BEARISH
COF|2025-09-08 18:30|219.6500|220.1700|219.3700|219.4600|466699|0.1900|0.5200|0.0900|BEARISH
COF|2025-09-08 19:30|219.4800|220.1400|219.2500|220.0450|771207|0.5650|0.0950|0.2300|BULLISH
COF|2025-09-09 13:30|220.0000|222.3100|219.4100|221.0650|355427|1.0650|1.2450|0.5900|BULLISH
COF|2025-09-09 14:30|221.0950|221.8900|220.2900|221.8850|284010|0.7900|0.0050|0.8050|BULLISH
COF|2025-09-09 15:30|221.8850|221.9100|219.3000|219.7200|259748|2.1650|0.0250|0.4200|BEARISH
COF|2025-09-09 16:30|219.7500|219.9800|218.1600|218.7675|274500|0.9825|0.2300|0.6075|BEARISH
COF|2025-09-09 17:30|218.7200|220.2550|218.5800|219.9600|260461|1.2400|0.2950|0.1400|BULLISH
COF|2025-09-09 18:30|219.9600|222.5600|219.8150|221.0000|752705|1.0400|1.5600|0.1450|BULLISH
COF|2025-09-09 19:30|221.0200|222.7600|220.8700|222.3800|649406|1.3600|0.3800|0.1500|BULLISH
COF|2025-09-10 13:30|221.9800|223.8300|221.0200|223.4500|408510|1.4700|0.3800|0.9600|BULLISH
COF|2025-09-10 14:30|223.4400|223.4700|220.7750|221.7300|447565|1.7100|0.0300|0.9550|BEARISH
COF|2025-09-10 15:30|221.8200|223.0050|221.2550|221.9900|202217|0.1700|1.0150|0.5650|BULLISH
COF|2025-09-10 16:30|221.9900|222.9250|221.9900|222.2200|224829|0.2300|0.7050|0.0000|BULLISH
COF|2025-09-10 17:30|222.2200|223.0350|222.0600|222.7799|201599|0.5599|0.2551|0.1600|BULLISH
COF|2025-09-10 18:30|222.6850|224.1200|222.4900|222.5900|312951|0.0950|1.4350|0.1000|BEARISH
COF|2025-09-10 19:30|222.6500|223.8300|222.1500|223.4000|464742|0.7500|0.4300|0.5000|BULLISH
COF|2025-09-11 13:30|221.6300|225.8200|220.6400|225.1850|410023|3.5550|0.6350|0.9900|BULLISH
COF|2025-09-11 14:30|225.2400|226.2800|224.4700|224.9100|175354|0.3300|1.0400|0.4400|BEARISH
COF|2025-09-11 15:30|225.2300|225.4400|224.3000|224.5600|150043|0.6700|0.2100|0.2600|BEARISH
COF|2025-09-11 16:30|224.6200|225.3500|224.4200|224.9200|148009|0.3000|0.4300|0.2000|BULLISH
COF|2025-09-11 17:30|224.9550|225.5000|224.1401|224.1700|187570|0.7850|0.5450|0.0299|BEARISH
COF|2025-09-11 18:30|224.1550|224.1650|223.2550|223.8800|296598|0.2750|0.0100|0.6250|BEARISH
COF|2025-09-11 19:30|223.8600|224.7800|223.8110|224.2800|325697|0.4200|0.5000|0.0490|BULLISH
COF|2025-09-12 13:30|225.2350|225.3250|222.3920|223.3100|430430|1.9250|0.0900|0.9180|BEARISH
COF|2025-09-12 14:30|223.1400|223.3300|221.8900|222.8650|256345|0.2750|0.1900|0.9750|BEARISH
COF|2025-09-12 15:30|222.9850|223.4100|222.5800|223.2300|170847|0.2450|0.1800|0.4050|BULLISH
COF|2025-09-12 16:30|223.2800|223.4700|222.8350|223.4100|215802|0.1300|0.0600|0.4450|BULLISH
COF|2025-09-12 17:30|223.3500|223.9100|223.0602|223.6900|129660|0.3400|0.2200|0.2898|BULLISH
COF|2025-09-12 18:30|223.7450|224.0900|223.2650|223.7400|213278|0.0050|0.3450|0.4750|BEARISH
COF|2025-09-12 19:30|223.7300|224.0700|222.7000|223.6800|364696|0.0500|0.3400|0.9800|BEARISH
COF|2025-09-15 13:30|225.2400|230.4800|224.9800|230.0550|517598|4.8150|0.4250|0.2600|BULLISH
COF|2025-09-15 14:30|230.1700|230.5000|227.0800|227.2900|382378|2.8800|0.3300|0.2100|BEARISH
COF|2025-09-15 15:30|227.3450|227.4300|226.4200|227.0300|176656|0.3150|0.0850|0.6100|BEARISH
COF|2025-09-15 16:30|227.0000|227.6058|226.8200|226.8450|213458|0.1550|0.6058|0.0250|BEARISH
COF|2025-09-15 17:30|226.8970|227.7900|226.2000|227.7300|408895|0.8330|0.0600|0.6970|BULLISH
COF|2025-09-15 18:30|227.7100|227.8700|227.0350|227.1000|296520|0.6100|0.1600|0.0650|BEARISH
COF|2025-09-15 19:30|227.0700|227.0996|226.3000|226.5950|411566|0.4750|0.0296|0.2950|BEARISH
COF|2025-09-16 13:30|227.7900|227.7900|223.1900|223.4700|458663|4.3200|0.0000|0.2800|BEARISH
COF|2025-09-16 14:30|223.4650|223.5400|222.3200|222.7750|271140|0.6900|0.0750|0.4550|BEARISH
