Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
COST|2025-09-02 13:30|940.4900|944.5126|938.2900|942.3751|354645|1.8851|2.1375|2.2000|BULLISH
COST|2025-09-02 14:30|942.3750|942.6000|937.9000|940.5300|208907|1.8450|0.2250|2.6300|BEARISH
COST|2025-09-02 15:30|940.5650|940.5650|937.2600|938.3600|142800|2.2050|0.0000|1.1000|BEARISH
COST|2025-09-02 16:30|938.5000|939.2250|936.5800|938.5200|124038|0.0200|0.7050|1.9200|BULLISH
COST|2025-09-02 17:30|938.5650|939.5712|937.3800|938.1600|138209|0.4050|1.0062|0.7800|BEARISH
COST|2025-09-02 18:30|938.1600|938.6450|936.9400|937.8650|168327|0.2950|0.4850|0.9250|BEARISH
COST|2025-09-02 19:30|937.7750|939.4250|937.0300|939.0300|271812|1.2550|0.3950|0.7450|BULLISH
COST|2025-09-03 13:30|939.4500|940.8900|936.9701|939.0700|305770|0.3800|1.4400|2.0999|BEARISH
COST|2025-09-03 14:30|938.3100|946.5100|937.1220|945.2500|243938|6.9400|1.2600|1.1880|BULLISH
COST|2025-09-03 15:30|945.5600|945.9999|943.1734|945.1700|140321|0.3900|0.4399|1.9966|BEARISH
COST|2025-09-03 16:30|944.9700|947.4999|943.8500|946.0275|164866|1.0576|1.4724|1.1200|BULLISH
COST|2025-09-03 17:30|945.8950|946.1500|943.6400|945.5900|89395|0.3050|0.2550|1.9500|BEARISH
COST|2025-09-03 18:30|945.5600|946.9999|945.3900|946.8500|108159|1.2900|0.1499|0.1700|BULLISH
COST|2025-09-03 19:30|946.7225|950.0900|946.5700|950.0900|344847|3.3676|0.0000|0.1525|BULLISH
COST|2025-09-04 13:30|953.4000|957.6399|951.1100|955.2100|292007|1.8100|2.4299|2.2900|BULLISH
COST|2025-09-04 14:30|955.2800|958.9899|955.2300|957.8900|205121|2.6100|1.0999|0.0500|BULLISH
COST|2025-09-04 15:30|957.8500|959.5000|956.6402|957.4050|128995|0.4449|1.6500|0.7648|BEARISH
COST|2025-09-04 16:30|957.2500|958.3900|955.9400|956.1466|96064|1.1034|1.1400|0.2066|BEARISH
COST|2025-09-04 17:30|955.8100|956.7400|955.0000|956.6500|84738|0.8400|0.0900|0.8100|BULLISH
COST|2025-09-04 18:30|956.6500|956.8100|953.2400|953.7200|151680|2.9301|0.1600|0.4800|BEARISH
COST|2025-09-04 19:30|953.1135|956.5350|953.1135|955.8300|272845|2.7165|0.7050|0.0000|BULLISH
COST|2025-09-05 13:30|959.1300|969.5500|959.1300|965.4950|528103|6.3650|4.0550|0.0000|BULLISH
COST|2025-09-05 14:30|965.3700|966.7900|959.0000|960.8899|207036|4.4801|1.4200|1.8899|BEARISH
COST|2025-09-05 15:30|960.4800|960.7399|956.9900|958.5654|142890|1.9146|0.2599|1.5754|BEARISH
COST|2025-09-05 16:30|958.2190|958.7398|956.2226|957.7200|111688|0.4990|0.5208|1.4974|BEARISH
COST|2025-09-05 17:30|958.0300|961.4300|957.9875|961.0850|117750|3.0550|0.3450|0.0425|BULLISH
COST|2025-09-05 18:30|962.0000|964.1900|961.5600|962.8100|134362|0.8100|1.3800|0.4400|BULLISH
COST|2025-09-05 19:30|963.1400|965.1300|962.2827|963.5900|329831|0.4500|1.5400|0.8573|BULLISH
COST|2025-09-08 13:30|963.7300|965.9999|958.5863|965.6020|291337|1.8720|0.3979|5.1437|BULLISH
COST|2025-09-08 14:30|966.1700|966.3600|962.3000|963.5800|144563|2.5900|0.1900|1.2800|BEARISH
COST|2025-09-08 15:30|963.7200|965.3699|962.5700|964.9150|151012|1.1950|0.4549|1.1500|BULLISH
COST|2025-09-08 16:30|964.5075|966.1102|964.0000|965.2252|94528|0.7177|0.8850|0.5075|BULLISH
COST|2025-09-08 17:30|965.5250|967.6000|965.2500|967.0000|124704|1.4750|0.6000|0.2750|BULLISH
