Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CVS|2025-09-02 13:30|72.9800|74.5300|72.8800|74.4500|1948911|1.4700|0.0800|0.1000|BULLISH
CVS|2025-09-02 14:30|74.4400|74.5300|73.9800|74.0450|712157|0.3950|0.0900|0.0650|BEARISH
CVS|2025-09-02 15:30|74.0600|74.2500|73.9600|74.0600|477653|0.0000|0.1900|0.1000|BULLISH
CVS|2025-09-02 16:30|74.0501|74.1750|73.6700|73.8900|543568|0.1601|0.1249|0.2200|BEARISH
CVS|2025-09-02 17:30|73.8900|74.1000|73.7150|73.7900|732635|0.1000|0.2100|0.0750|BEARISH
CVS|2025-09-02 18:30|73.7898|73.9300|73.6300|73.8700|562705|0.0802|0.0600|0.1598|BULLISH
CVS|2025-09-02 19:30|73.8600|74.1000|73.7300|74.0800|1215153|0.2200|0.0200|0.1300|BULLISH
CVS|2025-09-03 13:30|74.0900|74.4527|73.1400|73.1950|978046|0.8950|0.3627|0.0550|BEARISH
CVS|2025-09-03 14:30|73.1900|73.6000|73.0900|73.3450|609083|0.1550|0.2550|0.1000|BULLISH
CVS|2025-09-03 15:30|73.3300|73.4750|73.1550|73.1550|420522|0.1750|0.1450|0.0000|BEARISH
CVS|2025-09-03 16:30|73.1550|73.3400|73.0700|73.1350|414554|0.0200|0.1850|0.0650|BEARISH
CVS|2025-09-03 17:30|73.1350|73.4200|73.0350|73.4000|470259|0.2650|0.0200|0.1000|BULLISH
CVS|2025-09-03 18:30|73.4000|73.5300|72.9400|72.9700|702340|0.4300|0.1300|0.0300|BEARISH
CVS|2025-09-03 19:30|72.9600|73.4300|72.8650|73.3200|1551158|0.3600|0.1100|0.0950|BULLISH
CVS|2025-09-04 13:30|73.4200|73.9050|72.9100|73.5200|806544|0.1000|0.3850|0.5100|BULLISH
CVS|2025-09-04 14:30|73.5100|73.6000|73.1700|73.4500|573217|0.0600|0.0900|0.2800|BEARISH
CVS|2025-09-04 15:30|73.4500|73.6900|73.3337|73.5300|394808|0.0800|0.1600|0.1163|BULLISH
CVS|2025-09-04 16:30|73.5250|73.6200|73.3800|73.4600|254714|0.0650|0.0950|0.0800|BEARISH
CVS|2025-09-04 17:30|73.4600|73.6000|73.3000|73.3450|480838|0.1150|0.1400|0.0450|BEARISH
CVS|2025-09-04 18:30|73.3500|73.5750|73.2800|73.3500|497210|0.0000|0.2250|0.0700|BULLISH
CVS|2025-09-04 19:30|73.3500|73.6900|73.2900|73.6750|920934|0.3250|0.0150|0.0600|BULLISH
CVS|2025-09-05 13:30|73.3800|74.2600|73.0600|73.9600|836252|0.5800|0.3000|0.3200|BULLISH
CVS|2025-09-05 14:30|73.9600|74.4500|73.6300|74.3500|627742|0.3900|0.1000|0.3300|BULLISH
