Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
C|2025-09-02 13:30|95.0200|95.0200|92.9600|93.9100|3557952|1.1100|0.0000|0.9500|BEARISH
C|2025-09-02 14:30|93.9000|94.0800|93.5350|93.7400|2003419|0.1600|0.1800|0.2050|BEARISH
C|2025-09-02 15:30|93.7300|93.8700|93.5600|93.8300|1368025|0.1000|0.0400|0.1700|BULLISH
C|2025-09-02 16:30|93.8300|94.0250|93.8200|93.8900|1348058|0.0600|0.1350|0.0100|BULLISH
C|2025-09-02 17:30|93.8800|94.2650|93.8750|94.1500|1093092|0.2700|0.1150|0.0050|BULLISH
C|2025-09-02 18:30|94.1500|94.3850|94.0800|94.3500|1653097|0.2000|0.0350|0.0700|BULLISH
C|2025-09-02 19:30|94.3400|94.7900|94.3300|94.7900|2079710|0.4500|0.0000|0.0100|BULLISH
C|2025-09-03 13:30|94.8900|95.2400|94.5700|94.6900|1730293|0.2000|0.3500|0.1200|BEARISH
C|2025-09-03 14:30|94.6900|94.9100|93.9600|93.9950|1225999|0.6950|0.2200|0.0350|BEARISH
C|2025-09-03 15:30|93.9900|94.1200|93.6150|93.6350|1543609|0.3550|0.1300|0.0200|BEARISH
C|2025-09-03 16:30|93.6350|94.0050|93.4000|93.9450|1775876|0.3100|0.0600|0.2350|BULLISH
C|2025-09-03 17:30|93.9400|94.2200|93.7592|94.1400|1194512|0.2000|0.0800|0.1808|BULLISH
C|2025-09-03 18:30|94.1400|94.4399|94.0050|94.3850|903452|0.2450|0.0549|0.1350|BULLISH
C|2025-09-03 19:30|94.3850|95.0300|94.3850|95.0200|2026644|0.6350|0.0100|0.0000|BULLISH
C|2025-09-04 13:30|95.3000|96.6300|95.3000|96.2350|2631252|0.9350|0.3950|0.0000|BULLISH
C|2025-09-04 14:30|96.2300|96.5500|96.0800|96.3450|1666281|0.1150|0.2050|0.1500|BULLISH
C|2025-09-04 15:30|96.3489|96.4700|96.1500|96.2550|1243484|0.0939|0.1211|0.1050|BEARISH
C|2025-09-04 16:30|96.2600|96.6650|96.1800|96.6550|1403343|0.3950|0.0100|0.0800|BULLISH
C|2025-09-04 17:30|96.6500|97.0555|96.5500|96.9750|1137695|0.3250|0.0805|0.1000|BULLISH
C|2025-09-04 18:30|96.9750|97.1023|96.7900|97.0550|1152151|0.0800|0.0473|0.1850|BULLISH
C|2025-09-04 19:30|97.0500|97.1525|96.9600|97.0900|1742851|0.0400|0.0625|0.0900|BULLISH
C|2025-09-05 13:30|97.3700|97.8700|94.7250|95.0400|5106879|2.3300|0.5000|0.3150|BEARISH
C|2025-09-05 14:30|95.0300|95.2299|94.1500|95.1600|2401418|0.1300|0.0699|0.8800|BULLISH
C|2025-09-05 15:30|95.1800|95.4600|95.0000|95.1500|1406050|0.0300|0.2800|0.1500|BEARISH
C|2025-09-05 16:30|95.1450|95.8500|95.0900|95.4981|1174202|0.3531|0.3519|0.0550|BULLISH
C|2025-09-05 17:30|95.4900|95.5600|95.1600|95.4750|890588|0.0150|0.0700|0.3150|BEARISH
C|2025-09-05 18:30|95.4616|95.8300|95.4616|95.6600|1080146|0.1984|0.1700|0.0000|BULLISH
C|2025-09-05 19:30|95.6700|95.7500|95.4000|95.4200|1508124|0.2500|0.0800|0.0200|BEARISH
C|2025-09-08 13:30|95.8600|95.8900|94.7200|95.1000|1991055|0.7600|0.0300|0.3800|BEARISH
C|2025-09-08 14:30|95.0900|95.8200|95.0700|95.5100|1284727|0.4200|0.3100|0.0200|BULLISH
C|2025-09-08 15:30|95.4950|95.4950|94.9250|95.0650|849876|0.4300|0.0000|0.1400|BEARISH
C|2025-09-08 16:30|95.0650|95.2900|94.9400|95.2250|788133|0.1600|0.0650|0.1250|BULLISH
C|2025-09-08 17:30|95.2299|95.2900|94.6400|95.2450|908436|0.0151|0.0450|0.5899|BULLISH
C|2025-09-08 18:30|95.2500|95.7475|95.1800|95.3850|1305811|0.1350|0.3625|0.0700|BULLISH
C|2025-09-08 19:30|95.3900|95.9650|95.3700|95.9000|1943637|0.5100|0.0650|0.0200|BULLISH
C|2025-09-09 13:30|95.5100|97.0100|95.5050|96.7550|2345557|1.2450|0.2550|0.0050|BULLISH
C|2025-09-09 14:30|96.7550|97.9800|96.5900|97.9450|2846936|1.1900|0.0350|0.1650|BULLISH
C|2025-09-09 15:30|97.9400|98.1399|97.3800|97.7300|1574761|0.2100|0.1999|0.3500|BEARISH
C|2025-09-09 16:30|97.7300|98.1300|96.5300|97.6400|4190680|0.0900|0.4000|1.1100|BEARISH
C|2025-09-09 17:30|97.6300|97.8100|97.0193|97.6700|1188369|0.0400|0.1400|0.6107|BULLISH
C|2025-09-09 18:30|97.6600|97.9850|97.3100|97.3350|2275327|0.3250|0.3250|0.0250|BEARISH
C|2025-09-09 19:30|97.3400|97.6050|97.2600|97.3200|1852278|0.0200|0.2650|0.0600|BEARISH
C|2025-09-10 13:30|97.5000|98.3800|97.2300|97.4700|2697034|0.0300|0.8800|0.2400|BEARISH
C|2025-09-10 14:30|97.4400|97.4400|96.5400|96.5650|1665119|0.8750|0.0000|0.0250|BEARISH
C|2025-09-10 15:30|96.5650|97.4750|96.5100|97.2250|1063139|0.6600|0.2500|0.0550|BULLISH
C|2025-09-10 16:30|97.2300|97.4800|96.9200|96.9400|914407|0.2900|0.2500|0.0200|BEARISH
C|2025-09-10 17:30|96.9350|97.2399|96.8800|96.9800|1019929|0.0450|0.2599|0.0550|BULLISH
C|2025-09-10 18:30|96.9600|97.2165|96.8500|96.8500|932228|0.1100|0.2565|0.0000|BEARISH
C|2025-09-10 19:30|96.9000|97.4400|96.8900|97.1800|2053082|0.2800|0.2600|0.0100|BULLISH
C|2025-09-11 13:30|97.3500|98.4200|96.8900|98.2150|2124234|0.8650|0.2050|0.4600|BULLISH
C|2025-09-11 14:30|98.2000|98.7300|98.0500|98.2800|1343798|0.0800|0.4500|0.1500|BULLISH
C|2025-09-11 15:30|98.2800|98.4950|98.1350|98.3900|929774|0.1100|0.1050|0.1450|BULLISH
C|2025-09-11 16:30|98.3900|98.6200|98.3500|98.3750|870296|0.0150|0.2300|0.0250|BEARISH
C|2025-09-11 17:30|98.3800|98.8250|98.3600|98.6200|959010|0.2400|0.2050|0.0200|BULLISH
C|2025-09-11 18:30|98.6200|98.7950|98.4474|98.7100|1223319|0.0900|0.0850|0.1726|BULLISH
C|2025-09-11 19:30|98.7150|99.0400|98.7000|98.8200|1804449|0.1050|0.2200|0.0150|BULLISH
C|2025-09-12 13:30|98.7800|99.2887|98.4400|99.0650|1619329|0.2850|0.2237|0.3400|BULLISH
C|2025-09-12 14:30|99.0700|99.4399|99.0000|99.1500|1399287|0.0800|0.2899|0.0700|BULLISH
C|2025-09-12 15:30|99.1400|99.3200|99.0850|99.2600|648949|0.1200|0.0600|0.0550|BULLISH
C|2025-09-12 16:30|99.2700|99.4699|99.1450|99.4000|649287|0.1300|0.0699|0.1250|BULLISH
C|2025-09-12 17:30|99.4100|99.4450|99.2050|99.3700|754467|0.0400|0.0350|0.1650|BEARISH
C|2025-09-12 18:30|99.3650|99.5500|99.2700|99.3900|1124936|0.0250|0.1600|0.0950|BULLISH
C|2025-09-12 19:30|99.3900|99.7000|99.2800|99.4800|1476817|0.0900|0.2200|0.1100|BULLISH
C|2025-09-15 13:30|99.8000|100.1700|99.4000|99.9800|2645636|0.1800|0.1900|0.4000|BULLISH
C|2025-09-15 14:30|99.9750|99.9950|99.4600|99.5400|1120451|0.4350|0.0200|0.0800|BEARISH
C|2025-09-15 15:30|99.5250|99.7270|99.4300|99.6599|772396|0.1349|0.0671|0.0950|BULLISH
C|2025-09-15 16:30|99.6500|99.9450|99.6450|99.8800|631701|0.2300|0.0650|0.0050|BULLISH
C|2025-09-15 17:30|99.8900|100.0250|99.6700|99.9050|1184426|0.0150|0.1200|0.2200|BULLISH
C|2025-09-15 18:30|99.9000|100.0050|99.8101|99.9200|975053|0.0200|0.0850|0.0899|BULLISH
C|2025-09-15 19:30|99.9250|100.0100|99.8000|99.8000|1809065|0.1250|0.0850|0.0000|BEARISH
C|2025-09-16 13:30|99.8600|100.2100|99.4900|99.5400|2165976|0.3200|0.3500|0.0500|BEARISH
C|2025-09-16 14:30|99.5500|99.8100|99.4600|99.4800|1058842|0.0700|0.2600|0.0200|BEARISH
C|2025-09-16 15:30|99.4701|99.9500|99.2100|99.8300|1203475|0.3599|0.1200|0.2601|BULLISH
C|2025-09-16 16:30|99.8300|100.0550|99.7450|99.9841|1299411|0.1541|0.0709|0.0850|BULLISH
C|2025-09-16 17:30|100.0000|100.7300|99.9750|100.5950|1208983|0.5950|0.1350|0.0250|BULLISH
C|2025-09-16 18:30|100.6000|100.7959|100.2000|100.2200|1424742|0.3800|0.1959|0.0200|BEARISH
C|2025-09-16 19:30|100.2299|100.8500|100.2100|100.6800|1449705|0.4501|0.1700|0.0199|BULLISH
C|2025-09-17 13:30|100.4900|102.0000|100.4100|101.5300|2381978|1.0400|0.4700|0.0800|BULLISH
C|2025-09-17 14:30|101.5300|102.0000|101.4800|101.6499|1379333|0.1199|0.3501|0.0500|BULLISH
C|2025-09-17 15:30|101.6400|101.7000|101.1250|101.2450|886035|0.3950|0.0600|0.1200|BEARISH
C|2025-09-17 16:30|101.2400|101.2600|100.9200|101.0900|773595|0.1500|0.0200|0.1700|BEARISH
C|2025-09-17 17:30|101.0950|102.0400|100.8725|101.9600|1695147|0.8650|0.0800|0.2225|BULLISH
C|2025-09-17 18:30|101.9600|102.1400|100.5700|101.9673|2557781|0.0073|0.1727|1.3900|BULLISH
C|2025-09-17 19:30|101.9700|102.2100|101.6400|101.7650|2272445|0.2050|0.2400|0.1250|BEARISH
C|2025-09-18 13:30|101.9700|102.7000|101.7200|102.5800|3279176|0.6100|0.1200|0.2500|BULLISH
