Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DIS|2025-09-02 13:30|117.0200|117.4000|115.9965|117.3600|1301123|0.3400|0.0400|1.0235|BULLISH
DIS|2025-09-02 14:30|117.3700|117.5500|116.6741|117.0400|655515|0.3300|0.1800|0.3659|BEARISH
DIS|2025-09-02 15:30|117.0400|117.3300|116.6200|117.0725|441734|0.0325|0.2575|0.4200|BULLISH
DIS|2025-09-02 16:30|117.0719|117.6050|117.0501|117.5300|392465|0.4581|0.0750|0.0218|BULLISH
DIS|2025-09-02 17:30|117.5300|117.9200|117.5200|117.6050|557633|0.0750|0.3150|0.0100|BULLISH
DIS|2025-09-02 18:30|117.6050|117.8643|117.4300|117.8100|440466|0.2050|0.0543|0.1750|BULLISH
DIS|2025-09-02 19:30|117.8100|118.2800|117.7500|118.2600|754297|0.4500|0.0200|0.0600|BULLISH
DIS|2025-09-03 13:30|117.8300|118.6200|116.4700|116.5500|1147330|1.2800|0.7900|0.0800|BEARISH
DIS|2025-09-03 14:30|116.5750|117.3500|116.4300|117.1000|993511|0.5250|0.2500|0.1450|BULLISH
DIS|2025-09-03 15:30|117.0950|117.2800|116.7500|116.8100|819267|0.2850|0.1850|0.0600|BEARISH
DIS|2025-09-03 16:30|116.8100|117.0400|116.4000|116.9750|533799|0.1650|0.0650|0.4100|BULLISH
DIS|2025-09-03 17:30|116.9600|117.0000|116.3500|116.8400|481338|0.1200|0.0400|0.4900|BEARISH
DIS|2025-09-03 18:30|116.8400|117.0017|116.6900|116.9990|518818|0.1590|0.0027|0.1500|BULLISH
DIS|2025-09-03 19:30|116.9900|117.3800|116.9800|117.3300|732588|0.3400|0.0500|0.0100|BULLISH
DIS|2025-09-04 13:30|117.0800|118.6200|116.7600|118.5900|981750|1.5100|0.0300|0.3200|BULLISH
DIS|2025-09-04 14:30|118.5700|118.8000|118.1950|118.6536|705283|0.0836|0.1464|0.3750|BULLISH
DIS|2025-09-04 15:30|118.6452|118.8900|118.3700|118.5200|464221|0.1252|0.2448|0.1500|BEARISH
DIS|2025-09-04 16:30|118.5150|119.1500|118.5100|119.1350|675410|0.6200|0.0150|0.0050|BULLISH
DIS|2025-09-04 17:30|119.1400|119.4000|119.0482|119.2700|687446|0.1300|0.1300|0.0918|BULLISH
DIS|2025-09-04 18:30|119.2726|119.6750|119.2505|119.3750|845202|0.1024|0.3000|0.0221|BULLISH
DIS|2025-09-04 19:30|119.3700|119.3800|118.6800|118.8200|969239|0.5500|0.0100|0.1400|BEARISH
DIS|2025-09-05 13:30|119.1300|119.7800|118.4400|118.5900|1101954|0.5400|0.6500|0.1500|BEARISH
DIS|2025-09-05 14:30|118.5915|118.6100|117.7000|118.2950|882364|0.2965|0.0185|0.5950|BEARISH
DIS|2025-09-05 15:30|118.2950|118.2950|117.7200|117.9700|602460|0.3250|0.0000|0.2500|BEARISH
DIS|2025-09-05 16:30|117.9800|118.1800|117.7700|118.0200|676290|0.0400|0.1600|0.2100|BULLISH
DIS|2025-09-05 17:30|118.0100|118.1700|117.7800|118.1000|504891|0.0900|0.0700|0.2300|BULLISH
DIS|2025-09-05 18:30|118.1000|118.3300|118.1000|118.2400|473861|0.1400|0.0900|0.0000|BULLISH
DIS|2025-09-05 19:30|118.2350|118.3100|117.8600|117.9450|1047957|0.2900|0.0750|0.0850|BEARISH
DIS|2025-09-08 13:30|117.9600|118.1550|116.7700|118.0500|1188660|0.0900|0.1050|1.1900|BULLISH
DIS|2025-09-08 14:30|118.0600|118.5000|118.0300|118.0950|534317|0.0350|0.4050|0.0300|BULLISH
DIS|2025-09-08 15:30|118.0800|118.4800|117.9303|118.3500|398126|0.2700|0.1300|0.1497|BULLISH
DIS|2025-09-08 16:30|118.3500|118.4800|117.9800|118.0750|534436|0.2750|0.1300|0.0950|BEARISH
DIS|2025-09-08 17:30|118.0700|118.4100|117.9900|118.4000|631395|0.3300|0.0100|0.0800|BULLISH
DIS|2025-09-08 18:30|118.4000|118.4200|118.0700|118.3000|556276|0.1000|0.0200|0.2300|BEARISH
DIS|2025-09-08 19:30|118.3050|118.8800|118.2850|118.8400|992319|0.5350|0.0400|0.0200|BULLISH
DIS|2025-09-09 13:30|118.5250|119.0500|118.0200|118.1800|854459|0.3450|0.5250|0.1600|BEARISH
DIS|2025-09-09 14:30|118.1900|118.4700|118.0700|118.3100|475625|0.1200|0.1600|0.1200|BULLISH
DIS|2025-09-09 15:30|118.3150|118.4400|117.4200|118.1200|811208|0.1950|0.1250|0.7000|BEARISH
DIS|2025-09-09 16:30|118.1100|118.1500|117.7400|117.9800|455793|0.1300|0.0400|0.2400|BEARISH
DIS|2025-09-09 17:30|117.9700|118.0600|117.8120|117.9500|339645|0.0200|0.0900|0.1380|BEARISH
DIS|2025-09-09 18:30|117.9500|117.9600|117.4400|117.4600|719410|0.4900|0.0100|0.0200|BEARISH
DIS|2025-09-09 19:30|117.4600|117.5400|117.2200|117.3700|753214|0.0900|0.0800|0.1500|BEARISH
DIS|2025-09-10 13:30|116.8500|117.5100|115.7700|116.2600|1327588|0.5900|0.6600|0.4900|BEARISH
DIS|2025-09-10 14:30|116.2500|116.2600|114.4950|115.0750|1359921|1.1750|0.0100|0.5800|BEARISH
DIS|2025-09-10 15:30|115.0800|115.6704|114.9900|115.4800|622575|0.4000|0.1904|0.0900|BULLISH
DIS|2025-09-10 16:30|115.4754|115.7663|115.2300|115.4150|464406|0.0604|0.2909|0.1850|BEARISH
