Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EMR|2025-09-02 13:30|130.2700|131.1200|129.0800|130.8200|387940|0.5500|0.3000|1.1900|BULLISH
EMR|2025-09-02 14:30|130.8800|131.0300|130.2500|130.2800|228192|0.6000|0.1500|0.0300|BEARISH
EMR|2025-09-02 15:30|130.2800|130.5100|130.0550|130.1800|207612|0.1000|0.2300|0.1250|BEARISH
EMR|2025-09-02 16:30|130.2300|130.8585|130.1601|130.8200|234995|0.5900|0.0385|0.0699|BULLISH
EMR|2025-09-02 17:30|130.8500|131.1900|130.6301|130.6800|195909|0.1700|0.3400|0.0499|BEARISH
EMR|2025-09-02 18:30|130.6744|131.0000|130.6349|130.7850|279781|0.1106|0.2150|0.0395|BULLISH
EMR|2025-09-02 19:30|130.7800|131.4100|130.7000|131.3600|568677|0.5800|0.0500|0.0800|BULLISH
EMR|2025-09-03 13:30|131.3550|131.3550|130.1000|130.1800|187734|1.1750|0.0000|0.0800|BEARISH
EMR|2025-09-03 14:30|130.2800|130.4550|129.9100|129.9650|160469|0.3150|0.1750|0.0550|BEARISH
EMR|2025-09-03 15:30|129.9675|130.0757|129.3600|129.3700|132380|0.5975|0.1082|0.0100|BEARISH
EMR|2025-09-03 16:30|129.4436|129.4500|128.9500|129.3145|147309|0.1291|0.0064|0.3645|BEARISH
EMR|2025-09-03 17:30|129.3400|129.4900|129.0300|129.3600|140185|0.0200|0.1300|0.3100|BULLISH
EMR|2025-09-03 18:30|129.3200|129.3400|128.7000|128.7000|206570|0.6200|0.0200|0.0000|BEARISH
EMR|2025-09-03 19:30|128.7000|129.6650|128.6400|129.4600|454436|0.7600|0.2050|0.0600|BULLISH
EMR|2025-09-04 13:30|129.9500|130.6050|129.5650|130.5250|189012|0.5750|0.0800|0.3850|BULLISH
EMR|2025-09-04 14:30|130.5300|131.5300|130.5300|131.4300|191580|0.9000|0.1000|0.0000|BULLISH
EMR|2025-09-04 15:30|131.4250|131.6200|131.0900|131.1200|311451|0.3050|0.1950|0.0300|BEARISH
EMR|2025-09-04 16:30|131.1100|131.4200|130.9500|131.4200|175319|0.3100|0.0000|0.1600|BULLISH
EMR|2025-09-04 17:30|131.4400|132.3800|131.4100|132.1150|439559|0.6750|0.2650|0.0300|BULLISH
EMR|2025-09-04 18:30|132.1150|132.5800|131.9700|132.4800|390612|0.3650|0.1000|0.1450|BULLISH
EMR|2025-09-04 19:30|132.4900|133.1400|132.4200|133.0700|717252|0.5800|0.0700|0.0700|BULLISH
EMR|2025-09-05 13:30|133.5800|134.4700|132.2001|132.3200|365296|1.2600|0.8900|0.1199|BEARISH
EMR|2025-09-05 14:30|132.3100|132.4800|131.1400|131.5600|357982|0.7500|0.1700|0.4200|BEARISH
EMR|2025-09-05 15:30|131.5600|131.6287|130.8009|131.3200|242480|0.2400|0.0687|0.5191|BEARISH
EMR|2025-09-05 16:30|131.3350|132.5300|131.2100|132.1000|383459|0.7650|0.4300|0.1250|BULLISH
EMR|2025-09-05 17:30|132.1000|132.4100|131.6850|132.4000|545664|0.3000|0.0100|0.4150|BULLISH
EMR|2025-09-05 18:30|132.4300|133.0000|132.4300|132.7800|414585|0.3500|0.2200|0.0000|BULLISH
EMR|2025-09-05 19:30|132.8000|132.8800|132.1600|132.5600|529597|0.2400|0.0800|0.4000|BEARISH
EMR|2025-09-08 13:30|133.1700|133.8200|131.6500|132.4450|260067|0.7250|0.6500|0.7950|BEARISH
EMR|2025-09-08 14:30|132.4900|133.3300|132.4900|133.3200|164765|0.8300|0.0100|0.0000|BULLISH
EMR|2025-09-08 15:30|133.2900|133.3400|132.4500|132.5650|123327|0.7250|0.0500|0.1150|BEARISH
EMR|2025-09-08 16:30|132.6300|132.7000|132.2400|132.6150|145330|0.0150|0.0700|0.3750|BEARISH
EMR|2025-09-08 17:30|132.6300|132.7000|131.8400|132.4100|164470|0.2200|0.0700|0.5700|BEARISH
EMR|2025-09-08 18:30|132.4300|132.7550|132.2900|132.3400|235010|0.0900|0.3250|0.0500|BEARISH
EMR|2025-09-08 19:30|132.3400|132.7600|132.2100|132.7300|486196|0.3900|0.0300|0.1300|BULLISH
EMR|2025-09-09 13:30|132.2700|132.7900|131.9100|132.1500|200243|0.1200|0.5200|0.2400|BEARISH
EMR|2025-09-09 14:30|132.1400|132.3600|131.7500|132.0500|179132|0.0900|0.2200|0.3000|BEARISH
EMR|2025-09-09 15:30|132.0600|132.2100|131.7000|131.9450|103751|0.1150|0.1500|0.2450|BEARISH
EMR|2025-09-09 16:30|131.9300|132.1000|131.8000|131.9900|109688|0.0600|0.1100|0.1300|BULLISH
EMR|2025-09-09 17:30|131.9600|132.2600|131.9000|132.2350|127298|0.2750|0.0250|0.0600|BULLISH
EMR|2025-09-09 18:30|132.2275|132.2900|131.6500|132.0000|201027|0.2275|0.0625|0.3500|BEARISH
EMR|2025-09-09 19:30|131.9950|132.3250|131.9600|132.0700|346104|0.0750|0.2550|0.0350|BULLISH
EMR|2025-09-10 13:30|132.6600|135.4600|132.4050|135.0950|451988|2.4350|0.3650|0.2550|BULLISH
EMR|2025-09-10 14:30|135.0400|135.1700|133.4800|133.5500|305487|1.4900|0.1300|0.0700|BEARISH
EMR|2025-09-10 15:30|133.5900|134.2900|133.4500|133.8200|178923|0.2300|0.4700|0.1400|BULLISH
EMR|2025-09-10 16:30|133.8200|134.0100|133.6301|133.7200|151945|0.1000|0.1900|0.0899|BEARISH
EMR|2025-09-10 17:30|133.7100|133.7199|133.1200|133.2100|156110|0.5000|0.0099|0.0900|BEARISH
EMR|2025-09-10 18:30|133.2150|133.6950|132.8935|132.9600|270605|0.2550|0.4800|0.0665|BEARISH
EMR|2025-09-10 19:30|132.9428|133.7000|132.8800|133.6700|410499|0.7272|0.0300|0.0628|BULLISH
EMR|2025-09-11 13:30|134.0100|136.7000|133.1500|136.6050|290604|2.5950|0.0950|0.8600|BULLISH
EMR|2025-09-11 14:30|136.5605|136.7199|136.0401|136.5600|225309|0.0005|0.1594|0.5199|BEARISH
EMR|2025-09-11 15:30|136.5900|136.7900|136.2700|136.6400|166996|0.0500|0.1500|0.3200|BULLISH
EMR|2025-09-11 16:30|136.6900|136.8400|136.2400|136.4500|401722|0.2400|0.1500|0.2100|BEARISH
EMR|2025-09-11 17:30|136.4600|136.9500|136.4600|136.5250|186500|0.0650|0.4250|0.0000|BULLISH
EMR|2025-09-11 18:30|136.5200|136.9700|136.4150|136.9100|267627|0.3900|0.0600|0.1050|BULLISH
EMR|2025-09-11 19:30|136.9050|137.6800|136.9050|137.4400|652546|0.5350|0.2400|0.0000|BULLISH
EMR|2025-09-12 13:30|137.3500|137.5400|136.3150|136.4700|231546|0.8800|0.1900|0.1550|BEARISH
EMR|2025-09-12 14:30|136.5000|136.5000|135.8700|135.8700|141791|0.6300|0.0000|0.0000|BEARISH
EMR|2025-09-12 15:30|135.8800|135.9100|135.4700|135.7800|118329|0.1000|0.0300|0.3100|BEARISH
EMR|2025-09-12 16:30|135.8150|136.1000|135.6600|135.9900|116569|0.1750|0.1100|0.1550|BULLISH
