Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EXC|2025-09-02 13:30|43.4200|43.6200|43.2900|43.5700|633522|0.1500|0.0500|0.1300|BULLISH
EXC|2025-09-02 14:30|43.5800|43.7050|43.4907|43.5242|384487|0.0558|0.1250|0.0335|BEARISH
EXC|2025-09-02 15:30|43.5200|43.6250|43.3350|43.3900|327521|0.1300|0.1050|0.0550|BEARISH
EXC|2025-09-02 16:30|43.3900|43.4000|43.2746|43.3400|255611|0.0500|0.0100|0.0654|BEARISH
EXC|2025-09-02 17:30|43.3350|43.4100|43.2600|43.2750|396715|0.0600|0.0750|0.0150|BEARISH
EXC|2025-09-02 18:30|43.2700|43.2950|43.1700|43.1750|630077|0.0950|0.0250|0.0050|BEARISH
EXC|2025-09-02 19:30|43.1750|43.4100|43.1550|43.3750|1082345|0.2000|0.0350|0.0200|BULLISH
EXC|2025-09-03 13:30|43.5800|43.6150|43.0700|43.1600|2377422|0.4200|0.0350|0.0900|BEARISH
EXC|2025-09-03 14:30|43.1550|43.4900|43.0550|43.4650|602705|0.3100|0.0250|0.1000|BULLISH
EXC|2025-09-03 15:30|43.4650|43.4800|43.0550|43.0550|336381|0.4100|0.0150|0.0000|BEARISH
EXC|2025-09-03 16:30|43.0550|43.0650|42.8950|42.9850|399298|0.0700|0.0100|0.0900|BEARISH
EXC|2025-09-03 17:30|42.9850|43.1200|42.9245|43.0850|295993|0.1000|0.0350|0.0605|BULLISH
EXC|2025-09-03 18:30|43.0800|43.1800|43.0150|43.1150|317741|0.0350|0.0650|0.0650|BULLISH
EXC|2025-09-03 19:30|43.1150|43.4000|43.1000|43.3900|1715828|0.2750|0.0100|0.0150|BULLISH
EXC|2025-09-04 13:30|43.7200|43.9700|43.2800|43.3500|722738|0.3700|0.2500|0.0700|BEARISH
EXC|2025-09-04 14:30|43.3600|43.4900|43.2800|43.3000|437906|0.0600|0.1300|0.0200|BEARISH
EXC|2025-09-04 15:30|43.3000|43.3000|43.1300|43.2350|403947|0.0650|0.0000|0.1050|BEARISH
EXC|2025-09-04 16:30|43.2400|43.3150|43.1200|43.2700|220784|0.0300|0.0450|0.1200|BULLISH
EXC|2025-09-04 17:30|43.2600|43.2850|43.1550|43.1750|213576|0.0850|0.0250|0.0200|BEARISH
EXC|2025-09-04 18:30|43.1800|43.2900|43.1750|43.2650|373549|0.0850|0.0250|0.0050|BULLISH
EXC|2025-09-04 19:30|43.2600|43.4050|43.2300|43.3300|794961|0.0700|0.0750|0.0300|BULLISH
EXC|2025-09-05 13:30|43.5800|43.6800|43.2550|43.4000|585369|0.1800|0.1000|0.1450|BEARISH
EXC|2025-09-05 14:30|43.4000|43.4200|43.2700|43.4000|337585|0.0000|0.0200|0.1300|BULLISH
EXC|2025-09-05 15:30|43.4100|43.4250|43.1550|43.1850|213548|0.2250|0.0150|0.0300|BEARISH
EXC|2025-09-05 16:30|43.1800|43.2789|43.1700|43.2400|149504|0.0600|0.0389|0.0100|BULLISH
EXC|2025-09-05 17:30|43.2450|43.3150|43.2050|43.2600|156560|0.0150|0.0550|0.0400|BULLISH
EXC|2025-09-05 18:30|43.2500|43.3772|43.2500|43.2950|254444|0.0450|0.0822|0.0000|BULLISH
EXC|2025-09-05 19:30|43.2900|43.4500|43.2900|43.4400|635463|0.1500|0.0100|0.0000|BULLISH
EXC|2025-09-08 13:30|43.5250|43.5250|43.0700|43.0850|684174|0.4400|0.0000|0.0150|BEARISH
EXC|2025-09-08 14:30|43.0950|43.2450|43.0000|43.2300|279020|0.1350|0.0150|0.0950|BULLISH
EXC|2025-09-08 15:30|43.2350|43.2500|43.1050|43.1350|276623|0.1000|0.0150|0.0300|BEARISH
EXC|2025-09-08 16:30|43.1350|43.1600|43.0750|43.0900|163498|0.0450|0.0250|0.0150|BEARISH
EXC|2025-09-08 17:30|43.1000|43.1451|43.0100|43.0200|154754|0.0800|0.0451|0.0100|BEARISH
EXC|2025-09-08 18:30|43.0300|43.0450|42.7725|42.8250|572884|0.2050|0.0150|0.0525|BEARISH
EXC|2025-09-08 19:30|42.8300|43.0400|42.7525|43.0200|1019908|0.1900|0.0200|0.0775|BULLISH
EXC|2025-09-09 13:30|43.0200|43.1464|42.8700|43.1250|380160|0.1050|0.0214|0.1500|BULLISH
EXC|2025-09-09 14:30|43.1250|43.2300|43.0400|43.2100|408448|0.0850|0.0200|0.0850|BULLISH
EXC|2025-09-09 15:30|43.2109|43.3000|43.1600|43.2050|216357|0.0059|0.0891|0.0450|BEARISH
EXC|2025-09-09 16:30|43.2050|43.2550|43.1650|43.2250|166761|0.0200|0.0300|0.0400|BULLISH
EXC|2025-09-09 17:30|43.2350|43.3650|43.2200|43.3200|226302|0.0850|0.0450|0.0150|BULLISH
EXC|2025-09-09 18:30|43.3300|43.3700|43.1900|43.2000|342958|0.1300|0.0400|0.0100|BEARISH
