Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FDX|2025-09-02 13:30|225.9900|227.1999|223.8100|224.6500|365722|1.3400|1.2099|0.8400|BEARISH
FDX|2025-09-02 14:30|224.5790|224.6150|223.3800|223.7800|203346|0.7990|0.0360|0.4000|BEARISH
FDX|2025-09-02 15:30|223.7200|224.1500|223.4800|223.5200|123533|0.2000|0.4300|0.0400|BEARISH
FDX|2025-09-02 16:30|223.5400|223.8200|222.8400|223.0441|226142|0.4959|0.2800|0.2041|BEARISH
FDX|2025-09-02 17:30|223.0750|223.5400|222.9800|223.4900|176450|0.4150|0.0500|0.0950|BULLISH
FDX|2025-09-02 18:30|223.5050|223.7000|223.1400|223.3050|218596|0.2000|0.1950|0.1650|BEARISH
FDX|2025-09-02 19:30|223.2900|224.7400|223.2600|224.1500|464428|0.8600|0.5900|0.0300|BULLISH
FDX|2025-09-03 13:30|225.0000|226.0000|223.7600|223.8000|585491|1.2000|1.0000|0.0400|BEARISH
FDX|2025-09-03 14:30|223.9500|224.6400|223.6900|223.7950|148006|0.1550|0.6900|0.1050|BEARISH
FDX|2025-09-03 15:30|223.8900|224.1500|223.5100|223.9300|71554|0.0400|0.2200|0.3800|BULLISH
FDX|2025-09-03 16:30|224.0450|226.1000|224.0450|225.9100|128395|1.8650|0.1900|0.0000|BULLISH
FDX|2025-09-03 17:30|225.9750|226.0140|224.8700|225.6500|83826|0.3250|0.0390|0.7800|BEARISH
FDX|2025-09-03 18:30|225.5400|225.8200|223.8000|224.1500|173515|1.3900|0.2800|0.3500|BEARISH
FDX|2025-09-03 19:30|224.1100|225.3500|224.1100|225.3200|240169|1.2100|0.0300|0.0000|BULLISH
FDX|2025-09-04 13:30|225.6900|225.6900|221.5900|222.3350|287665|3.3550|0.0000|0.7450|BEARISH
FDX|2025-09-04 14:30|222.5453|222.7400|221.3100|222.3000|266969|0.2453|0.1947|0.9900|BEARISH
FDX|2025-09-04 15:30|222.2900|223.0900|222.0200|222.8000|123041|0.5100|0.2900|0.2700|BULLISH
FDX|2025-09-04 16:30|222.8400|223.0000|222.3900|222.6580|99369|0.1820|0.1600|0.2680|BEARISH
FDX|2025-09-04 17:30|222.6400|223.4100|222.3000|223.1600|134173|0.5200|0.2500|0.3400|BULLISH
FDX|2025-09-04 18:30|223.1300|224.6900|223.1300|224.4300|268480|1.3000|0.2600|0.0000|BULLISH
FDX|2025-09-04 19:30|224.3500|225.2800|223.9050|225.2600|373170|0.9100|0.0200|0.4450|BULLISH
FDX|2025-09-05 13:30|224.4600|229.6592|224.3600|226.0700|353646|1.6100|3.5892|0.1000|BULLISH
FDX|2025-09-05 14:30|225.8200|226.4700|225.0001|226.3800|157270|0.5600|0.0900|0.8199|BULLISH
FDX|2025-09-05 15:30|226.3100|226.6100|225.6900|226.1800|102319|0.1300|0.3000|0.4900|BEARISH
FDX|2025-09-05 16:30|226.2175|226.3800|225.2900|226.0650|99119|0.1525|0.1625|0.7750|BEARISH
FDX|2025-09-05 17:30|226.0650|226.7000|225.4500|226.0250|153205|0.0400|0.6350|0.5750|BEARISH
FDX|2025-09-05 18:30|226.0900|228.0800|226.0900|227.4500|199654|1.3600|0.6300|0.0000|BULLISH
FDX|2025-09-05 19:30|227.4500|227.8700|227.0800|227.6500|326149|0.2000|0.2200|0.3700|BULLISH
FDX|2025-09-08 13:30|226.9900|226.9900|222.0600|224.2099|321378|2.7801|0.0000|2.1499|BEARISH
FDX|2025-09-08 14:30|223.7500|225.7700|223.7000|225.2300|165699|1.4800|0.5400|0.0500|BULLISH
FDX|2025-09-08 15:30|225.1715|225.1715|223.3500|224.3150|165261|0.8565|0.0000|0.9650|BEARISH
FDX|2025-09-08 16:30|224.3150|224.8100|223.5200|223.6650|150526|0.6500|0.4950|0.1450|BEARISH
FDX|2025-09-08 17:30|223.6300|223.6900|222.7700|223.0850|170023|0.5450|0.0600|0.3150|BEARISH
FDX|2025-09-08 18:30|223.0850|224.1499|223.0850|223.5750|239446|0.4900|0.5749|0.0000|BULLISH
FDX|2025-09-08 19:30|223.6050|225.0500|223.4400|224.9400|445119|1.3350|0.1100|0.1650|BULLISH
FDX|2025-09-09 13:30|225.0000|226.6000|224.0000|225.6300|145882|0.6300|0.9700|1.0000|BULLISH
FDX|2025-09-09 14:30|225.5900|225.7200|224.7606|225.2500|92289|0.3400|0.1300|0.4894|BEARISH
FDX|2025-09-09 15:30|225.2500|225.8900|225.0600|225.5000|91905|0.2500|0.3900|0.1900|BULLISH
FDX|2025-09-09 16:30|225.4600|226.2500|225.1300|226.1300|117346|0.6700|0.1200|0.3300|BULLISH
FDX|2025-09-09 17:30|226.0423|226.6110|225.9500|226.3000|106022|0.2577|0.3110|0.0923|BULLISH
FDX|2025-09-09 18:30|226.3500|226.4200|224.9300|225.0050|194451|1.3450|0.0700|0.0750|BEARISH
FDX|2025-09-09 19:30|225.1000|226.1700|224.7900|225.6900|260926|0.5900|0.4800|0.3100|BULLISH
FDX|2025-09-10 13:30|225.6450|228.0000|224.9500|225.9550|222463|0.3100|2.0450|0.6950|BULLISH
FDX|2025-09-10 14:30|225.9750|225.9750|224.5300|225.0450|120976|0.9300|0.0000|0.5150|BEARISH
FDX|2025-09-10 15:30|225.0400|226.0850|224.9700|225.4100|112848|0.3700|0.6750|0.0700|BULLISH
FDX|2025-09-10 16:30|225.2800|225.6500|224.6500|225.1900|120578|0.0900|0.3700|0.5400|BEARISH
FDX|2025-09-10 17:30|225.1300|226.2700|224.9900|226.1500|154431|1.0200|0.1200|0.1400|BULLISH
FDX|2025-09-10 18:30|226.1550|226.6050|225.5200|225.6300|156478|0.5250|0.4500|0.1100|BEARISH
FDX|2025-09-10 19:30|225.5900|226.0700|225.2600|225.6800|276204|0.0900|0.3900|0.3300|BULLISH
FDX|2025-09-11 13:30|222.3200|230.3125|222.3200|229.3150|476905|6.9950|0.9975|0.0000|BULLISH
FDX|2025-09-11 14:30|229.3150|230.0800|228.3250|229.9000|186991|0.5850|0.1800|0.9900|BULLISH
FDX|2025-09-11 15:30|229.9000|230.1900|228.7500|229.0100|199057|0.8900|0.2900|0.2600|BEARISH
FDX|2025-09-11 16:30|228.9500|229.6150|228.5539|228.5539|166752|0.3961|0.6650|0.0000|BEARISH
