Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GD|2025-09-02 13:30|324.3800|324.6500|322.0200|324.3174|113487|0.0626|0.2700|2.2974|BEARISH
GD|2025-09-02 14:30|324.3400|324.8750|323.7500|323.8675|86704|0.4725|0.5350|0.1175|BEARISH
GD|2025-09-02 15:30|323.9799|324.0000|323.1473|323.6300|58314|0.3499|0.0201|0.4827|BEARISH
GD|2025-09-02 16:30|323.7200|323.7200|322.9400|323.3000|82958|0.4200|0.0000|0.3600|BEARISH
GD|2025-09-02 17:30|323.3900|323.6450|322.5000|322.9500|99031|0.4400|0.2550|0.4500|BEARISH
GD|2025-09-02 18:30|323.0700|323.9700|322.6700|323.8300|66321|0.7600|0.1400|0.4000|BULLISH
GD|2025-09-02 19:30|323.7800|324.4800|323.7300|324.2800|177888|0.5000|0.2000|0.0500|BULLISH
GD|2025-09-03 13:30|324.1600|324.4400|321.5200|321.7800|80258|2.3800|0.2800|0.2600|BEARISH
GD|2025-09-03 14:30|321.7897|322.4600|321.4500|322.1500|61503|0.3603|0.3100|0.3397|BULLISH
GD|2025-09-03 15:30|322.0300|322.6100|321.7200|322.1050|43946|0.0750|0.5050|0.3100|BULLISH
GD|2025-09-03 16:30|322.0300|322.1025|321.1616|321.5900|63159|0.4400|0.0725|0.4284|BEARISH
GD|2025-09-03 17:30|321.7300|322.2137|321.5590|322.2137|50940|0.4837|0.0000|0.1710|BULLISH
GD|2025-09-03 18:30|322.1100|322.1924|321.2000|321.5800|75359|0.5300|0.0824|0.3800|BEARISH
GD|2025-09-03 19:30|321.5850|322.9300|321.5850|322.8200|136604|1.2350|0.1100|0.0000|BULLISH
GD|2025-09-04 13:30|323.2700|323.7550|320.9100|322.6300|114618|0.6400|0.4850|1.7200|BEARISH
GD|2025-09-04 14:30|322.5350|323.5650|322.4101|322.9600|66282|0.4250|0.6050|0.1249|BULLISH
GD|2025-09-04 15:30|322.8850|323.3300|322.7601|322.9700|44020|0.0850|0.3600|0.1249|BULLISH
GD|2025-09-04 16:30|322.9400|323.1020|322.5850|322.7700|38652|0.1700|0.1620|0.1850|BEARISH
GD|2025-09-04 17:30|322.7100|323.0900|322.1450|322.2450|71321|0.4650|0.3800|0.1000|BEARISH
GD|2025-09-04 18:30|322.2650|322.6200|321.9400|322.0950|106639|0.1700|0.3550|0.1550|BEARISH
GD|2025-09-04 19:30|322.0950|322.5100|321.9000|322.4500|153570|0.3550|0.0600|0.1950|BULLISH
GD|2025-09-05 13:30|324.0000|324.2050|321.1200|321.4500|136512|2.5500|0.2050|0.3300|BEARISH
GD|2025-09-05 14:30|321.3000|321.9200|320.5300|321.0100|105158|0.2900|0.6200|0.4800|BEARISH
GD|2025-09-05 15:30|320.9500|321.2500|320.3600|320.6000|64232|0.3500|0.3000|0.2400|BEARISH
GD|2025-09-05 16:30|320.5400|321.5100|320.5100|321.0800|57394|0.5400|0.4300|0.0300|BULLISH
GD|2025-09-05 17:30|321.2100|322.2900|321.0500|322.0950|65693|0.8850|0.1950|0.1600|BULLISH
GD|2025-09-05 18:30|322.0900|323.5250|321.8201|323.3200|102298|1.2300|0.2050|0.2699|BULLISH
GD|2025-09-05 19:30|323.3400|323.5800|322.5000|322.8600|153894|0.4800|0.2400|0.3600|BEARISH
GD|2025-09-08 13:30|322.5000|322.6200|319.7300|321.2400|95640|1.2600|0.1200|1.5100|BEARISH
GD|2025-09-08 14:30|321.4532|322.9650|321.3900|322.9650|65932|1.5118|0.0000|0.0632|BULLISH
GD|2025-09-08 15:30|323.1400|323.1400|322.0600|322.2600|68231|0.8800|0.0000|0.2000|BEARISH
GD|2025-09-08 16:30|322.1000|322.6300|321.5100|322.2000|84662|0.1000|0.4300|0.5900|BULLISH
GD|2025-09-08 17:30|322.2300|322.3100|321.2900|321.8000|49204|0.4300|0.0800|0.5100|BEARISH
GD|2025-09-08 18:30|321.7700|322.1500|321.6200|321.6800|68886|0.0900|0.3800|0.0600|BEARISH
GD|2025-09-08 19:30|321.7500|323.0450|321.6400|322.9100|164364|1.1600|0.1350|0.1100|BULLISH
GD|2025-09-09 13:30|321.9000|322.4000|320.2300|320.6500|72388|1.2500|0.5000|0.4200|BEARISH
GD|2025-09-09 14:30|320.5800|320.8950|319.9000|320.4000|71430|0.1800|0.3150|0.5000|BEARISH
GD|2025-09-09 15:30|320.2000|320.4380|318.8100|320.0950|157412|0.1050|0.2380|1.2850|BEARISH
GD|2025-09-09 16:30|320.0950|321.2500|319.7600|321.2500|74058|1.1550|0.0000|0.3350|BULLISH
GD|2025-09-09 17:30|321.2800|321.6750|321.0650|321.1400|56214|0.1400|0.3950|0.0750|BEARISH
GD|2025-09-09 18:30|321.1900|321.5600|321.0000|321.1600|97403|0.0300|0.3700|0.1600|BEARISH
GD|2025-09-09 19:30|321.2400|321.8100|320.9255|321.3400|131406|0.1000|0.4700|0.3145|BULLISH
GD|2025-09-10 13:30|320.7800|323.3050|320.6450|323.0400|78922|2.2600|0.2650|0.1350|BULLISH
GD|2025-09-10 14:30|323.0050|323.0850|321.4400|322.4250|66139|0.5800|0.0800|0.9850|BEARISH
GD|2025-09-10 15:30|322.3200|323.7700|322.2100|323.0552|74988|0.7352|0.7148|0.1100|BULLISH
GD|2025-09-10 16:30|322.5100|323.0000|322.1700|322.2500|46465|0.2600|0.4900|0.0800|BEARISH
GD|2025-09-10 17:30|322.2250|322.9200|321.5688|322.9200|63280|0.6950|0.0000|0.6562|BULLISH
GD|2025-09-10 18:30|322.8800|323.6300|322.5726|322.6600|87818|0.2200|0.7500|0.0874|BEARISH
GD|2025-09-10 19:30|322.6100|323.0900|322.5500|322.9700|121060|0.3600|0.1200|0.0600|BULLISH
GD|2025-09-11 13:30|322.9300|327.5300|322.1050|327.2500|92335|4.3200|0.2800|0.8250|BULLISH
GD|2025-09-11 14:30|327.2400|327.2550|326.1301|326.5200|97651|0.7200|0.0150|0.3899|BEARISH
GD|2025-09-11 15:30|326.7400|327.6000|326.2250|327.5400|55442|0.8000|0.0600|0.5150|BULLISH
GD|2025-09-11 16:30|327.4100|327.9900|327.1100|327.1100|54516|0.3000|0.5800|0.0000|BEARISH
GD|2025-09-11 17:30|327.1800|328.0450|326.9700|327.8850|58515|0.7050|0.1600|0.2100|BULLISH
GD|2025-09-11 18:30|327.9500|328.6500|326.7300|328.6500|106228|0.7000|0.0000|1.2200|BULLISH
GD|2025-09-11 19:30|328.6700|330.0000|328.6700|329.6250|193842|0.9550|0.3750|0.0000|BULLISH
GD|2025-09-12 13:30|330.0000|330.1800|327.7100|328.1000|58385|1.9000|0.1800|0.3900|BEARISH
GD|2025-09-12 14:30|328.0950|328.8500|327.7300|327.7600|53097|0.3350|0.7550|0.0300|BEARISH
