Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GILD|2025-09-02 13:30|112.9000|113.2800|111.7200|111.9200|779042|0.9800|0.3800|0.2000|BEARISH
GILD|2025-09-02 14:30|111.9400|112.2200|111.4600|111.5100|564593|0.4300|0.2800|0.0500|BEARISH
GILD|2025-09-02 15:30|111.5298|111.8700|111.2800|111.8350|362000|0.3052|0.0350|0.2498|BULLISH
GILD|2025-09-02 16:30|111.8400|112.4500|111.8000|112.3100|286084|0.4700|0.1400|0.0400|BULLISH
GILD|2025-09-02 17:30|112.3100|112.6100|112.2550|112.5250|243833|0.2150|0.0850|0.0550|BULLISH
GILD|2025-09-02 18:30|112.5400|112.7900|112.3200|112.6800|311424|0.1400|0.1100|0.2200|BULLISH
GILD|2025-09-02 19:30|112.6700|112.9400|112.5800|112.7200|609911|0.0500|0.2200|0.0900|BULLISH
GILD|2025-09-03 13:30|112.2200|113.1700|112.1500|112.7350|857599|0.5150|0.4350|0.0700|BULLISH
GILD|2025-09-03 14:30|112.7400|113.3000|112.6800|112.9000|299581|0.1600|0.4000|0.0600|BULLISH
GILD|2025-09-03 15:30|112.8900|112.9150|112.5000|112.7400|415801|0.1500|0.0250|0.2400|BEARISH
GILD|2025-09-03 16:30|112.7300|113.2500|112.6250|113.1750|385000|0.4450|0.0750|0.1050|BULLISH
GILD|2025-09-03 17:30|113.1900|113.4000|112.6200|112.7900|306856|0.4000|0.2100|0.1700|BEARISH
GILD|2025-09-03 18:30|112.7850|112.8450|112.5600|112.6400|264030|0.1450|0.0600|0.0800|BEARISH
GILD|2025-09-03 19:30|112.6500|113.0400|112.4800|112.9900|839967|0.3400|0.0500|0.1700|BULLISH
GILD|2025-09-04 13:30|113.1500|113.8200|113.0000|113.7000|613078|0.5500|0.1200|0.1500|BULLISH
GILD|2025-09-04 14:30|113.6900|113.8250|113.0400|113.2250|398551|0.4650|0.1350|0.1850|BEARISH
GILD|2025-09-04 15:30|113.2200|113.2800|112.3900|112.5850|427290|0.6350|0.0600|0.1950|BEARISH
GILD|2025-09-04 16:30|112.5900|112.7900|112.2800|112.7900|237549|0.2000|0.0000|0.3100|BULLISH
GILD|2025-09-04 17:30|112.8100|112.8400|112.4477|112.4477|310715|0.3623|0.0300|0.0000|BEARISH
GILD|2025-09-04 18:30|112.4500|112.8350|112.4100|112.7700|218324|0.3200|0.0650|0.0400|BULLISH
GILD|2025-09-04 19:30|112.7700|112.8500|112.5100|112.7700|537617|0.0000|0.0800|0.2600|BULLISH
GILD|2025-09-05 13:30|112.4100|114.7500|112.2500|114.4792|897226|2.0692|0.2708|0.1600|BULLISH
GILD|2025-09-05 14:30|114.4000|115.1700|113.9800|115.0300|747233|0.6300|0.1400|0.4200|BULLISH
GILD|2025-09-05 15:30|115.0550|115.4900|114.6700|114.7900|813334|0.2650|0.4350|0.1200|BEARISH
GILD|2025-09-05 16:30|114.7800|115.0300|114.5140|114.8150|393599|0.0350|0.2150|0.2660|BULLISH
GILD|2025-09-05 17:30|114.8200|115.4850|114.8200|115.4200|333509|0.6000|0.0650|0.0000|BULLISH
GILD|2025-09-05 18:30|115.4200|115.8100|115.2200|115.3100|801841|0.1100|0.3900|0.0900|BEARISH
GILD|2025-09-05 19:30|115.3200|115.3300|115.0000|115.0500|1009592|0.2700|0.0100|0.0500|BEARISH
GILD|2025-09-08 13:30|114.7600|115.7200|113.8200|115.3800|3941050|0.6200|0.3400|0.9400|BULLISH
GILD|2025-09-08 14:30|115.3400|116.1800|115.3300|115.9100|745594|0.5700|0.2700|0.0100|BULLISH
GILD|2025-09-08 15:30|115.9300|116.1299|115.1800|115.3000|618294|0.6300|0.1999|0.1200|BEARISH
GILD|2025-09-08 16:30|115.3000|116.0650|114.9950|115.9050|625170|0.6050|0.1600|0.3050|BULLISH
GILD|2025-09-08 17:30|115.9100|116.1200|115.6200|115.7700|719762|0.1400|0.2100|0.1500|BEARISH
GILD|2025-09-08 18:30|115.7700|115.8650|115.4600|115.6550|688970|0.1150|0.0950|0.1950|BEARISH
GILD|2025-09-08 19:30|115.6600|115.9400|115.4300|115.8800|1065484|0.2200|0.0600|0.2300|BULLISH
GILD|2025-09-09 13:30|115.4900|116.2500|113.8700|115.2500|914625|0.2400|0.7600|1.3800|BEARISH
GILD|2025-09-09 14:30|115.2600|115.5600|114.8500|115.0750|517361|0.1850|0.3000|0.2250|BEARISH
GILD|2025-09-09 15:30|115.0700|115.2000|114.7300|115.1600|278592|0.0900|0.0400|0.3400|BULLISH
GILD|2025-09-09 16:30|115.1729|115.5550|115.0900|115.1000|415494|0.0729|0.3821|0.0100|BEARISH
GILD|2025-09-09 17:30|115.1200|115.8300|115.1050|115.8000|306004|0.6800|0.0300|0.0150|BULLISH
GILD|2025-09-09 18:30|115.8100|116.0200|115.6900|115.7600|459112|0.0500|0.2100|0.0700|BEARISH
GILD|2025-09-09 19:30|115.7592|116.0172|115.6800|115.7600|752292|0.0008|0.2572|0.0792|BULLISH
GILD|2025-09-10 13:30|115.5400|115.7400|114.6300|115.0150|637657|0.5250|0.2000|0.3850|BEARISH
GILD|2025-09-10 14:30|115.0300|115.6700|114.9700|115.5700|547629|0.5400|0.1000|0.0600|BULLISH
GILD|2025-09-10 15:30|115.5700|115.8500|114.8700|114.9100|412026|0.6600|0.2800|0.0400|BEARISH
GILD|2025-09-10 16:30|114.9200|115.5300|114.6300|115.1750|296742|0.2550|0.3550|0.2900|BULLISH
GILD|2025-09-10 17:30|115.1900|115.2400|114.5000|114.5700|356088|0.6200|0.0500|0.0700|BEARISH
GILD|2025-09-10 18:30|114.5750|115.1300|114.5100|114.8100|318749|0.2350|0.3200|0.0650|BULLISH
GILD|2025-09-10 19:30|114.8200|115.3600|114.7950|115.2650|560966|0.4450|0.0950|0.0250|BULLISH
GILD|2025-09-11 13:30|115.4000|117.1900|115.2200|116.8100|684862|1.4100|0.3800|0.1800|BULLISH
GILD|2025-09-11 14:30|116.7750|116.8100|116.1700|116.4500|274019|0.3250|0.0350|0.2800|BEARISH
GILD|2025-09-11 15:30|116.4484|116.7100|116.1700|116.5600|610228|0.1116|0.1500|0.2784|BULLISH
GILD|2025-09-11 16:30|116.5300|117.3400|116.4700|117.0500|370613|0.5200|0.2900|0.0600|BULLISH
