Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HON|2025-09-02 13:30|217.0300|217.5700|215.4000|215.9800|613945|1.0500|0.5400|0.5800|BEARISH
HON|2025-09-02 14:30|215.9400|216.9400|215.9400|216.8800|372420|0.9400|0.0600|0.0000|BULLISH
HON|2025-09-02 15:30|216.8400|216.8624|215.9500|216.5400|289760|0.3000|0.0224|0.5900|BEARISH
HON|2025-09-02 16:30|216.5800|216.8660|216.4600|216.7200|203381|0.1400|0.1460|0.1200|BULLISH
HON|2025-09-02 17:30|216.7400|217.4450|216.7300|217.2900|215515|0.5500|0.1550|0.0100|BULLISH
HON|2025-09-02 18:30|217.3074|217.8300|217.2850|217.8001|288308|0.4927|0.0299|0.0224|BULLISH
HON|2025-09-02 19:30|217.8400|218.1200|217.2800|217.2800|717340|0.5600|0.2800|0.0000|BEARISH
HON|2025-09-03 13:30|217.0900|217.2250|215.6600|216.1100|416132|0.9800|0.1350|0.4500|BEARISH
HON|2025-09-03 14:30|216.1600|216.5300|214.6150|214.7000|229223|1.4600|0.3700|0.0850|BEARISH
HON|2025-09-03 15:30|214.7186|214.9399|214.1300|214.2500|215876|0.4686|0.2213|0.1200|BEARISH
HON|2025-09-03 16:30|214.2800|214.3100|213.7500|213.9600|206538|0.3200|0.0300|0.2100|BEARISH
HON|2025-09-03 17:30|213.9800|214.1000|213.0300|213.6850|394429|0.2950|0.1200|0.6550|BEARISH
HON|2025-09-03 18:30|213.6300|213.8400|212.5700|212.6700|433408|0.9600|0.2100|0.1000|BEARISH
HON|2025-09-03 19:30|212.6800|214.0600|212.6800|214.0200|921857|1.3400|0.0400|0.0000|BULLISH
HON|2025-09-04 13:30|213.7250|215.3900|212.1100|215.2500|774066|1.5250|0.1400|1.6150|BULLISH
HON|2025-09-04 14:30|215.2751|215.5800|214.5997|214.7800|310323|0.4951|0.3049|0.1803|BEARISH
HON|2025-09-04 15:30|214.7500|214.8900|214.3300|214.3950|359511|0.3550|0.1400|0.0650|BEARISH
HON|2025-09-04 16:30|214.4100|215.0800|214.3650|215.0100|261388|0.6000|0.0700|0.0450|BULLISH
HON|2025-09-04 17:30|214.9900|215.2690|214.5800|214.8600|430892|0.1300|0.2790|0.2800|BEARISH
HON|2025-09-04 18:30|214.8700|215.3800|214.7350|214.8500|511221|0.0200|0.5100|0.1150|BEARISH
HON|2025-09-04 19:30|214.8200|215.6300|214.7700|215.1400|1098459|0.3200|0.4900|0.0500|BULLISH
HON|2025-09-05 13:30|214.9800|216.2900|214.3400|214.4150|737936|0.5650|1.3100|0.0750|BEARISH
HON|2025-09-05 14:30|214.4100|215.0000|213.6700|214.7200|532394|0.3100|0.2800|0.7400|BULLISH
HON|2025-09-05 15:30|214.7300|214.7300|213.7700|213.9600|358533|0.7700|0.0000|0.1900|BEARISH
HON|2025-09-05 16:30|213.9700|214.1410|213.5100|213.5100|206394|0.4600|0.1710|0.0000|BEARISH
HON|2025-09-05 17:30|213.4200|214.0250|213.3800|213.9600|208649|0.5400|0.0650|0.0400|BULLISH
HON|2025-09-05 18:30|214.0300|214.6350|214.0300|214.4700|339995|0.4400|0.1650|0.0000|BULLISH
HON|2025-09-05 19:30|214.4900|214.6600|214.0200|214.2400|824737|0.2500|0.1700|0.2200|BEARISH
HON|2025-09-08 13:30|214.5800|214.7250|212.5400|213.4775|486047|1.1025|0.1450|0.9375|BEARISH
HON|2025-09-08 14:30|213.4800|214.5100|213.4800|214.3700|328101|0.8900|0.1400|0.0000|BULLISH
HON|2025-09-08 15:30|214.4200|214.4400|213.6000|213.8200|288669|0.6000|0.0200|0.2200|BEARISH
HON|2025-09-08 16:30|213.8250|214.3100|213.5600|214.1700|309235|0.3450|0.1400|0.2650|BULLISH
HON|2025-09-08 17:30|214.1150|214.3093|213.6900|214.3093|345243|0.1943|0.0000|0.4250|BULLISH
HON|2025-09-08 18:30|214.3100|214.6550|214.1500|214.3500|379698|0.0400|0.3050|0.1600|BULLISH
HON|2025-09-08 19:30|214.3600|215.2000|214.3400|214.6900|976509|0.3300|0.5100|0.0200|BULLISH
HON|2025-09-09 13:30|214.9600|215.3100|213.5700|213.6300|270728|1.3300|0.3500|0.0600|BEARISH
HON|2025-09-09 14:30|213.7100|213.7137|212.5000|212.6200|295770|1.0900|0.0037|0.1200|BEARISH
HON|2025-09-09 15:30|212.6450|212.8599|212.0810|212.3500|336290|0.2950|0.2149|0.2690|BEARISH
HON|2025-09-09 16:30|212.3600|212.4106|211.9400|212.0600|285697|0.3000|0.0506|0.1200|BEARISH
HON|2025-09-09 17:30|212.0600|212.9600|212.0600|212.6800|279967|0.6200|0.2800|0.0000|BULLISH
HON|2025-09-09 18:30|212.6900|213.1300|212.4700|212.9600|354479|0.2700|0.1700|0.2200|BULLISH
HON|2025-09-09 19:30|212.9700|214.3550|212.8100|214.2200|636907|1.2500|0.1350|0.1600|BULLISH
HON|2025-09-10 13:30|214.0500|214.3400|212.6700|213.2000|768482|0.8500|0.2900|0.5300|BEARISH
HON|2025-09-10 14:30|213.1400|213.2619|211.9101|212.1875|399792|0.9525|0.1219|0.2774|BEARISH
HON|2025-09-10 15:30|212.2100|212.8000|212.1000|212.1100|391640|0.1000|0.5900|0.0100|BEARISH
HON|2025-09-10 16:30|212.1100|213.0500|212.0200|212.3100|331071|0.2000|0.7400|0.0900|BULLISH
HON|2025-09-10 17:30|212.3100|212.3100|211.8400|212.2100|268998|0.1000|0.0000|0.3700|BEARISH
HON|2025-09-10 18:30|212.1900|212.3400|211.4100|211.4650|341292|0.7250|0.1500|0.0550|BEARISH
HON|2025-09-10 19:30|211.5100|212.4400|211.3750|211.5100|925436|0.0000|0.9300|0.1350|BULLISH
HON|2025-09-11 13:30|211.9000|214.4647|211.6100|213.5100|788920|1.6100|0.9547|0.2900|BULLISH
HON|2025-09-11 14:30|213.4700|213.9400|212.4500|212.8850|113646|0.5850|0.4700|0.4350|BEARISH
HON|2025-09-11 15:30|212.8900|215.0100|212.1901|214.9350|1178784|2.0450|0.0750|0.6999|BULLISH
HON|2025-09-11 16:30|214.9350|215.1993|214.0000|214.7300|307465|0.2050|0.2643|0.7300|BEARISH
HON|2025-09-11 17:30|214.7450|215.1399|214.4400|214.6500|316509|0.0950|0.3949|0.2100|BEARISH
HON|2025-09-11 18:30|214.6500|214.8500|214.2600|214.8200|332379|0.1700|0.0300|0.3900|BULLISH
HON|2025-09-11 19:30|214.8394|216.1600|214.7800|215.2900|855978|0.4506|0.8700|0.0594|BULLISH
HON|2025-09-12 13:30|213.8050|214.5800|212.9900|213.0600|477552|0.7450|0.7750|0.0700|BEARISH
HON|2025-09-12 14:30|213.0650|213.1400|212.2700|212.4450|396809|0.6200|0.0750|0.1750|BEARISH
HON|2025-09-12 15:30|212.4400|212.6200|212.1000|212.1400|289552|0.3000|0.1800|0.0400|BEARISH
HON|2025-09-12 16:30|212.1400|212.2350|211.8400|212.0500|252887|0.0900|0.0950|0.2100|BEARISH
HON|2025-09-12 17:30|212.0200|212.2100|211.7500|212.1350|255612|0.1150|0.0750|0.2700|BULLISH
HON|2025-09-12 18:30|212.1400|212.2538|211.7040|211.9750|322183|0.1650|0.1138|0.2710|BEARISH
HON|2025-09-12 19:30|211.9900|212.0150|210.9381|211.4000|613249|0.5900|0.0250|0.4619|BEARISH
HON|2025-09-15 13:30|211.7600|212.9200|211.0300|212.4500|678518|0.6900|0.4700|0.7300|BULLISH
HON|2025-09-15 14:30|212.5000|212.6900|211.7600|211.9000|444330|0.6000|0.1900|0.1400|BEARISH
HON|2025-09-15 15:30|211.9200|211.9700|210.7825|211.0900|397548|0.8300|0.0500|0.3075|BEARISH
HON|2025-09-15 16:30|211.0950|211.3550|210.6900|210.9500|293252|0.1450|0.2600|0.2600|BEARISH
HON|2025-09-15 17:30|210.9500|211.2200|210.7500|211.0600|236388|0.1100|0.1600|0.2000|BULLISH
HON|2025-09-15 18:30|211.0500|211.8100|210.8800|211.6300|369100|0.5800|0.1800|0.1700|BULLISH
HON|2025-09-15 19:30|211.6300|211.8500|211.2700|211.7200|744234|0.0900|0.1300|0.3600|BULLISH
HON|2025-09-16 13:30|211.6800|213.3200|210.8900|211.2750|453981|0.4050|1.6400|0.3850|BEARISH
