Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IBM|2025-09-02 13:30|240.9000|241.4800|238.2500|239.7954|682646|1.1046|0.5800|1.5454|BEARISH
IBM|2025-09-02 14:30|239.7500|240.4300|239.3800|239.8750|349962|0.1250|0.5550|0.3700|BULLISH
IBM|2025-09-02 15:30|239.8400|239.8500|238.9400|239.1400|295437|0.7000|0.0100|0.2000|BEARISH
IBM|2025-09-02 16:30|239.0800|240.2600|238.9700|240.0800|235809|1.0000|0.1800|0.1100|BULLISH
IBM|2025-09-02 17:30|240.0700|240.7800|240.0700|240.2500|271902|0.1800|0.5300|0.0000|BULLISH
IBM|2025-09-02 18:30|240.2700|241.1606|239.9050|241.0900|375962|0.8200|0.0706|0.3650|BULLISH
IBM|2025-09-02 19:30|241.0800|241.5500|240.8400|241.4800|586419|0.4000|0.0700|0.2400|BULLISH
IBM|2025-09-03 13:30|240.0200|241.3699|239.4100|241.1700|536407|1.1500|0.1999|0.6100|BULLISH
IBM|2025-09-03 14:30|241.2100|242.0100|241.1550|241.9400|315673|0.7300|0.0700|0.0550|BULLISH
IBM|2025-09-03 15:30|241.9500|242.3700|241.7900|241.8750|226554|0.0750|0.4200|0.0850|BEARISH
IBM|2025-09-03 16:30|241.9300|242.7500|241.8200|242.6000|210073|0.6700|0.1500|0.1100|BULLISH
IBM|2025-09-03 17:30|242.5950|242.7200|241.9200|242.5000|228509|0.0950|0.1250|0.5800|BEARISH
IBM|2025-09-03 18:30|242.5050|243.3000|242.3200|243.1900|398093|0.6850|0.1100|0.1850|BULLISH
IBM|2025-09-03 19:30|243.1900|244.2500|243.1900|244.1700|659862|0.9800|0.0800|0.0000|BULLISH
IBM|2025-09-04 13:30|245.4200|245.5000|242.8500|244.8050|489431|0.6150|0.0800|1.9550|BEARISH
IBM|2025-09-04 14:30|244.8545|247.8000|244.8100|247.3500|753561|2.4955|0.4500|0.0445|BULLISH
IBM|2025-09-04 15:30|247.3000|248.4600|247.2778|247.8126|499991|0.5126|0.6474|0.0222|BULLISH
IBM|2025-09-04 16:30|247.8150|248.9300|247.7200|248.1900|552548|0.3750|0.7400|0.0950|BULLISH
IBM|2025-09-04 17:30|248.2092|249.2800|247.5248|248.0400|532047|0.1692|1.0708|0.5152|BEARISH
IBM|2025-09-04 18:30|248.0300|248.4200|247.1827|247.2300|527835|0.8000|0.3900|0.0473|BEARISH
IBM|2025-09-04 19:30|247.2100|247.5000|246.8400|247.3000|711352|0.0900|0.2000|0.3700|BULLISH
IBM|2025-09-05 13:30|248.3450|248.9200|246.3700|246.4725|585922|1.8725|0.5750|0.1025|BEARISH
IBM|2025-09-05 14:30|246.4300|246.5200|245.4500|246.3750|343137|0.0550|0.0900|0.9250|BEARISH
IBM|2025-09-05 15:30|246.4100|247.0816|245.9936|246.5900|191909|0.1800|0.4916|0.4164|BULLISH
IBM|2025-09-05 16:30|246.5850|246.9400|246.2500|246.3200|138737|0.2650|0.3550|0.0700|BEARISH
IBM|2025-09-05 17:30|246.2700|247.7200|246.1800|247.6600|320568|1.3900|0.0600|0.0900|BULLISH
IBM|2025-09-05 18:30|247.6600|248.8995|247.6600|248.7500|325981|1.0900|0.1495|0.0000|BULLISH
IBM|2025-09-05 19:30|248.7400|248.7700|247.9600|248.6450|523744|0.0950|0.0300|0.6850|BEARISH
IBM|2025-09-08 13:30|248.6300|252.3100|247.0200|251.5750|783918|2.9450|0.7350|1.6100|BULLISH
IBM|2025-09-08 14:30|251.5200|252.9100|251.2900|252.8600|500566|1.3400|0.0500|0.2300|BULLISH
IBM|2025-09-08 15:30|252.8700|253.9300|252.6979|253.0650|573297|0.1950|0.8650|0.1721|BULLISH
IBM|2025-09-08 16:30|253.0650|253.4900|252.3800|252.9200|381671|0.1450|0.4250|0.5400|BEARISH
