Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
INTC|2025-09-02 13:30|23.9099|24.1000|23.6800|24.0750|19854692|0.1651|0.0250|0.2299|BULLISH
INTC|2025-09-02 14:30|24.0774|24.1100|23.8400|23.9350|7119339|0.1424|0.0326|0.0950|BEARISH
INTC|2025-09-02 15:30|23.9301|24.0000|23.8750|23.8935|4629492|0.0366|0.0699|0.0185|BEARISH
INTC|2025-09-02 16:30|23.8950|24.1200|23.8900|24.0750|4334761|0.1800|0.0450|0.0050|BULLISH
INTC|2025-09-02 17:30|24.0707|24.1600|24.0301|24.0450|3953957|0.0257|0.0893|0.0149|BEARISH
INTC|2025-09-02 18:30|24.0499|24.1500|24.0100|24.1258|3400726|0.0759|0.0242|0.0399|BULLISH
INTC|2025-09-02 19:30|24.1300|24.2400|24.0900|24.2300|5844307|0.1000|0.0100|0.0400|BULLISH
INTC|2025-09-03 13:30|24.0800|24.0905|23.7200|23.7750|13277801|0.3050|0.0105|0.0550|BEARISH
INTC|2025-09-03 14:30|23.7750|24.0500|23.7750|23.9442|7738528|0.1692|0.1058|0.0000|BULLISH
INTC|2025-09-03 15:30|23.9450|24.0100|23.8900|23.9300|3723249|0.0150|0.0650|0.0400|BEARISH
INTC|2025-09-03 16:30|23.9217|24.0800|23.8900|24.0441|3686202|0.1224|0.0359|0.0317|BULLISH
INTC|2025-09-03 17:30|24.0450|24.0500|23.8600|23.9150|3815877|0.1300|0.0050|0.0550|BEARISH
INTC|2025-09-03 18:30|23.9101|23.9300|23.8400|23.8750|3060842|0.0351|0.0199|0.0350|BEARISH
INTC|2025-09-03 19:30|23.8700|24.0100|23.8700|23.9900|4972908|0.1200|0.0200|0.0000|BULLISH
INTC|2025-09-04 13:30|23.8500|24.1100|23.7500|24.1050|12688887|0.2550|0.0050|0.1000|BULLISH
INTC|2025-09-04 14:30|24.1050|24.4400|23.9800|24.2360|8778279|0.1310|0.2040|0.1250|BULLISH
INTC|2025-09-04 15:30|24.2350|24.3100|24.1800|24.1900|4231959|0.0450|0.0750|0.0100|BEARISH
INTC|2025-09-04 16:30|24.2000|24.5150|24.1800|24.4350|5938927|0.2350|0.0800|0.0200|BULLISH
INTC|2025-09-04 17:30|24.4350|24.5800|24.3800|24.4850|5135998|0.0500|0.0950|0.0550|BULLISH
INTC|2025-09-04 18:30|24.4800|24.6200|24.4750|24.5450|5371184|0.0650|0.0750|0.0050|BULLISH
INTC|2025-09-04 19:30|24.5500|24.6400|24.5000|24.6100|8290143|0.0600|0.0300|0.0500|BULLISH
INTC|2025-09-05 13:30|24.5900|24.7100|24.2500|24.2900|17401632|0.3000|0.1200|0.0400|BEARISH
INTC|2025-09-05 14:30|24.2800|24.4600|24.1701|24.4141|8915411|0.1341|0.0459|0.1099|BULLISH
INTC|2025-09-05 15:30|24.4130|24.4700|24.2000|24.2265|6351114|0.1865|0.0570|0.0265|BEARISH
INTC|2025-09-05 16:30|24.2250|24.3400|24.2000|24.2754|4887239|0.0504|0.0646|0.0250|BULLISH
INTC|2025-09-05 17:30|24.2750|24.3800|24.2100|24.3628|3404186|0.0878|0.0172|0.0650|BULLISH
INTC|2025-09-05 18:30|24.3699|24.5400|24.3600|24.4901|3932641|0.1202|0.0499|0.0099|BULLISH
INTC|2025-09-05 19:30|24.4900|24.5283|24.4433|24.4900|5265048|0.0000|0.0383|0.0467|BULLISH
INTC|2025-09-08 13:30|24.4800|24.6100|24.1200|24.4100|12798415|0.0700|0.1300|0.2900|BEARISH
INTC|2025-09-08 14:30|24.4150|24.6850|24.4150|24.5450|8540780|0.1300|0.1400|0.0000|BULLISH
INTC|2025-09-08 15:30|24.5400|24.7350|24.4200|24.5000|5697310|0.0400|0.1950|0.0800|BEARISH
INTC|2025-09-08 16:30|24.5000|24.5300|24.4200|24.4550|3759340|0.0450|0.0300|0.0350|BEARISH
INTC|2025-09-08 17:30|24.4600|24.5200|24.4000|24.4850|2760827|0.0250|0.0350|0.0600|BULLISH
INTC|2025-09-08 18:30|24.4850|24.5100|24.4300|24.4850|2781553|0.0000|0.0250|0.0550|BULLISH
INTC|2025-09-08 19:30|24.4900|24.5400|24.4250|24.5000|6478340|0.0100|0.0400|0.0650|BULLISH
