Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
JNJ|2025-09-02 13:30|177.4700|179.2000|176.8900|177.9700|1323459|0.5000|1.2300|0.5800|BULLISH
JNJ|2025-09-02 14:30|177.9700|178.2750|177.5950|177.7350|433112|0.2350|0.3050|0.1400|BEARISH
JNJ|2025-09-02 15:30|177.7450|178.0300|177.6300|177.7650|379383|0.0200|0.2650|0.1150|BULLISH
JNJ|2025-09-02 16:30|177.7500|178.0531|177.7000|177.8000|329735|0.0500|0.2531|0.0500|BULLISH
JNJ|2025-09-02 17:30|177.8011|178.3600|177.7400|178.0800|447813|0.2789|0.2800|0.0611|BULLISH
JNJ|2025-09-02 18:30|178.0853|178.2300|177.7786|178.0000|517101|0.0853|0.1447|0.2214|BEARISH
JNJ|2025-09-02 19:30|177.9900|178.3800|177.6800|178.0800|1111529|0.0900|0.3000|0.3100|BULLISH
JNJ|2025-09-03 13:30|177.6700|178.2900|176.7300|176.8900|942647|0.7800|0.6200|0.1600|BEARISH
JNJ|2025-09-03 14:30|176.8800|177.9900|176.8800|177.6000|509456|0.7200|0.3900|0.0000|BULLISH
JNJ|2025-09-03 15:30|177.6100|177.6200|176.6900|176.8200|537364|0.7900|0.0100|0.1300|BEARISH
JNJ|2025-09-03 16:30|176.8350|177.1400|176.5300|176.9400|454132|0.1050|0.2000|0.3050|BULLISH
JNJ|2025-09-03 17:30|176.9400|177.5100|176.8000|177.4300|449538|0.4900|0.0800|0.1400|BULLISH
JNJ|2025-09-03 18:30|177.3950|177.6100|176.9900|177.3500|665925|0.0450|0.2150|0.3600|BEARISH
JNJ|2025-09-03 19:30|177.3400|178.0000|177.3350|177.9300|1022222|0.5900|0.0700|0.0050|BULLISH
JNJ|2025-09-04 13:30|178.0000|178.6750|177.5500|178.1099|931221|0.1099|0.5651|0.4500|BULLISH
JNJ|2025-09-04 14:30|178.0700|178.5500|177.8800|178.3150|544667|0.2450|0.2350|0.1900|BULLISH
JNJ|2025-09-04 15:30|178.3150|178.4100|177.7250|177.9450|629775|0.3700|0.0950|0.2200|BEARISH
JNJ|2025-09-04 16:30|177.9450|178.0300|177.7100|177.7600|581027|0.1850|0.0850|0.0500|BEARISH
JNJ|2025-09-04 17:30|177.7650|177.9900|177.5700|177.8200|806354|0.0550|0.1700|0.1950|BULLISH
JNJ|2025-09-04 18:30|177.8200|178.6400|177.7700|178.5350|1345929|0.7150|0.1050|0.0500|BULLISH
JNJ|2025-09-04 19:30|178.5300|178.9000|178.3800|178.7000|1141085|0.1700|0.2000|0.1500|BULLISH
JNJ|2025-09-05 13:30|178.0000|178.6350|177.0008|178.4100|698322|0.4100|0.2250|0.9992|BULLISH
JNJ|2025-09-05 14:30|178.4100|179.5050|178.1550|179.1300|629823|0.7200|0.3750|0.2550|BULLISH
JNJ|2025-09-05 15:30|179.1800|179.3200|178.8600|178.9100|330811|0.2700|0.1400|0.0500|BEARISH
JNJ|2025-09-05 16:30|178.9200|179.0400|178.5408|178.7950|247079|0.1250|0.1200|0.2542|BEARISH
JNJ|2025-09-05 17:30|178.8200|178.8650|176.5600|177.0600|2961159|1.7600|0.0450|0.5000|BEARISH
JNJ|2025-09-05 18:30|177.0600|177.9800|177.0300|177.7300|1337177|0.6700|0.2500|0.0300|BULLISH
JNJ|2025-09-05 19:30|177.7300|178.4000|177.7200|178.3800|1091273|0.6500|0.0200|0.0100|BULLISH
JNJ|2025-09-08 13:30|177.3600|178.1550|176.7000|177.9900|1182484|0.6300|0.1650|0.6600|BULLISH
JNJ|2025-09-08 14:30|177.9900|179.4450|177.9900|178.6850|1058204|0.6950|0.7600|0.0000|BULLISH
JNJ|2025-09-08 15:30|178.7100|178.7500|178.2400|178.2700|494660|0.4400|0.0400|0.0300|BEARISH
JNJ|2025-09-08 16:30|178.2700|178.6400|178.0350|178.3300|387085|0.0600|0.3100|0.2350|BULLISH
JNJ|2025-09-08 17:30|178.3398|178.3750|177.6700|177.7800|708688|0.5598|0.0352|0.1100|BEARISH
JNJ|2025-09-08 18:30|177.7900|177.8250|177.4600|177.6600|695881|0.1300|0.0350|0.2000|BEARISH
JNJ|2025-09-08 19:30|177.6650|178.5300|177.6550|178.1600|1520363|0.4950|0.3700|0.0100|BULLISH
JNJ|2025-09-09 13:30|177.8300|178.0900|176.4500|177.4800|1178446|0.3500|0.2600|1.0300|BEARISH
JNJ|2025-09-09 14:30|177.5100|177.7100|176.6250|176.9000|774510|0.6100|0.2000|0.2750|BEARISH
JNJ|2025-09-09 15:30|176.8950|176.9700|176.5000|176.8000|394220|0.0950|0.0750|0.3000|BEARISH
JNJ|2025-09-09 16:30|176.8200|176.9450|176.6500|176.7200|296098|0.1000|0.1250|0.0700|BEARISH
JNJ|2025-09-09 17:30|176.7200|177.3700|176.7200|177.1000|337372|0.3800|0.2700|0.0000|BULLISH
JNJ|2025-09-09 18:30|177.1000|177.2800|176.9300|177.0900|421932|0.0100|0.1800|0.1600|BEARISH
JNJ|2025-09-09 19:30|177.0700|177.3600|176.9300|176.9800|819242|0.0900|0.2900|0.0500|BEARISH
JNJ|2025-09-10 13:30|175.6200|176.6050|175.3000|175.5137|1066284|0.1063|0.9850|0.2137|BEARISH
JNJ|2025-09-10 14:30|175.4900|175.6700|174.3300|174.6700|896224|0.8200|0.1800|0.3400|BEARISH
JNJ|2025-09-10 15:30|174.6900|175.4700|174.6400|174.9150|824938|0.2250|0.5550|0.0500|BULLISH
JNJ|2025-09-10 16:30|174.8800|175.4200|174.7600|175.1500|503527|0.2700|0.2700|0.1200|BULLISH
JNJ|2025-09-10 17:30|175.1500|175.6400|175.0600|175.6100|436503|0.4600|0.0300|0.0900|BULLISH
JNJ|2025-09-10 18:30|175.6000|175.8330|175.3400|175.4720|578703|0.1280|0.2330|0.1320|BEARISH
JNJ|2025-09-10 19:30|175.4800|175.8800|175.4100|175.7400|1059082|0.2600|0.1400|0.0700|BULLISH
JNJ|2025-09-11 13:30|175.7500|177.4600|175.6250|177.2400|769195|1.4900|0.2200|0.1250|BULLISH
JNJ|2025-09-11 14:30|177.2400|177.7800|177.1400|177.5150|654522|0.2750|0.2650|0.1000|BULLISH
JNJ|2025-09-11 15:30|177.5325|177.8000|177.2800|177.7800|411214|0.2475|0.0200|0.2525|BULLISH
JNJ|2025-09-11 16:30|177.7700|177.9000|177.2300|177.4150|344169|0.3550|0.1300|0.1850|BEARISH
JNJ|2025-09-11 17:30|177.4300|178.0200|177.3525|177.9800|527526|0.5500|0.0400|0.0775|BULLISH
JNJ|2025-09-11 18:30|177.9750|178.2900|177.9100|178.1100|576351|0.1350|0.1800|0.0650|BULLISH
JNJ|2025-09-11 19:30|178.1300|178.8450|178.1200|178.5000|1151180|0.3700|0.3450|0.0100|BULLISH
JNJ|2025-09-12 13:30|177.7050|178.8000|176.7200|178.5560|747651|0.8510|0.2440|0.9850|BULLISH
JNJ|2025-09-12 14:30|178.5900|178.7700|177.8450|177.8700|357772|0.7200|0.1800|0.0250|BEARISH
JNJ|2025-09-12 15:30|177.8700|178.0600|177.4400|177.9300|499746|0.0600|0.1300|0.4300|BULLISH
JNJ|2025-09-12 16:30|177.9500|178.2200|177.7500|178.2000|237228|0.2500|0.0200|0.2000|BULLISH
JNJ|2025-09-12 17:30|178.2100|178.4600|177.9800|178.4400|412136|0.2300|0.0200|0.2300|BULLISH
JNJ|2025-09-12 18:30|178.4500|178.5250|178.2600|178.3890|414865|0.0610|0.0750|0.1290|BEARISH
JNJ|2025-09-12 19:30|178.3850|178.3950|177.9500|178.0800|827243|0.3050|0.0100|0.1300|BEARISH
JNJ|2025-09-15 13:30|177.7600|178.9900|177.5700|177.6900|848866|0.0700|1.2300|0.1200|BEARISH
JNJ|2025-09-15 14:30|177.7150|177.9190|176.9300|177.3400|576238|0.3750|0.2040|0.4100|BEARISH
JNJ|2025-09-15 15:30|177.3300|177.6000|177.0200|177.3750|435941|0.0450|0.2250|0.3100|BULLISH
JNJ|2025-09-15 16:30|177.3900|177.5902|177.0100|177.1700|338464|0.2200|0.2002|0.1600|BEARISH
JNJ|2025-09-15 17:30|177.1750|177.5300|177.0800|177.4500|346007|0.2750|0.0800|0.0950|BULLISH
JNJ|2025-09-15 18:30|177.4450|177.7050|177.0600|177.6900|556467|0.2450|0.0150|0.3850|BULLISH
JNJ|2025-09-15 19:30|177.6850|177.7650|177.2500|177.4500|772064|0.2350|0.0800|0.2000|BEARISH
JNJ|2025-09-16 13:30|177.5700|177.6150|175.6500|176.8850|822304|0.6850|0.0450|1.2350|BEARISH
JNJ|2025-09-16 14:30|176.8850|177.2850|176.5600|176.8300|533621|0.0550|0.4000|0.2700|BEARISH
JNJ|2025-09-16 15:30|176.7900|177.2900|176.6200|176.9804|838105|0.1904|0.3096|0.1700|BULLISH
JNJ|2025-09-16 16:30|176.9900|177.2700|176.6100|176.6100|878646|0.3800|0.2800|0.0000|BEARISH
JNJ|2025-09-16 17:30|176.6000|176.7800|176.1200|176.2950|441995|0.3050|0.1800|0.1750|BEARISH
JNJ|2025-09-16 18:30|176.3000|176.6700|176.1000|176.6300|559529|0.3300|0.0400|0.2000|BULLISH
JNJ|2025-09-16 19:30|176.6450|176.7000|176.2400|176.4900|1137286|0.1550|0.0550|0.2500|BEARISH
JNJ|2025-09-17 13:30|176.7100|178.5100|176.6300|177.3000|874508|0.5900|1.2100|0.0800|BULLISH
JNJ|2025-09-17 14:30|177.2900|177.6000|176.5850|177.5000|564081|0.2100|0.1000|0.7050|BULLISH
JNJ|2025-09-17 15:30|177.5000|177.5200|176.9700|177.0500|397116|0.4500|0.0200|0.0800|BEARISH
JNJ|2025-09-17 16:30|177.0350|177.1500|176.7250|177.0299|393347|0.0051|0.1150|0.3049|BEARISH
JNJ|2025-09-17 17:30|177.0050|177.6500|176.9700|177.2800|483583|0.2750|0.3700|0.0350|BULLISH
JNJ|2025-09-17 18:30|177.2800|177.3500|176.9900|177.0900|593447|0.1900|0.0700|0.1000|BEARISH
