Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KO|2025-09-02 13:30|68.9600|69.3400|68.2650|68.3250|4515207|0.6350|0.3800|0.0600|BEARISH
KO|2025-09-02 14:30|68.3250|68.8550|68.2550|68.7497|3547593|0.4247|0.1053|0.0700|BULLISH
KO|2025-09-02 15:30|68.7450|68.9200|68.6301|68.8300|2544566|0.0850|0.0900|0.1149|BULLISH
KO|2025-09-02 16:30|68.8264|68.8974|68.6700|68.8200|896964|0.0064|0.0710|0.1500|BEARISH
KO|2025-09-02 17:30|68.8200|69.1200|68.8000|68.9850|4246840|0.1650|0.1350|0.0200|BULLISH
KO|2025-09-02 18:30|68.9850|69.0150|68.7400|68.8400|1571071|0.1450|0.0300|0.1000|BEARISH
KO|2025-09-02 19:30|68.8350|69.0950|68.8350|69.0450|3749524|0.2100|0.0500|0.0000|BULLISH
KO|2025-09-03 13:30|68.6600|69.0950|68.1850|68.3700|6078552|0.2900|0.4350|0.1850|BEARISH
KO|2025-09-03 14:30|68.3650|69.0000|68.3201|68.9749|3510064|0.6099|0.0251|0.0449|BULLISH
KO|2025-09-03 15:30|68.9800|68.9950|67.9100|68.4059|5566285|0.5741|0.0150|0.4959|BEARISH
KO|2025-09-03 16:30|68.4050|68.6300|67.3700|67.8100|5594492|0.5950|0.2250|0.4400|BEARISH
KO|2025-09-03 17:30|67.8200|68.6800|67.7901|68.6600|2505483|0.8400|0.0200|0.0299|BULLISH
KO|2025-09-03 18:30|68.6550|68.9400|68.4250|68.8300|4284187|0.1750|0.1100|0.2300|BULLISH
KO|2025-09-03 19:30|68.8300|69.0900|68.7627|69.0050|3980047|0.1750|0.0850|0.0673|BULLISH
KO|2025-09-04 13:30|69.1100|69.4600|68.8850|68.9850|1914803|0.1250|0.3500|0.1000|BEARISH
KO|2025-09-04 14:30|68.9900|69.0900|68.7100|68.7650|1195309|0.2250|0.1000|0.0550|BEARISH
KO|2025-09-04 15:30|68.7700|68.8100|68.5200|68.6250|1793981|0.1450|0.0400|0.1050|BEARISH
KO|2025-09-04 16:30|68.6300|68.6450|68.4500|68.5000|930783|0.1300|0.0150|0.0500|BEARISH
KO|2025-09-04 17:30|68.5000|68.5250|68.2700|68.3350|1331109|0.1650|0.0250|0.0650|BEARISH
