Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LOW|2025-09-02 13:30|256.4500|259.0050|255.6100|258.8400|329587|2.3900|0.1650|0.8400|BULLISH
LOW|2025-09-02 14:30|258.8400|258.9900|258.0900|258.3600|126063|0.4800|0.1500|0.2700|BEARISH
LOW|2025-09-02 15:30|258.2500|258.3600|257.8150|258.1800|138335|0.0700|0.1100|0.3650|BEARISH
LOW|2025-09-02 16:30|258.2100|258.8600|258.0600|258.3700|123998|0.1600|0.4900|0.1500|BULLISH
LOW|2025-09-02 17:30|258.3200|258.8500|258.2100|258.5000|117264|0.1800|0.3500|0.1100|BULLISH
LOW|2025-09-02 18:30|258.5800|258.8700|258.2800|258.3300|145272|0.2500|0.2900|0.0500|BEARISH
LOW|2025-09-02 19:30|258.3800|258.8200|258.1700|258.6900|394113|0.3100|0.1300|0.2100|BULLISH
LOW|2025-09-03 13:30|257.4500|259.7400|257.0000|258.9850|263635|1.5350|0.7550|0.4500|BULLISH
LOW|2025-09-03 14:30|258.9875|260.4400|258.5000|259.6450|314499|0.6575|0.7950|0.4875|BULLISH
LOW|2025-09-03 15:30|259.7600|260.7900|259.5312|260.6150|208927|0.8550|0.1750|0.2288|BULLISH
LOW|2025-09-03 16:30|260.6150|261.3900|260.5700|261.1950|155331|0.5800|0.1950|0.0450|BULLISH
LOW|2025-09-03 17:30|261.1100|261.1300|259.9891|260.6400|105581|0.4700|0.0200|0.6509|BEARISH
LOW|2025-09-03 18:30|260.7500|260.8600|260.3100|260.3800|147290|0.3700|0.1100|0.0700|BEARISH
LOW|2025-09-03 19:30|260.4000|261.0000|260.2800|260.7000|306214|0.3000|0.3000|0.1200|BULLISH
LOW|2025-09-04 13:30|263.0400|263.6800|261.4700|262.9200|236622|0.1200|0.6400|1.4500|BEARISH
LOW|2025-09-04 14:30|262.8900|263.3400|262.3800|263.2600|204254|0.3700|0.0800|0.5100|BULLISH
LOW|2025-09-04 15:30|263.3500|264.3900|263.3150|264.0450|146557|0.6950|0.3450|0.0350|BULLISH
LOW|2025-09-04 16:30|264.0009|264.0750|263.2500|263.3550|111712|0.6459|0.0741|0.1050|BEARISH
LOW|2025-09-04 17:30|263.4200|264.1800|263.1701|263.9100|111238|0.4900|0.2700|0.2499|BULLISH
LOW|2025-09-04 18:30|263.9870|264.6300|263.2700|264.3300|558168|0.3430|0.3000|0.7170|BULLISH
LOW|2025-09-04 19:30|264.3050|264.7100|263.8800|264.6000|362723|0.2950|0.1100|0.4250|BULLISH
LOW|2025-09-05 13:30|267.3700|270.6800|265.2300|268.1900|998434|0.8200|2.4900|2.1400|BULLISH
LOW|2025-09-05 14:30|268.1900|269.6300|266.9700|269.6000|445387|1.4100|0.0300|1.2200|BULLISH
LOW|2025-09-05 15:30|269.6800|269.7600|268.7900|269.0600|306370|0.6200|0.0800|0.2700|BEARISH
LOW|2025-09-05 16:30|269.0300|269.5800|268.8100|269.5800|228006|0.5500|0.0000|0.2200|BULLISH
LOW|2025-09-05 17:30|269.5250|269.7700|268.7642|269.0300|248401|0.4950|0.2450|0.2658|BEARISH
LOW|2025-09-05 18:30|269.0700|269.9100|268.9600|269.4250|617416|0.3550|0.4850|0.1100|BULLISH
LOW|2025-09-05 19:30|269.4200|270.4100|269.0300|270.0800|830944|0.6600|0.3300|0.3900|BULLISH
LOW|2025-09-08 13:30|269.2100|271.0400|268.6800|270.4200|725520|1.2100|0.6200|0.5300|BULLISH
LOW|2025-09-08 14:30|270.2900|271.4600|270.1900|271.2325|359994|0.9425|0.2275|0.1000|BULLISH
LOW|2025-09-08 15:30|271.3000|271.4900|269.8400|270.0300|252401|1.2700|0.1900|0.1900|BEARISH
LOW|2025-09-08 16:30|270.0800|271.8100|269.9000|271.5800|372645|1.5000|0.2300|0.1800|BULLISH
LOW|2025-09-08 17:30|271.5800|272.0700|270.7200|271.8300|361629|0.2500|0.2400|0.8600|BULLISH
LOW|2025-09-08 18:30|271.7150|272.3800|271.6209|272.3000|535586|0.5850|0.0800|0.0941|BULLISH
LOW|2025-09-08 19:30|272.3200|273.2200|271.5200|273.0300|849432|0.7100|0.1900|0.8000|BULLISH
LOW|2025-09-09 13:30|271.8100|272.1775|268.6200|268.7100|578725|3.1000|0.3675|0.0900|BEARISH
LOW|2025-09-09 14:30|268.7450|269.2200|267.5950|268.8925|400798|0.1475|0.3275|1.1500|BULLISH
LOW|2025-09-09 15:30|268.8600|268.9550|267.6400|268.3100|131732|0.5500|0.0950|0.6700|BEARISH
LOW|2025-09-09 16:30|268.3050|268.4300|267.6150|267.9850|123802|0.3200|0.1250|0.3700|BEARISH
LOW|2025-09-09 17:30|267.9586|269.2200|267.8795|269.1900|162779|1.2314|0.0300|0.0792|BULLISH
