Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MA|2025-09-02 13:30|595.6200|595.6200|586.0901|589.9700|519980|5.6500|0.0000|3.8799|BEARISH
MA|2025-09-02 14:30|589.9700|591.0100|587.3600|587.6600|254555|2.3100|1.0400|0.3000|BEARISH
MA|2025-09-02 15:30|588.1300|588.1300|586.0000|587.6450|182605|0.4850|0.0000|1.6450|BEARISH
MA|2025-09-02 16:30|587.5800|590.3300|587.4900|589.8221|146826|2.2421|0.5079|0.0900|BULLISH
MA|2025-09-02 17:30|589.9500|591.5100|589.2150|589.2150|187199|0.7350|1.5600|0.0000|BEARISH
MA|2025-09-02 18:30|589.2100|591.6100|589.0900|591.6100|206502|2.4000|0.0000|0.1200|BULLISH
MA|2025-09-02 19:30|591.6100|592.2900|591.2800|591.5800|286624|0.0300|0.6800|0.3000|BEARISH
MA|2025-09-03 13:30|591.8300|592.5800|588.9600|591.6650|491129|0.1650|0.7500|2.7050|BEARISH
MA|2025-09-03 14:30|591.7600|593.2600|591.0675|591.1300|150615|0.6300|1.5000|0.0625|BEARISH
MA|2025-09-03 15:30|591.2900|591.7500|590.5000|591.2500|179068|0.0400|0.4600|0.7500|BEARISH
MA|2025-09-03 16:30|591.3000|591.8250|590.0400|591.7400|175477|0.4400|0.0850|1.2600|BULLISH
MA|2025-09-03 17:30|591.7400|592.0499|589.9000|590.9450|169800|0.7950|0.3099|1.0450|BEARISH
MA|2025-09-03 18:30|590.9350|592.4725|590.4700|591.6750|175642|0.7400|0.7975|0.4650|BULLISH
MA|2025-09-03 19:30|591.8000|594.0000|591.6600|593.2800|269201|1.4800|0.7200|0.1400|BULLISH
MA|2025-09-04 13:30|593.0300|594.4600|589.2909|590.0525|237392|2.9775|1.4300|0.7616|BEARISH
MA|2025-09-04 14:30|590.4250|593.4670|590.4100|593.4670|197252|3.0420|0.0000|0.0150|BULLISH
MA|2025-09-04 15:30|593.2950|593.9200|592.6700|593.2150|120947|0.0800|0.6250|0.5450|BEARISH
MA|2025-09-04 16:30|593.1800|594.0000|592.2400|593.8300|163114|0.6500|0.1700|0.9400|BULLISH
MA|2025-09-04 17:30|593.8350|595.3900|593.6100|595.3750|134588|1.5400|0.0150|0.2250|BULLISH
MA|2025-09-04 18:30|595.3752|595.8900|594.5600|595.3400|179362|0.0352|0.5148|0.7800|BEARISH
MA|2025-09-04 19:30|595.3600|595.6050|594.5100|595.5400|299295|0.1800|0.0650|0.8500|BULLISH
MA|2025-09-05 13:30|595.4700|598.5800|589.3200|590.3000|269077|5.1700|3.1100|0.9800|BEARISH
MA|2025-09-05 14:30|590.2900|590.2900|582.0400|583.3650|433422|6.9250|0.0000|1.3250|BEARISH
MA|2025-09-05 15:30|583.3250|583.6600|580.8250|581.7900|231432|1.5350|0.3350|0.9650|BEARISH
MA|2025-09-05 16:30|581.7900|582.9700|579.6500|579.7000|173376|2.0900|1.1800|0.0500|BEARISH
MA|2025-09-05 17:30|579.7300|580.9400|579.0252|580.9200|180904|1.1900|0.0200|0.7048|BULLISH
MA|2025-09-05 18:30|580.8825|584.6200|580.6601|584.3200|260169|3.4375|0.3000|0.2224|BULLISH
MA|2025-09-05 19:30|584.3000|584.6500|583.0606|584.1300|448823|0.1700|0.3500|1.0694|BEARISH
MA|2025-09-08 13:30|582.6200|585.6427|580.7000|585.0300|263274|2.4100|0.6127|1.9200|BULLISH
MA|2025-09-08 14:30|585.2900|586.3000|584.9800|585.9100|231033|0.6200|0.3900|0.3100|BULLISH
MA|2025-09-08 15:30|585.8000|587.7250|585.3800|587.6400|166040|1.8400|0.0850|0.4200|BULLISH
MA|2025-09-08 16:30|587.5500|589.7940|587.3200|589.4700|110796|1.9200|0.3240|0.2300|BULLISH
MA|2025-09-08 17:30|589.4835|589.7400|586.8335|587.0900|122874|2.3935|0.2565|0.2565|BEARISH
