Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MCD|2025-09-02 13:30|313.0500|315.7850|312.3250|313.5906|711952|0.5406|2.1944|0.7250|BULLISH
MCD|2025-09-02 14:30|313.5950|314.7700|313.1350|314.4850|324132|0.8900|0.2850|0.4600|BULLISH
MCD|2025-09-02 15:30|314.5300|314.8800|314.1300|314.6100|250175|0.0800|0.2700|0.4000|BULLISH
MCD|2025-09-02 16:30|314.5800|314.8600|314.1800|314.8300|198649|0.2500|0.0300|0.4000|BULLISH
MCD|2025-09-02 17:30|314.8300|315.7700|314.7301|315.7424|301389|0.9124|0.0276|0.0999|BULLISH
MCD|2025-09-02 18:30|315.7400|316.1300|315.3000|315.5898|346443|0.1502|0.3900|0.2898|BEARISH
MCD|2025-09-02 19:30|315.5900|315.9300|315.2000|315.7700|604077|0.1800|0.1600|0.3900|BULLISH
MCD|2025-09-03 13:30|315.0200|316.1900|312.9800|314.3925|537725|0.6275|1.1700|1.4125|BEARISH
MCD|2025-09-03 14:30|314.3200|316.0400|314.0000|316.0100|215703|1.6900|0.0300|0.3200|BULLISH
MCD|2025-09-03 15:30|315.9850|316.0900|315.5200|315.8522|181949|0.1328|0.1050|0.3322|BEARISH
MCD|2025-09-03 16:30|315.9279|316.6000|315.8350|316.3800|162283|0.4521|0.2200|0.0929|BULLISH
MCD|2025-09-03 17:30|316.3300|316.8700|316.2550|316.6300|189365|0.3000|0.2400|0.0750|BULLISH
MCD|2025-09-03 18:30|316.6300|316.8700|315.8600|316.2950|238232|0.3350|0.2400|0.4350|BEARISH
MCD|2025-09-03 19:30|316.3000|316.7500|315.8300|316.3900|509919|0.0900|0.3600|0.4700|BULLISH
MCD|2025-09-04 13:30|317.8200|319.2800|316.4800|317.9950|863201|0.1750|1.2850|1.3400|BULLISH
MCD|2025-09-04 14:30|317.8812|319.2800|317.4800|319.2100|250500|1.3288|0.0700|0.4012|BULLISH
MCD|2025-09-04 15:30|319.1850|319.4250|318.7800|318.7900|208908|0.3950|0.2400|0.0100|BEARISH
MCD|2025-09-04 16:30|318.8050|318.8050|317.0400|317.0800|177678|1.7250|0.0000|0.0400|BEARISH
MCD|2025-09-04 17:30|317.0106|317.5400|316.5350|317.1800|190734|0.1694|0.3600|0.4756|BULLISH
MCD|2025-09-04 18:30|317.1800|317.6400|316.7500|317.3650|251395|0.1850|0.2750|0.4300|BULLISH
MCD|2025-09-04 19:30|317.3500|317.7400|316.6800|317.1100|366281|0.2400|0.3900|0.4300|BEARISH
MCD|2025-09-05 13:30|317.3650|318.0400|315.8400|315.9950|392403|1.3700|0.6750|0.1550|BEARISH
MCD|2025-09-05 14:30|315.9850|317.0200|315.5300|316.7800|269299|0.7950|0.2400|0.4550|BULLISH
MCD|2025-09-05 15:30|316.7800|316.8700|314.2150|314.3300|189364|2.4500|0.0900|0.1150|BEARISH
MCD|2025-09-05 16:30|314.3900|315.0200|314.0600|314.0600|146240|0.3300|0.6300|0.0000|BEARISH
MCD|2025-09-05 17:30|314.0600|314.2034|313.2700|313.5700|185992|0.4900|0.1434|0.3000|BEARISH
MCD|2025-09-05 18:30|313.5625|314.5457|313.3900|314.1450|463551|0.5825|0.4007|0.1725|BULLISH
MCD|2025-09-05 19:30|314.1900|314.4700|313.6818|314.4700|388273|0.2800|0.0000|0.5082|BULLISH
MCD|2025-09-08 13:30|312.8200|313.0800|309.7600|312.6900|522075|0.1300|0.2600|2.9300|BEARISH
MCD|2025-09-08 14:30|312.6300|312.9900|311.9400|312.5000|275858|0.1300|0.3600|0.5600|BEARISH
MCD|2025-09-08 15:30|312.5000|312.6800|311.6900|312.2050|205804|0.2950|0.1800|0.5150|BEARISH
MCD|2025-09-08 16:30|312.1700|312.9581|311.7400|311.8000|187896|0.3700|0.7881|0.0600|BEARISH
MCD|2025-09-08 17:30|311.7700|312.1000|310.7300|311.6750|356167|0.0950|0.3300|0.9450|BEARISH
MCD|2025-09-08 18:30|311.6800|311.7200|310.7800|311.2700|262251|0.4100|0.0400|0.4900|BEARISH
MCD|2025-09-08 19:30|311.3000|313.0300|311.0874|312.7400|566419|1.4400|0.2900|0.2126|BULLISH
MCD|2025-09-09 13:30|311.0550|312.4900|310.7250|311.5400|317480|0.4850|0.9500|0.3300|BULLISH
MCD|2025-09-09 14:30|311.5400|312.9200|311.2900|312.5925|291358|1.0525|0.3275|0.2500|BULLISH
MCD|2025-09-09 15:30|312.6100|312.9900|311.8401|312.7500|160444|0.1400|0.2400|0.7699|BULLISH
MCD|2025-09-09 16:30|312.7500|312.9050|312.1200|312.7800|226698|0.0300|0.1250|0.6300|BULLISH
MCD|2025-09-09 17:30|312.8200|313.5754|312.8100|313.5000|204134|0.6800|0.0754|0.0100|BULLISH
MCD|2025-09-09 18:30|313.5500|313.7000|312.0800|312.4100|307990|1.1400|0.1500|0.3300|BEARISH
