Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MDLZ|2025-09-02 13:30|61.6950|62.0600|61.2000|61.6600|1273206|0.0350|0.3650|0.4600|BEARISH
MDLZ|2025-09-02 14:30|61.6600|61.9550|61.4950|61.7300|823420|0.0700|0.2250|0.1650|BULLISH
MDLZ|2025-09-02 15:30|61.7350|61.9000|61.6550|61.7500|515606|0.0150|0.1500|0.0800|BULLISH
MDLZ|2025-09-02 16:30|61.7501|61.7750|61.6000|61.6000|466341|0.1501|0.0249|0.0000|BEARISH
MDLZ|2025-09-02 17:30|61.5950|61.7400|61.4702|61.4850|483162|0.1100|0.1450|0.0148|BEARISH
MDLZ|2025-09-02 18:30|61.4870|61.5075|61.2750|61.3650|765629|0.1220|0.0205|0.0900|BEARISH
MDLZ|2025-09-02 19:30|61.3650|61.8100|61.3550|61.7800|1942674|0.4150|0.0300|0.0100|BULLISH
MDLZ|2025-09-03 13:30|61.3600|61.7700|59.3700|60.4700|3295454|0.8900|0.4100|1.1000|BEARISH
MDLZ|2025-09-03 14:30|60.4650|61.4650|60.4500|61.3450|1295133|0.8800|0.1200|0.0150|BULLISH
MDLZ|2025-09-03 15:30|61.3500|61.4150|61.0800|61.1200|725606|0.2300|0.0650|0.0400|BEARISH
MDLZ|2025-09-03 16:30|61.1200|61.2650|60.9850|61.0000|523651|0.1200|0.1450|0.0150|BEARISH
MDLZ|2025-09-03 17:30|61.0050|61.2150|60.7700|61.1950|689950|0.1900|0.0200|0.2350|BULLISH
MDLZ|2025-09-03 18:30|61.2000|61.3950|61.1100|61.1350|818617|0.0650|0.1950|0.0250|BEARISH
MDLZ|2025-09-03 19:30|61.1350|61.3250|61.0550|61.2900|1566076|0.1550|0.0350|0.0800|BULLISH
MDLZ|2025-09-04 13:30|61.4250|61.5500|60.8850|61.0350|804580|0.3900|0.1250|0.1500|BEARISH
MDLZ|2025-09-04 14:30|61.0350|61.1550|60.9150|61.0550|470987|0.0200|0.1000|0.1200|BULLISH
MDLZ|2025-09-04 15:30|61.0550|61.1300|60.9050|61.0550|488585|0.0000|0.0750|0.1500|BULLISH
MDLZ|2025-09-04 16:30|61.0550|61.1000|60.8900|61.0750|319387|0.0200|0.0250|0.1650|BULLISH
MDLZ|2025-09-04 17:30|61.0700|61.0950|60.9200|60.9550|371701|0.1150|0.0250|0.0350|BEARISH
MDLZ|2025-09-04 18:30|60.9600|61.1850|60.9300|61.0400|368390|0.0800|0.1450|0.0300|BULLISH
MDLZ|2025-09-04 19:30|61.0390|61.0390|60.8900|60.8900|834097|0.1490|0.0000|0.0000|BEARISH
MDLZ|2025-09-05 13:30|61.0300|62.5100|60.9500|62.0500|1173622|1.0200|0.4600|0.0800|BULLISH
MDLZ|2025-09-05 14:30|62.0750|62.3550|61.8700|62.1650|729532|0.0900|0.1900|0.2050|BULLISH
MDLZ|2025-09-05 15:30|62.1600|62.2100|61.8010|61.8210|390668|0.3390|0.0500|0.0200|BEARISH
MDLZ|2025-09-05 16:30|61.8150|61.8600|61.6100|61.6150|437870|0.2000|0.0450|0.0050|BEARISH
MDLZ|2025-09-05 17:30|61.6300|61.8150|61.5200|61.5550|466009|0.0750|0.1850|0.0350|BEARISH
MDLZ|2025-09-05 18:30|61.5600|61.6950|61.4700|61.5150|641530|0.0450|0.1350|0.0450|BEARISH
