Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
META|2025-09-02 13:30|726.0000|734.8400|721.7306|734.8200|2998334|8.8200|0.0200|4.2694|BULLISH
META|2025-09-02 14:30|734.7100|734.7100|728.1300|729.3200|1161246|5.3900|0.0000|1.1900|BEARISH
META|2025-09-02 15:30|729.1200|729.2600|725.1100|728.7500|978039|0.3700|0.1400|3.6400|BEARISH
META|2025-09-02 16:30|728.6400|732.5250|727.7100|732.2500|533962|3.6100|0.2750|0.9300|BULLISH
META|2025-09-02 17:30|732.3400|734.3200|731.8500|731.9282|523362|0.4118|1.9800|0.0782|BEARISH
META|2025-09-02 18:30|731.7900|734.4950|731.7500|733.9499|580770|2.1599|0.5451|0.0400|BULLISH
META|2025-09-02 19:30|733.7900|735.9799|733.2500|735.0800|920558|1.2900|0.8999|0.5400|BULLISH
META|2025-09-03 13:30|735.5450|740.2500|734.3000|735.5650|1934826|0.0200|4.6850|1.2450|BULLISH
META|2025-09-03 14:30|735.5650|739.2899|733.9893|734.4500|1052533|1.1150|3.7249|0.4607|BEARISH
META|2025-09-03 15:30|734.7300|738.6700|734.3100|737.7950|785602|3.0650|0.8750|0.4200|BULLISH
META|2025-09-03 16:30|737.9800|738.3900|735.0300|736.3600|532668|1.6200|0.4100|1.3300|BEARISH
META|2025-09-03 17:30|736.6100|736.8815|734.5000|735.9200|447634|0.6900|0.2715|1.4200|BEARISH
META|2025-09-03 18:30|735.8400|736.8300|735.0600|736.2700|489212|0.4300|0.5600|0.7800|BULLISH
META|2025-09-03 19:30|736.2756|737.4400|735.6623|736.9000|870693|0.6245|0.5400|0.6133|BULLISH
META|2025-09-04 13:30|748.1500|761.1500|745.8200|750.2600|4479944|2.1100|10.8900|2.3300|BULLISH
META|2025-09-04 14:30|750.1800|755.0000|749.1803|754.0150|1697510|3.8350|0.9850|0.9997|BULLISH
META|2025-09-04 15:30|754.0150|754.1500|747.7100|748.3300|870394|5.6850|0.1350|0.6200|BEARISH
META|2025-09-04 16:30|748.2700|749.1600|746.4680|748.0499|693452|0.2201|0.8900|1.5819|BEARISH
META|2025-09-04 17:30|748.0400|748.7800|747.0900|748.5000|585595|0.4600|0.2800|0.9500|BULLISH
META|2025-09-04 18:30|748.4200|748.8800|746.5900|747.4250|726283|0.9950|0.4600|0.8350|BEARISH
META|2025-09-04 19:30|747.4200|748.8900|746.3100|748.8900|1135750|1.4700|0.0000|1.1100|BULLISH
META|2025-09-05 13:30|752.6150|757.9200|749.0000|751.7400|2925404|0.8750|5.3050|2.7400|BEARISH
META|2025-09-05 14:30|751.6350|752.7100|745.0300|751.1950|1625610|0.4400|1.0750|6.1650|BEARISH
META|2025-09-05 15:30|751.1900|754.1600|749.9000|750.1800|877247|1.0100|2.9700|0.2800|BEARISH
META|2025-09-05 16:30|750.1550|750.4000|747.4400|749.1350|483029|1.0200|0.2450|1.6950|BEARISH
META|2025-09-05 17:30|749.1100|751.3900|748.5650|750.8650|749983|1.7550|0.5250|0.5450|BULLISH
META|2025-09-05 18:30|751.0000|755.4613|750.4400|755.3700|785123|4.3700|0.0913|0.5600|BULLISH
META|2025-09-05 19:30|755.4700|755.4700|750.6800|752.2900|939810|3.1800|0.0000|1.6100|BEARISH
META|2025-09-08 13:30|755.9950|766.5000|755.5000|761.3616|2775389|5.3666|5.1384|0.4950|BULLISH
META|2025-09-08 14:30|761.6075|763.1700|758.4900|760.3878|1065396|1.2197|1.5625|1.8978|BEARISH
META|2025-09-08 15:30|760.2800|762.5000|759.5800|761.1300|467169|0.8500|1.3700|0.7000|BULLISH
META|2025-09-08 16:30|761.2918|761.4199|758.7600|760.1549|670987|1.1369|0.1281|1.3949|BEARISH
META|2025-09-08 17:30|760.1000|760.8050|758.0200|760.5500|678694|0.4500|0.2550|2.0800|BULLISH
META|2025-09-08 18:30|760.5500|760.7300|757.2100|758.3950|653816|2.1550|0.1800|1.1850|BEARISH
META|2025-09-08 19:30|758.3950|759.2500|752.0200|752.1900|1709405|6.2050|0.8550|0.1700|BEARISH
META|2025-09-09 13:30|754.3300|763.8321|753.4600|762.1700|2977326|7.8400|1.6621|0.8700|BULLISH
META|2025-09-09 14:30|762.1950|762.6400|759.6200|759.9400|805962|2.2550|0.4450|0.3200|BEARISH
META|2025-09-09 15:30|759.6045|761.4600|757.6100|760.5900|595145|0.9855|0.8700|1.9945|BULLISH
META|2025-09-09 16:30|760.5900|763.7399|759.5100|763.4600|1102228|2.8700|0.2799|1.0800|BULLISH
META|2025-09-09 17:30|763.4700|764.5000|762.1701|762.8199|897645|0.6501|1.0300|0.6498|BEARISH
META|2025-09-09 18:30|762.8600|765.3000|762.2900|764.9800|971378|2.1200|0.3200|0.5700|BULLISH
META|2025-09-09 19:30|764.9800|766.3000|764.2000|765.8700|1175180|0.8900|0.4300|0.7800|BULLISH
META|2025-09-10 13:30|765.0100|765.7000|752.1200|755.6400|4009921|9.3700|0.6900|3.5200|BEARISH
META|2025-09-10 14:30|755.5000|757.3225|753.0000|755.5200|1305274|0.0200|1.8025|2.5000|BULLISH
META|2025-09-10 15:30|755.5150|758.7800|753.9960|756.1800|831015|0.6650|2.6000|1.5190|BULLISH
META|2025-09-10 16:30|755.9000|759.7000|754.9200|755.2412|676235|0.6588|3.8000|0.3212|BEARISH
META|2025-09-10 17:30|755.1800|756.6199|754.6200|755.8500|505268|0.6700|0.7699|0.5600|BULLISH
META|2025-09-10 18:30|755.6800|756.8000|751.8000|752.8000|896405|2.8800|1.1200|1.0000|BEARISH
