Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MS|2025-09-02 13:30|148.5600|148.5600|145.6550|148.2800|1090774|0.2800|0.0000|2.6250|BEARISH
MS|2025-09-02 14:30|148.3000|148.7075|147.6650|148.1300|626621|0.1700|0.4075|0.4650|BEARISH
MS|2025-09-02 15:30|148.1000|148.1400|147.3800|147.6100|528102|0.4900|0.0400|0.2300|BEARISH
MS|2025-09-02 16:30|147.6200|148.2800|147.6200|148.2400|418581|0.6200|0.0400|0.0000|BULLISH
MS|2025-09-02 17:30|148.2400|148.7261|148.0350|148.0600|367468|0.1800|0.4861|0.0250|BEARISH
MS|2025-09-02 18:30|148.0800|148.6300|147.8700|148.5450|478163|0.4650|0.0850|0.2100|BULLISH
MS|2025-09-02 19:30|148.5400|149.0700|148.5300|148.8200|921574|0.2800|0.2500|0.0100|BULLISH
MS|2025-09-03 13:30|148.8100|149.5500|148.3000|148.7100|725242|0.1000|0.7400|0.4100|BEARISH
MS|2025-09-03 14:30|148.8100|149.2500|148.5200|148.5900|341234|0.2200|0.4400|0.0700|BEARISH
MS|2025-09-03 15:30|148.6100|148.9000|148.0752|148.1050|311472|0.5050|0.2900|0.0298|BEARISH
MS|2025-09-03 16:30|148.0900|148.1000|147.3500|147.5200|407537|0.5700|0.0100|0.1700|BEARISH
MS|2025-09-03 17:30|147.5100|147.6700|146.9400|147.5700|342801|0.0600|0.1000|0.5700|BULLISH
MS|2025-09-03 18:30|147.5200|147.8650|147.3002|147.7107|355569|0.1907|0.1543|0.2198|BULLISH
MS|2025-09-03 19:30|147.7200|148.6250|147.7200|148.5700|600348|0.8500|0.0550|0.0000|BULLISH
MS|2025-09-04 13:30|149.0300|149.8200|148.6800|149.5500|560660|0.5200|0.2700|0.3500|BULLISH
MS|2025-09-04 14:30|149.5500|150.0300|149.4900|149.8900|522877|0.3400|0.1400|0.0600|BULLISH
