Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MU|2025-09-02 13:30|115.8499|116.5700|114.2600|116.5500|4252063|0.7001|0.0200|1.5899|BULLISH
MU|2025-09-02 14:30|116.5400|117.0000|115.7500|116.8900|1233770|0.3500|0.1100|0.7900|BULLISH
MU|2025-09-02 15:30|116.8600|116.9600|115.8000|115.9500|1012906|0.9100|0.1000|0.1500|BEARISH
MU|2025-09-02 16:30|115.9500|117.3397|115.9400|117.2550|1102120|1.3050|0.0847|0.0100|BULLISH
MU|2025-09-02 17:30|117.2700|117.7000|117.0620|117.3750|887505|0.1050|0.3250|0.2080|BULLISH
MU|2025-09-02 18:30|117.3800|118.1150|117.3800|117.9900|935853|0.6100|0.1250|0.0000|BULLISH
MU|2025-09-02 19:30|117.9801|118.5550|117.9800|118.4900|1259941|0.5099|0.0650|0.0001|BULLISH
MU|2025-09-03 13:30|119.2750|119.4400|117.9600|118.2800|2578467|0.9950|0.1650|0.3200|BEARISH
MU|2025-09-03 14:30|118.3050|119.1100|117.7700|117.8450|1423659|0.4600|0.8050|0.0750|BEARISH
MU|2025-09-03 15:30|117.8400|118.4700|117.7250|118.1600|727120|0.3200|0.3100|0.1150|BULLISH
MU|2025-09-03 16:30|118.1750|118.2400|117.2950|118.0800|1016167|0.0950|0.0650|0.7850|BEARISH
MU|2025-09-03 17:30|118.0645|118.1600|117.4700|117.6300|625478|0.4345|0.0955|0.1600|BEARISH
MU|2025-09-03 18:30|117.6400|118.1250|117.4200|118.0100|678955|0.3700|0.1150|0.2200|BULLISH
MU|2025-09-03 19:30|118.0100|118.7750|117.9800|118.7100|1471032|0.7000|0.0650|0.0300|BULLISH
MU|2025-09-04 13:30|118.8500|120.3800|118.5200|119.5895|3319526|0.7395|0.7905|0.3300|BULLISH
MU|2025-09-04 14:30|119.6000|119.8400|118.9500|119.5798|1523983|0.0202|0.2400|0.6298|BEARISH
MU|2025-09-04 15:30|119.5750|121.5100|119.4700|121.0600|2494672|1.4850|0.4500|0.1050|BULLISH
MU|2025-09-04 16:30|121.0600|121.5000|120.8450|121.0200|849697|0.0400|0.4400|0.1750|BEARISH
MU|2025-09-04 17:30|121.0900|122.1500|120.9000|122.0200|1489906|0.9300|0.1300|0.1900|BULLISH
MU|2025-09-04 18:30|122.0250|123.7400|122.0200|123.6450|3325874|1.6200|0.0950|0.0050|BULLISH
MU|2025-09-04 19:30|123.6350|124.4100|123.3600|124.2000|2881400|0.5650|0.2100|0.2750|BULLISH
MU|2025-09-05 13:30|127.7700|129.6000|127.3000|128.2700|9877227|0.5000|1.3300|0.4700|BULLISH
