Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NFLX|2025-09-02 13:30|1196.6899|1211.0601|1182.8000|1210.7250|722787|14.0350|0.3351|13.8899|BULLISH
NFLX|2025-09-02 14:30|1210.9700|1213.0000|1204.2450|1206.6750|259579|4.2949|2.0300|2.4301|BEARISH
NFLX|2025-09-02 15:30|1205.5917|1206.2700|1198.7000|1204.0000|187026|1.5917|0.6783|5.3000|BEARISH
NFLX|2025-09-02 16:30|1203.9600|1209.8700|1203.6101|1209.2000|163665|5.2400|0.6700|0.3499|BULLISH
NFLX|2025-09-02 17:30|1210.0000|1215.3599|1209.1101|1211.4200|196788|1.4200|3.9398|0.8899|BULLISH
NFLX|2025-09-02 18:30|1211.7500|1215.3900|1211.2000|1215.0000|145484|3.2500|0.3900|0.5500|BULLISH
NFLX|2025-09-02 19:30|1214.5000|1215.0631|1211.8700|1213.6600|286503|0.8400|0.5631|1.7900|BEARISH
NFLX|2025-09-03 13:30|1205.3199|1218.0999|1203.3800|1209.0100|588795|3.6901|9.0898|1.9399|BULLISH
NFLX|2025-09-03 14:30|1209.4100|1226.9999|1209.1467|1217.7300|457953|8.3199|9.2699|0.2633|BULLISH
NFLX|2025-09-03 15:30|1217.7400|1220.9800|1214.2600|1216.2001|182597|1.5399|3.2400|1.9401|BEARISH
NFLX|2025-09-03 16:30|1216.3950|1217.1700|1211.6519|1214.0100|147638|2.3850|0.7750|2.3582|BEARISH
NFLX|2025-09-03 17:30|1214.2300|1216.0400|1211.4399|1215.4250|150399|1.1951|0.6150|2.7900|BULLISH
NFLX|2025-09-03 18:30|1215.0000|1220.3400|1213.0244|1219.9900|153806|4.9900|0.3500|1.9756|BULLISH
NFLX|2025-09-03 19:30|1220.2100|1226.0000|1219.9100|1225.3700|436158|5.1600|0.6300|0.2999|BULLISH
NFLX|2025-09-04 13:30|1223.2000|1248.1700|1223.0900|1244.0000|792676|20.8000|4.1700|0.1100|BULLISH
NFLX|2025-09-04 14:30|1243.6639|1252.8000|1243.6639|1251.7200|521584|8.0560|1.0801|0.0000|BULLISH
NFLX|2025-09-04 15:30|1252.0100|1256.3116|1250.8400|1252.7550|346753|0.7450|3.5566|1.1700|BULLISH
NFLX|2025-09-04 16:30|1252.9000|1255.5800|1250.9900|1253.7000|199723|0.7999|1.8800|1.9100|BULLISH
NFLX|2025-09-04 17:30|1254.0776|1255.2800|1251.5586|1254.5649|198317|0.4873|0.7151|2.5190|BULLISH
NFLX|2025-09-04 18:30|1254.4301|1256.3000|1253.0001|1254.9800|185472|0.5499|1.3201|1.4299|BULLISH
NFLX|2025-09-04 19:30|1254.8600|1257.4800|1252.6862|1257.4399|397651|2.5800|0.0400|2.1738|BULLISH
NFLX|2025-09-05 13:30|1260.0000|1267.1000|1246.2800|1250.3850|689320|9.6150|7.1000|4.1050|BEARISH
NFLX|2025-09-05 14:30|1250.4900|1251.0699|1239.0201|1244.7968|398488|5.6932|0.5800|5.7766|BEARISH
NFLX|2025-09-05 15:30|1244.5938|1245.8500|1240.4169|1243.1200|189324|1.4738|1.2562|2.7031|BEARISH
NFLX|2025-09-05 16:30|1242.5500|1245.4500|1240.4000|1241.3300|150060|1.2201|2.8999|0.9299|BEARISH
NFLX|2025-09-05 17:30|1240.7700|1244.5413|1240.0000|1243.5601|171466|2.7900|0.9812|0.7700|BULLISH
NFLX|2025-09-05 18:30|1243.8226|1246.0601|1242.3800|1245.6500|177128|1.8274|0.4100|1.4426|BULLISH
NFLX|2025-09-05 19:30|1245.6500|1245.6500|1242.6000|1244.1700|260591|1.4800|0.0000|1.5701|BEARISH
NFLX|2025-09-08 13:30|1246.0000|1252.0405|1232.0000|1248.8127|578240|2.8127|3.2278|14.0000|BULLISH
NFLX|2025-09-08 14:30|1248.9301|1248.9301|1239.5400|1240.9600|234671|7.9701|0.0000|1.4199|BEARISH
NFLX|2025-09-08 15:30|1241.0649|1250.6750|1240.5500|1245.8400|167960|4.7750|4.8351|0.5149|BULLISH
NFLX|2025-09-08 16:30|1245.8800|1247.1136|1242.8700|1243.3500|120513|2.5300|1.2336|0.4800|BEARISH
NFLX|2025-09-08 17:30|1244.1000|1252.0000|1244.1000|1249.5500|143615|5.4501|2.4500|0.0000|BULLISH
NFLX|2025-09-08 18:30|1249.3500|1249.3500|1243.5601|1245.7050|137492|3.6450|0.0000|2.1449|BEARISH
NFLX|2025-09-08 19:30|1246.1000|1247.1274|1243.2400|1244.4600|242558|1.6400|1.0275|1.2200|BEARISH
NFLX|2025-09-09 13:30|1246.6700|1259.0000|1246.6700|1254.5000|458127|7.8300|4.5000|0.0000|BULLISH
NFLX|2025-09-09 14:30|1254.6600|1257.0000|1247.0001|1256.0200|253262|1.3600|0.9800|7.6599|BULLISH
NFLX|2025-09-09 15:30|1256.0200|1265.2150|1253.1750|1261.0400|427161|5.0200|4.1749|2.8450|BULLISH
NFLX|2025-09-09 16:30|1260.6300|1263.0000|1259.0300|1260.2000|151560|0.4301|2.3700|1.1699|BEARISH
NFLX|2025-09-09 17:30|1260.2000|1264.9611|1258.9550|1261.8000|197576|1.6001|3.1610|1.2450|BULLISH
NFLX|2025-09-09 18:30|1262.0800|1264.9604|1261.6000|1264.1100|183847|2.0300|0.8505|0.4800|BULLISH
NFLX|2025-09-09 19:30|1264.0300|1265.7209|1261.7600|1263.2600|257121|0.7700|1.6909|1.5000|BEARISH
NFLX|2025-09-10 13:30|1265.3101|1267.0000|1246.3550|1259.3300|726709|5.9801|1.6899|12.9750|BEARISH
NFLX|2025-09-10 14:30|1259.6500|1263.7050|1250.8051|1254.6600|340396|4.9900|4.0549|3.8550|BEARISH
NFLX|2025-09-10 15:30|1255.1750|1255.5000|1249.2400|1251.3312|237885|3.8439|0.3250|2.0912|BEARISH
NFLX|2025-09-10 16:30|1251.6300|1255.9117|1250.9200|1251.0000|179762|0.6300|4.2817|0.0800|BEARISH
NFLX|2025-09-10 17:30|1250.7600|1259.6150|1250.7600|1257.5000|169335|6.7400|2.1150|0.0000|BULLISH
