Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NKE|2025-09-02 13:30|75.6400|76.0500|74.6600|74.9200|2714567|0.7200|0.4100|0.2600|BEARISH
NKE|2025-09-02 14:30|74.9250|75.0600|74.4400|74.5300|1483701|0.3950|0.1350|0.0900|BEARISH
NKE|2025-09-02 15:30|74.5200|74.6750|74.0000|74.5066|3399127|0.0134|0.1550|0.5066|BEARISH
NKE|2025-09-02 16:30|74.5100|74.6400|74.0600|74.5000|1216207|0.0100|0.1300|0.4400|BEARISH
NKE|2025-09-02 17:30|74.5040|74.6750|74.1450|74.2400|1642738|0.2640|0.1710|0.0950|BEARISH
NKE|2025-09-02 18:30|74.2350|74.5100|74.1401|74.4700|802756|0.2350|0.0400|0.0949|BULLISH
NKE|2025-09-02 19:30|74.4650|74.5200|74.1250|74.3100|2174764|0.1550|0.0550|0.1850|BEARISH
NKE|2025-09-03 13:30|74.4000|74.8800|73.9100|74.3351|1187690|0.0649|0.4800|0.4251|BEARISH
NKE|2025-09-03 14:30|74.3500|74.9300|74.2700|74.5390|1037211|0.1890|0.3910|0.0800|BULLISH
NKE|2025-09-03 15:30|74.5500|74.8700|74.4900|74.8200|635986|0.2700|0.0500|0.0600|BULLISH
NKE|2025-09-03 16:30|74.8300|75.1800|74.8300|74.9700|813258|0.1400|0.2100|0.0000|BULLISH
NKE|2025-09-03 17:30|74.9700|74.9700|74.5850|74.6300|529919|0.3400|0.0000|0.0450|BEARISH
NKE|2025-09-03 18:30|74.6250|74.6600|74.4600|74.6150|553026|0.0100|0.0350|0.1550|BEARISH
NKE|2025-09-03 19:30|74.6150|74.8650|74.6050|74.7400|1091207|0.1250|0.1250|0.0100|BULLISH
NKE|2025-09-04 13:30|74.7500|75.5400|74.5100|75.1250|3340229|0.3750|0.4150|0.2400|BULLISH
NKE|2025-09-04 14:30|75.1400|75.4000|75.0700|75.3150|770669|0.1750|0.0850|0.0700|BULLISH
NKE|2025-09-04 15:30|75.3100|75.5600|75.0800|75.3900|910414|0.0800|0.1700|0.2300|BULLISH
NKE|2025-09-04 16:30|75.4000|75.4150|75.0200|75.0850|645972|0.3150|0.0150|0.0650|BEARISH
NKE|2025-09-04 17:30|75.0900|75.2400|74.9900|75.1300|679865|0.0400|0.1100|0.1000|BULLISH
NKE|2025-09-04 18:30|75.1350|75.5000|75.0900|75.3250|968485|0.1900|0.1750|0.0450|BULLISH
NKE|2025-09-04 19:30|75.3290|75.7700|75.2850|75.3700|1783060|0.0410|0.4000|0.0440|BULLISH
NKE|2025-09-05 13:30|74.8000|75.4100|73.7500|74.6000|3708311|0.2000|0.6100|0.8500|BEARISH
NKE|2025-09-05 14:30|74.5950|74.6950|74.0950|74.4175|1790555|0.1775|0.1000|0.3225|BEARISH
NKE|2025-09-05 15:30|74.4300|74.5100|74.0850|74.3500|1068258|0.0800|0.0800|0.2650|BEARISH
NKE|2025-09-05 16:30|74.3600|74.3600|73.7100|73.7600|1066625|0.6000|0.0000|0.0500|BEARISH
NKE|2025-09-05 17:30|73.7600|73.9500|73.7450|73.8400|820720|0.0800|0.1100|0.0150|BULLISH
NKE|2025-09-05 18:30|73.8400|74.1750|73.6300|73.9400|1776980|0.1000|0.2350|0.2100|BULLISH
NKE|2025-09-05 19:30|73.9500|74.0300|73.7650|73.8950|2027294|0.0550|0.0800|0.1300|BEARISH
NKE|2025-09-08 13:30|74.2600|74.5800|73.7100|74.3600|1899332|0.1000|0.2200|0.5500|BULLISH
NKE|2025-09-08 14:30|74.3500|74.5800|74.2500|74.3400|1054929|0.0100|0.2300|0.0900|BEARISH
NKE|2025-09-08 15:30|74.3300|74.4750|74.1700|74.2150|752874|0.1150|0.1450|0.0450|BEARISH
NKE|2025-09-08 16:30|74.2100|74.3900|74.0820|74.1550|841489|0.0550|0.1800|0.0730|BEARISH
NKE|2025-09-08 17:30|74.1550|74.2000|73.9600|74.1200|600996|0.0350|0.0450|0.1600|BEARISH
NKE|2025-09-08 18:30|74.1300|74.2150|73.8600|73.8881|888589|0.2419|0.0850|0.0281|BEARISH
NKE|2025-09-08 19:30|73.8850|74.2250|73.8850|74.2000|1458400|0.3150|0.0250|0.0000|BULLISH
NKE|2025-09-09 13:30|74.2300|74.5500|73.3800|73.4100|1525917|0.8200|0.3200|0.0300|BEARISH
NKE|2025-09-09 14:30|73.4100|73.5800|73.0500|73.4400|967981|0.0300|0.1400|0.3600|BULLISH
NKE|2025-09-09 15:30|73.4500|73.5600|73.1600|73.3500|629522|0.1000|0.1100|0.1900|BEARISH
NKE|2025-09-09 16:30|73.3500|73.3750|73.0800|73.3200|946805|0.0300|0.0250|0.2400|BEARISH
NKE|2025-09-09 17:30|73.3450|73.7700|73.2350|73.7350|916021|0.3900|0.0350|0.1100|BULLISH
NKE|2025-09-09 18:30|73.7350|73.7800|73.3750|73.4250|1228022|0.3100|0.0450|0.0500|BEARISH
NKE|2025-09-09 19:30|73.4300|73.7172|73.3300|73.5750|1366005|0.1450|0.1422|0.1000|BULLISH
NKE|2025-09-10 13:30|75.2450|75.4600|74.0200|74.0750|3066706|1.1700|0.2150|0.0550|BEARISH
NKE|2025-09-10 14:30|74.0700|74.1000|73.3300|73.9950|1580515|0.0750|0.0300|0.6650|BEARISH
NKE|2025-09-10 15:30|73.9800|74.2400|73.5500|73.8400|1285695|0.1400|0.2600|0.2900|BEARISH
NKE|2025-09-10 16:30|73.8400|74.2500|73.7000|74.0300|920556|0.1900|0.2200|0.1400|BULLISH
NKE|2025-09-10 17:30|74.0200|74.2400|73.8300|74.2200|872470|0.2000|0.0200|0.1900|BULLISH
NKE|2025-09-10 18:30|74.2134|74.2450|73.9280|73.9500|1061708|0.2634|0.0316|0.0220|BEARISH
NKE|2025-09-10 19:30|73.9500|74.3300|73.9310|74.2600|1418288|0.3100|0.0700|0.0190|BULLISH
NKE|2025-09-11 13:30|74.4100|75.5300|74.4100|74.9800|2034424|0.5700|0.5500|0.0000|BULLISH
NKE|2025-09-11 14:30|74.9800|75.2300|74.8350|74.8800|970640|0.1000|0.2500|0.0450|BEARISH
NKE|2025-09-11 15:30|74.8900|74.9000|74.3600|74.5399|844152|0.3501|0.0100|0.1799|BEARISH
NKE|2025-09-11 16:30|74.5400|74.5800|74.1650|74.2900|926187|0.2500|0.0400|0.1250|BEARISH
NKE|2025-09-11 17:30|74.2900|74.4200|74.0100|74.2800|1075871|0.0100|0.1300|0.2700|BEARISH
NKE|2025-09-11 18:30|74.2800|74.3750|74.1200|74.2750|912558|0.0050|0.0950|0.1550|BEARISH
NKE|2025-09-11 19:30|74.2800|74.3850|74.2050|74.3200|1531591|0.0400|0.0650|0.0750|BULLISH
NKE|2025-09-12 13:30|74.2400|74.2800|72.5500|72.6500|2295653|1.5900|0.0400|0.1000|BEARISH
NKE|2025-09-12 14:30|72.6500|72.6578|72.0100|72.5000|2584531|0.1500|0.0078|0.4900|BEARISH
NKE|2025-09-12 15:30|72.5000|72.6200|71.9300|72.1407|1486981|0.3593|0.1200|0.2107|BEARISH
NKE|2025-09-12 16:30|72.1500|73.0150|72.1400|72.9500|1169946|0.8000|0.0650|0.0100|BULLISH
NKE|2025-09-12 17:30|72.9410|73.1300|72.8600|73.1000|802911|0.1590|0.0300|0.0810|BULLISH
NKE|2025-09-12 18:30|73.1010|73.1883|72.8850|73.0600|933522|0.0410|0.0873|0.1750|BEARISH
NKE|2025-09-12 19:30|73.0500|73.2000|72.9150|73.0150|1347963|0.0350|0.1500|0.1000|BEARISH
