Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NOW|2025-09-02 13:30|901.7700|905.0500|894.6360|899.5200|232894|2.2500|3.2800|4.8840|BEARISH
NOW|2025-09-02 14:30|900.2450|904.9271|899.2701|903.1800|137902|2.9350|1.7471|0.9749|BULLISH
NOW|2025-09-02 15:30|902.8000|905.0000|897.6301|902.2650|156292|0.5350|2.2000|4.6349|BEARISH
NOW|2025-09-02 16:30|902.7200|907.5450|902.2800|907.1850|82329|4.4650|0.3600|0.4399|BULLISH
NOW|2025-09-02 17:30|907.2125|908.9060|905.1700|905.1700|77151|2.0425|1.6935|0.0000|BEARISH
NOW|2025-09-02 18:30|905.3250|910.2200|904.9800|909.3000|101880|3.9750|0.9200|0.3450|BULLISH
NOW|2025-09-02 19:30|909.0300|914.2450|908.5700|911.5100|242308|2.4800|2.7350|0.4600|BULLISH
NOW|2025-09-03 13:30|908.9900|910.9350|894.5100|907.3000|180212|1.6900|1.9450|12.7900|BEARISH
NOW|2025-09-03 14:30|907.1000|913.2900|905.9500|907.0350|176948|0.0650|6.1900|1.0850|BEARISH
NOW|2025-09-03 15:30|907.1100|912.9400|905.1600|911.8000|98388|4.6900|1.1400|1.9500|BULLISH
NOW|2025-09-03 16:30|911.5500|914.8900|909.4400|913.9350|103301|2.3850|0.9550|2.1100|BULLISH
NOW|2025-09-03 17:30|914.0300|915.5300|909.0300|911.4000|105150|2.6300|1.5000|2.3700|BEARISH
NOW|2025-09-03 18:30|911.0550|917.6800|909.1900|916.9400|105370|5.8850|0.7400|1.8650|BULLISH
NOW|2025-09-03 19:30|916.4750|921.3400|916.4750|919.4100|314690|2.9350|1.9301|0.0000|BULLISH
NOW|2025-09-04 13:30|909.4800|910.2250|878.1900|886.8100|461653|22.6700|0.7450|8.6200|BEARISH
NOW|2025-09-04 14:30|886.7100|897.6800|885.6675|897.1100|199703|10.4000|0.5700|1.0425|BULLISH
NOW|2025-09-04 15:30|896.7700|901.1850|895.9201|898.3700|199567|1.6000|2.8150|0.8499|BULLISH
NOW|2025-09-04 16:30|898.8900|900.9900|895.8211|900.7650|125598|1.8750|0.2250|3.0689|BULLISH
NOW|2025-09-04 17:30|900.9000|900.9200|897.0550|900.0950|105375|0.8051|0.0200|3.0400|BEARISH
NOW|2025-09-04 18:30|900.4500|901.3300|895.7900|896.8500|158501|3.6000|0.8800|1.0600|BEARISH
NOW|2025-09-04 19:30|896.8100|899.7000|895.7601|898.2000|237551|1.3900|1.5000|1.0499|BULLISH
NOW|2025-09-05 13:30|904.1500|912.8600|901.5700|902.8100|308218|1.3400|8.7100|1.2400|BEARISH
NOW|2025-09-05 14:30|902.9300|915.4100|901.3500|914.7650|169648|11.8350|0.6450|1.5800|BULLISH
NOW|2025-09-05 15:30|914.7650|914.7650|908.5700|911.0600|136710|3.7050|0.0000|2.4900|BEARISH
NOW|2025-09-05 16:30|911.2100|914.2875|908.3900|908.3900|96193|2.8200|3.0775|0.0000|BEARISH
NOW|2025-09-05 17:30|908.3800|912.6200|906.5300|912.6200|80982|4.2400|0.0000|1.8500|BULLISH
NOW|2025-09-05 18:30|912.4700|916.2000|911.6900|915.7750|143523|3.3051|0.4250|0.7800|BULLISH
NOW|2025-09-05 19:30|915.7825|916.0850|911.7700|914.0600|195825|1.7225|0.3026|2.2900|BEARISH
NOW|2025-09-08 13:30|915.1400|928.8000|912.5550|919.0300|255512|3.8900|9.7700|2.5850|BULLISH
NOW|2025-09-08 14:30|918.7700|927.6700|917.9700|927.1950|183250|8.4250|0.4750|0.8000|BULLISH
NOW|2025-09-08 15:30|927.2100|930.5000|926.6000|926.7500|104340|0.4600|3.2900|0.1500|BEARISH
NOW|2025-09-08 16:30|926.5000|934.3100|926.1350|933.7050|95511|7.2050|0.6050|0.3650|BULLISH
NOW|2025-09-08 17:30|934.0438|938.4800|932.4300|938.4800|163063|4.4362|0.0000|1.6138|BULLISH
NOW|2025-09-08 18:30|938.2550|944.8200|938.2550|942.5300|291387|4.2750|2.2900|0.0000|BULLISH
NOW|2025-09-08 19:30|942.5800|944.4317|938.5900|940.2800|282906|2.3000|1.8517|1.6900|BEARISH
NOW|2025-09-09 13:30|944.4850|945.0000|930.2350|931.3000|194039|13.1850|0.5150|1.0650|BEARISH
NOW|2025-09-09 14:30|930.0000|934.1699|927.8000|932.6950|126998|2.6950|1.4749|2.2000|BULLISH
NOW|2025-09-09 15:30|932.7700|933.9500|929.1257|931.3400|65675|1.4300|1.1800|2.2144|BEARISH
NOW|2025-09-09 16:30|930.5100|931.8399|929.0100|931.6600|75472|1.1500|0.1799|1.5000|BULLISH
NOW|2025-09-09 17:30|931.3150|934.8045|931.1600|933.2400|93681|1.9250|1.5645|0.1550|BULLISH
NOW|2025-09-09 18:30|933.6745|935.7300|932.4900|933.5150|197312|0.1595|2.0555|1.0250|BEARISH
NOW|2025-09-09 19:30|933.5150|935.7500|930.2855|933.7900|216879|0.2750|1.9600|3.2295|BULLISH
NOW|2025-09-10 13:30|936.0000|944.9200|929.2800|930.3800|309414|5.6200|8.9200|1.1000|BEARISH
NOW|2025-09-10 14:30|930.3000|932.3950|924.6800|931.4700|201102|1.1700|0.9250|5.6200|BULLISH
NOW|2025-09-10 15:30|931.4500|936.0550|928.6000|931.7900|136454|0.3400|4.2650|2.8500|BULLISH
NOW|2025-09-10 16:30|932.7200|935.9999|930.9650|932.2950|148417|0.4250|3.2799|1.3300|BEARISH
NOW|2025-09-10 17:30|932.3050|936.1299|931.3100|934.7651|136820|2.4601|1.3648|0.9950|BULLISH
NOW|2025-09-10 18:30|934.0695|934.1698|922.0600|922.0600|182146|12.0095|0.1003|0.0000|BEARISH
NOW|2025-09-10 19:30|922.3100|925.5550|919.3300|923.5200|341588|1.2100|2.0350|2.9800|BULLISH
NOW|2025-09-11 13:30|927.7200|937.5600|923.6450|930.9500|218657|3.2300|6.6100|4.0750|BULLISH
NOW|2025-09-11 14:30|931.9900|939.0700|931.0100|936.9200|152232|4.9300|2.1500|0.9800|BULLISH
NOW|2025-09-11 15:30|937.2200|942.4950|936.5000|939.1000|66483|1.8800|3.3950|0.7200|BULLISH
NOW|2025-09-11 16:30|939.1700|941.9900|937.2607|937.5700|95886|1.6000|2.8200|0.3093|BEARISH
NOW|2025-09-11 17:30|937.6100|938.9500|934.7400|937.1800|69160|0.4300|1.3400|2.4400|BEARISH
NOW|2025-09-11 18:30|937.2700|941.7750|936.3700|941.6750|93586|4.4050|0.1000|0.9000|BULLISH
NOW|2025-09-11 19:30|941.9400|942.6700|938.2800|938.3700|208323|3.5700|0.7300|0.0900|BEARISH
NOW|2025-09-12 13:30|941.7300|941.8500|932.3000|933.4900|98503|8.2400|0.1200|1.1900|BEARISH
NOW|2025-09-12 14:30|933.2750|937.6300|930.0000|937.6300|70868|4.3550|0.0000|3.2750|BULLISH
NOW|2025-09-12 15:30|937.8100|939.5100|931.9900|932.9550|73015|4.8550|1.7000|0.9650|BEARISH
NOW|2025-09-12 16:30|932.1350|933.0000|927.4600|928.3000|54766|3.8350|0.8650|0.8400|BEARISH
NOW|2025-09-12 17:30|928.5900|930.5850|927.2200|929.5400|58049|0.9500|1.0450|1.3701|BULLISH
NOW|2025-09-12 18:30|929.5100|930.9710|926.9300|929.7350|75545|0.2250|1.2360|2.5800|BULLISH
NOW|2025-09-12 19:30|929.7300|930.4600|928.1900|929.1500|106281|0.5800|0.7300|0.9600|BEARISH
NOW|2025-09-15 13:30|930.4500|938.6696|929.7300|934.0225|241894|3.5725|4.6471|0.7200|BULLISH
NOW|2025-09-15 14:30|933.4900|947.1500|933.4900|946.8100|220776|13.3200|0.3400|0.0000|BULLISH
NOW|2025-09-15 15:30|946.8600|953.5100|946.2100|952.1650|205865|5.3050|1.3450|0.6500|BULLISH
NOW|2025-09-15 16:30|952.1500|954.9999|951.4404|951.7550|145851|0.3950|2.8499|0.3146|BEARISH
NOW|2025-09-15 17:30|952.1750|956.1700|945.1791|945.4600|148809|6.7150|3.9950|0.2809|BEARISH
NOW|2025-09-15 18:30|945.4700|949.3600|942.6300|943.4450|149600|2.0250|3.8900|0.8150|BEARISH
NOW|2025-09-15 19:30|943.6900|948.7300|941.9675|947.1100|234730|3.4200|1.6200|1.7225|BULLISH
NOW|2025-09-16 13:30|940.7100|946.4350|931.2150|936.1400|219602|4.5700|5.7250|4.9250|BEARISH
NOW|2025-09-16 14:30|935.9100|937.8450|929.0000|929.9900|136843|5.9200|1.9350|0.9900|BEARISH
NOW|2025-09-16 15:30|930.3700|936.7500|930.1800|933.8150|81641|3.4450|2.9350|0.1900|BULLISH
NOW|2025-09-16 16:30|933.5050|936.0000|931.0500|932.4300|126790|1.0750|2.4950|1.3800|BEARISH
NOW|2025-09-16 17:30|932.0400|936.1400|929.4600|929.5900|120034|2.4500|4.1000|0.1300|BEARISH
NOW|2025-09-16 18:30|929.6400|933.5300|929.5375|930.0800|142598|0.4400|3.4500|0.1025|BULLISH
NOW|2025-09-16 19:30|929.4866|933.6000|928.4700|931.8600|236918|2.3734|1.7400|1.0166|BULLISH
NOW|2025-09-17 13:30|936.7500|948.1100|935.0001|937.1500|203004|0.4000|10.9600|1.7499|BULLISH
NOW|2025-09-17 14:30|937.0050|939.1500|933.2500|936.4500|161559|0.5550|2.1450|3.2000|BEARISH
NOW|2025-09-17 15:30|936.4550|941.1550|936.1200|940.0950|82809|3.6400|1.0601|0.3350|BULLISH
NOW|2025-09-17 16:30|940.0950|944.8500|937.5700|944.8500|104143|4.7550|0.0000|2.5250|BULLISH
NOW|2025-09-17 17:30|945.0000|953.7650|939.9500|948.7900|159084|3.7900|4.9750|5.0500|BULLISH
NOW|2025-09-17 18:30|947.5300|951.7199|937.6650|951.3600|160199|3.8300|0.3599|9.8651|BULLISH
NOW|2025-09-17 19:30|951.4700|953.6200|947.3400|950.1900|187170|1.2800|2.1500|2.8500|BEARISH
NOW|2025-09-18 13:30|956.5500|962.0350|950.2600|954.2250|282308|2.3250|5.4850|3.9650|BEARISH
NOW|2025-09-18 14:30|955.1000|956.2600|948.7550|951.1793|158551|3.9207|1.1600|2.4243|BEARISH
NOW|2025-09-18 15:30|951.0400|951.2050|940.5100|944.1850|139691|6.8550|0.1650|3.6750|BEARISH
NOW|2025-09-18 16:30|944.1850|948.0700|944.1850|946.5900|86284|2.4050|1.4800|0.0000|BULLISH
NOW|2025-09-18 17:30|946.2900|947.1600|942.8700|945.8850|98130|0.4050|0.8700|3.0150|BEARISH
NOW|2025-09-18 18:30|946.2000|948.5500|943.6650|946.4500|128194|0.2500|2.1000|2.5350|BULLISH
NOW|2025-09-18 19:30|946.4050|948.3600|944.0500|947.8800|236446|1.4750|0.4800|2.3550|BULLISH
NOW|2025-09-19 13:30|951.8500|962.0450|950.0000|957.0600|415427|5.2100|4.9850|1.8500|BULLISH
NOW|2025-09-19 14:30|956.9100|959.0150|955.0000|956.1750|104508|0.7350|2.1050|1.1750|BEARISH
NOW|2025-09-19 15:30|956.4000|962.6850|954.9900|962.6850|185916|6.2850|0.0000|1.4100|BULLISH
NOW|2025-09-19 16:30|962.8800|964.7400|960.2698|961.1000|94445|1.7800|1.8600|0.8302|BEARISH
NOW|2025-09-19 17:30|961.4700|961.7600|958.2700|960.6100|84676|0.8600|0.2900|2.3400|BEARISH
NOW|2025-09-19 18:30|960.1900|965.7400|960.1750|965.2000|169512|5.0100|0.5400|0.0150|BULLISH
NOW|2025-09-19 19:30|964.9000|965.4700|960.3200|961.2200|481438|3.6801|0.5699|0.9000|BEARISH
NOW|2025-09-22 13:30|953.8900|956.7500|930.9100|939.7101|266355|14.1799|2.8600|8.8001|BEARISH
NOW|2025-09-22 14:30|941.2100|945.0000|937.3850|943.7800|103715|2.5700|1.2200|3.8250|BULLISH
NOW|2025-09-22 15:30|944.1800|947.6050|942.9500|945.3900|118559|1.2100|2.2150|1.2300|BULLISH
NOW|2025-09-22 16:30|944.5000|947.0000|943.0209|944.9200|81969|0.4200|2.0800|1.4791|BULLISH
NOW|2025-09-22 17:30|944.7300|946.7800|943.9700|946.3700|74981|1.6400|0.4100|0.7600|BULLISH
