Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NVDA|2025-09-02 13:30|169.0000|172.3790|168.6500|170.6336|67328024|1.6336|1.7454|0.3500|BULLISH
NVDA|2025-09-02 14:30|170.6300|170.6400|168.5300|169.0600|33206180|1.5700|0.0100|0.5300|BEARISH
NVDA|2025-09-02 15:30|169.0500|169.0973|167.2201|167.9350|35717985|1.1150|0.0473|0.7149|BEARISH
NVDA|2025-09-02 16:30|167.9400|169.3500|167.8500|169.2350|22695385|1.2950|0.1150|0.0900|BULLISH
NVDA|2025-09-02 17:30|169.2300|169.6200|168.9800|169.1982|15114674|0.0318|0.3900|0.2182|BEARISH
NVDA|2025-09-02 18:30|169.2000|170.4400|169.0350|170.2950|21361055|1.0950|0.1450|0.1650|BULLISH
NVDA|2025-09-02 19:30|170.2900|171.1200|170.2800|170.7500|18149057|0.4600|0.3700|0.0100|BULLISH
NVDA|2025-09-03 13:30|170.9660|171.8200|169.5200|171.3500|43886562|0.3840|0.4700|1.4460|BULLISH
NVDA|2025-09-03 14:30|171.3500|172.4100|170.5800|170.7059|22048727|0.6441|1.0600|0.1259|BEARISH
NVDA|2025-09-03 15:30|170.7058|171.7800|170.3400|171.5250|16505755|0.8192|0.2550|0.3658|BULLISH
NVDA|2025-09-03 16:30|171.5300|171.5450|170.5701|170.7835|11770942|0.7465|0.0150|0.2134|BEARISH
NVDA|2025-09-03 17:30|170.7800|170.9500|169.2200|169.3600|16683384|1.4200|0.1700|0.1400|BEARISH
NVDA|2025-09-03 18:30|169.3650|169.6654|168.8750|169.3650|15625408|0.0000|0.3004|0.4900|BULLISH
NVDA|2025-09-03 19:30|169.3600|170.6350|169.3600|170.6300|15586633|1.2700|0.0050|0.0000|BULLISH
NVDA|2025-09-04 13:30|170.5500|171.8600|169.4100|170.8615|41325410|0.3115|0.9985|1.1400|BULLISH
NVDA|2025-09-04 14:30|170.8600|171.3083|170.0800|170.8000|18117759|0.0600|0.4483|0.7200|BEARISH
NVDA|2025-09-04 15:30|170.8084|170.9400|170.2100|170.4642|12428337|0.3442|0.1316|0.2542|BEARISH
NVDA|2025-09-04 16:30|170.4650|171.1800|170.3935|170.4500|10774928|0.0150|0.7150|0.0565|BEARISH
NVDA|2025-09-04 17:30|170.4550|170.8600|170.3500|170.4122|11356223|0.0428|0.4050|0.0622|BEARISH
NVDA|2025-09-04 18:30|170.4150|171.1300|170.4000|170.9050|10743103|0.4900|0.2250|0.0150|BULLISH
NVDA|2025-09-04 19:30|170.8900|171.7376|170.8300|171.6500|14491186|0.7600|0.0876|0.0600|BULLISH
NVDA|2025-09-05 13:30|166.8725|169.0300|164.2248|165.1373|84959254|1.7352|2.1575|0.9125|BEARISH
NVDA|2025-09-05 14:30|165.1300|166.1400|164.0700|166.0900|38285700|0.9600|0.0500|1.0600|BULLISH
NVDA|2025-09-05 15:30|166.0868|166.9900|165.8600|166.3655|22932097|0.2787|0.6245|0.2268|BULLISH
NVDA|2025-09-05 16:30|166.3700|167.1400|166.2600|166.5850|14017812|0.2150|0.5550|0.1100|BULLISH
NVDA|2025-09-05 17:30|166.5850|166.8900|165.8800|166.7601|15004758|0.1751|0.1299|0.7050|BULLISH
NVDA|2025-09-05 18:30|166.7600|167.1500|166.0300|167.0950|16232638|0.3350|0.0550|0.7300|BULLISH
NVDA|2025-09-05 19:30|167.0900|167.1950|166.5100|167.0400|15720578|0.0500|0.1050|0.5300|BEARISH
NVDA|2025-09-08 13:30|167.5600|170.9600|167.4500|170.2600|53173407|2.7000|0.7000|0.1100|BULLISH
NVDA|2025-09-08 14:30|170.2500|170.4550|169.5400|169.9699|18395592|0.2801|0.2050|0.4299|BEARISH
NVDA|2025-09-08 15:30|169.9600|170.2500|169.2500|170.1650|15482659|0.2050|0.0850|0.7100|BULLISH
NVDA|2025-09-08 16:30|170.1600|170.1951|169.5000|169.8650|10722063|0.2950|0.0351|0.3650|BEARISH
