Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ORCL|2025-09-02 13:30|222.0000|224.8499|218.7900|224.7650|3029034|2.7650|0.0849|3.2100|BULLISH
ORCL|2025-09-02 14:30|224.7750|225.4500|223.2001|225.0300|1290593|0.2550|0.4200|1.5749|BULLISH
ORCL|2025-09-02 15:30|224.9800|224.9800|222.9800|223.5800|1083114|1.4000|0.0000|0.6000|BEARISH
ORCL|2025-09-02 16:30|223.6000|224.0850|222.7700|224.0500|877295|0.4500|0.0350|0.8300|BULLISH
ORCL|2025-09-02 17:30|224.0450|224.8709|223.3800|223.5100|832338|0.5350|0.8259|0.1300|BEARISH
ORCL|2025-09-02 18:30|223.5200|224.6199|223.2900|223.8900|827269|0.3700|0.7299|0.2300|BULLISH
ORCL|2025-09-02 19:30|223.9000|225.3500|223.8700|225.3000|1421022|1.4000|0.0500|0.0300|BULLISH
ORCL|2025-09-03 13:30|225.9000|225.9000|223.1001|224.2301|1364032|1.6699|0.0000|1.1300|BEARISH
ORCL|2025-09-03 14:30|224.3344|224.9800|223.4850|223.5350|670905|0.7994|0.6456|0.0500|BEARISH
ORCL|2025-09-03 15:30|223.5400|225.0927|223.4400|224.2900|634172|0.7500|0.8027|0.1000|BULLISH
ORCL|2025-09-03 16:30|224.2700|224.2700|222.9300|223.1200|593286|1.1500|0.0000|0.1900|BEARISH
ORCL|2025-09-03 17:30|223.1000|223.3214|221.8300|222.0650|853817|1.0350|0.2214|0.2350|BEARISH
ORCL|2025-09-03 18:30|222.0650|222.7200|221.7500|222.1200|1100776|0.0550|0.6000|0.3150|BULLISH
ORCL|2025-09-03 19:30|222.1700|223.5900|221.9200|223.4600|1844972|1.2900|0.1300|0.2500|BULLISH
ORCL|2025-09-04 13:30|222.0000|222.6500|219.5601|221.4050|2358596|0.5950|0.6500|1.8449|BEARISH
ORCL|2025-09-04 14:30|221.3700|222.6600|220.9900|222.3906|1281931|1.0206|0.2694|0.3800|BULLISH
ORCL|2025-09-04 15:30|222.3500|222.3700|221.5400|221.8350|728881|0.5150|0.0200|0.2950|BEARISH
ORCL|2025-09-04 16:30|221.7900|222.7471|221.7600|222.1400|705099|0.3500|0.6071|0.0300|BULLISH
ORCL|2025-09-04 17:30|222.1900|223.5700|222.1400|222.4600|839235|0.2700|1.1100|0.0500|BULLISH
ORCL|2025-09-04 18:30|222.4600|223.1200|222.0450|222.6100|1143774|0.1500|0.5100|0.4150|BULLISH
ORCL|2025-09-04 19:30|222.6000|223.1600|221.9400|222.9700|1761092|0.3700|0.1900|0.6600|BULLISH
ORCL|2025-09-05 13:30|232.5500|232.7712|225.8850|226.8018|3875968|5.7482|0.2212|0.9168|BEARISH
ORCL|2025-09-05 14:30|226.8100|228.8000|226.0600|228.0675|1621992|1.2575|0.7325|0.7500|BULLISH
ORCL|2025-09-05 15:30|228.0400|230.0000|227.5400|229.4800|1196173|1.4400|0.5200|0.5000|BULLISH
ORCL|2025-09-05 16:30|229.4900|231.1500|228.7800|230.8700|1113794|1.3800|0.2800|0.7100|BULLISH
ORCL|2025-09-05 17:30|230.8700|231.3800|230.2600|231.2984|1177769|0.4284|0.0816|0.6100|BULLISH
ORCL|2025-09-05 18:30|231.2121|234.6200|231.2121|234.5500|2228281|3.3379|0.0700|0.0000|BULLISH
ORCL|2025-09-05 19:30|234.5500|234.6150|232.7100|232.8500|2243340|1.7000|0.0650|0.1400|BEARISH
ORCL|2025-09-08 13:30|239.8900|242.4200|235.3100|239.7400|5884403|0.1500|2.5300|4.4300|BEARISH
ORCL|2025-09-08 14:30|239.7350|241.2600|238.3700|241.2600|2661612|1.5250|0.0000|1.3650|BULLISH
ORCL|2025-09-08 15:30|241.2800|241.7400|240.5200|240.6600|1830753|0.6200|0.4600|0.1400|BEARISH
ORCL|2025-09-08 16:30|240.5600|240.8000|238.8850|239.5100|1225289|1.0500|0.2400|0.6250|BEARISH
ORCL|2025-09-08 17:30|239.5050|239.6400|238.1300|239.3400|1245493|0.1650|0.1350|1.2100|BEARISH
ORCL|2025-09-08 18:30|239.3700|240.0100|238.7001|238.8100|1498917|0.5600|0.6400|0.1099|BEARISH
ORCL|2025-09-08 19:30|238.8050|239.5400|238.4800|238.5200|2242428|0.2850|0.7350|0.0400|BEARISH
ORCL|2025-09-09 13:30|238.6800|239.8346|234.5600|235.7652|6056834|2.9148|1.1546|1.2052|BEARISH
ORCL|2025-09-09 14:30|235.6300|237.5540|234.9468|237.2900|2240159|1.6600|0.2640|0.6832|BULLISH
ORCL|2025-09-09 15:30|237.3400|238.2500|236.9700|237.8800|1776216|0.5400|0.3700|0.3700|BULLISH
ORCL|2025-09-09 16:30|237.9099|239.0100|237.5500|238.7600|1694464|0.8501|0.2500|0.3599|BULLISH
ORCL|2025-09-09 17:30|238.7500|240.0200|238.5500|239.9600|2018889|1.2100|0.0600|0.2000|BULLISH
ORCL|2025-09-09 18:30|239.9600|241.9600|239.9300|241.5400|3913932|1.5800|0.4200|0.0300|BULLISH
ORCL|2025-09-09 19:30|241.5300|243.4900|241.0000|241.6200|5136443|0.0900|1.8700|0.5300|BULLISH
ORCL|2025-09-10 13:30|319.1900|341.2300|312.0900|335.1600|51844218|15.9700|6.0700|7.1000|BULLISH
ORCL|2025-09-10 14:30|335.1900|345.7200|334.4200|343.4840|16300229|8.2940|2.2360|0.7700|BULLISH
ORCL|2025-09-10 15:30|343.2800|343.5150|337.7700|338.6700|11469223|4.6100|0.2350|0.9000|BEARISH
ORCL|2025-09-10 16:30|338.7230|340.2600|334.0000|335.3850|9381020|3.3380|1.5370|1.3850|BEARISH
ORCL|2025-09-10 17:30|335.3401|335.9000|322.6501|325.7453|15640967|9.5948|0.5599|3.0952|BEARISH
ORCL|2025-09-10 18:30|325.6400|329.5600|321.5000|328.9900|14516299|3.3500|0.5700|4.1400|BULLISH
