Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PEP|2025-09-02 13:30|156.0000|157.7000|151.8100|151.8850|7937909|4.1150|1.7000|0.0750|BEARISH
PEP|2025-09-02 14:30|151.8300|153.0500|151.2700|151.6600|2027468|0.1700|1.2200|0.3900|BEARISH
PEP|2025-09-02 15:30|151.6650|152.6900|151.4800|151.8800|1216761|0.2150|0.8100|0.1850|BULLISH
PEP|2025-09-02 16:30|151.8600|152.1100|151.4000|151.4600|691247|0.4000|0.2500|0.0600|BEARISH
PEP|2025-09-02 17:30|151.4500|151.6925|150.9270|151.0391|786463|0.4109|0.2425|0.1121|BEARISH
PEP|2025-09-02 18:30|151.0200|151.2100|150.5407|150.6800|1255165|0.3400|0.1900|0.1393|BEARISH
PEP|2025-09-02 19:30|150.6900|150.8600|150.2200|150.2800|1564326|0.4100|0.1700|0.0600|BEARISH
PEP|2025-09-03 13:30|149.8000|150.4600|147.6700|147.8600|2169668|1.9400|0.6600|0.1900|BEARISH
PEP|2025-09-03 14:30|147.8700|148.4000|147.8400|148.3900|1317158|0.5200|0.0100|0.0300|BULLISH
PEP|2025-09-03 15:30|148.3850|148.4500|147.1100|147.6782|1055435|0.7068|0.0650|0.5682|BEARISH
PEP|2025-09-03 16:30|147.6750|148.0400|147.2950|147.7200|760130|0.0450|0.3200|0.3800|BULLISH
PEP|2025-09-03 17:30|147.7200|148.3200|147.4000|148.2300|869373|0.5100|0.0900|0.3200|BULLISH
PEP|2025-09-03 18:30|148.2100|148.6750|147.8600|147.9900|929504|0.2200|0.4650|0.1300|BEARISH
PEP|2025-09-03 19:30|147.9890|148.7000|147.8255|148.6790|2317512|0.6900|0.0210|0.1635|BULLISH
PEP|2025-09-04 13:30|149.0200|149.4700|147.2400|147.2900|1196528|1.7300|0.4500|0.0500|BEARISH
PEP|2025-09-04 14:30|147.3000|147.4300|146.4500|146.8150|916527|0.4850|0.1300|0.3650|BEARISH
