Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PFE|2025-09-02 13:30|24.7300|25.0650|24.7300|24.8250|10420747|0.0950|0.2400|0.0000|BULLISH
PFE|2025-09-02 14:30|24.8200|24.8800|24.8000|24.8450|7448220|0.0250|0.0350|0.0200|BULLISH
PFE|2025-09-02 15:30|24.8483|24.8900|24.7200|24.7250|4948579|0.1233|0.0417|0.0050|BEARISH
PFE|2025-09-02 16:30|24.7300|24.7900|24.7100|24.7450|2824362|0.0150|0.0450|0.0200|BULLISH
PFE|2025-09-02 17:30|24.7423|24.8400|24.7400|24.7800|2473316|0.0377|0.0600|0.0023|BULLISH
PFE|2025-09-02 18:30|24.7800|24.8250|24.7200|24.8200|2792215|0.0400|0.0050|0.0600|BULLISH
PFE|2025-09-02 19:30|24.8200|24.9800|24.8000|24.9800|5991604|0.1600|0.0000|0.0200|BULLISH
PFE|2025-09-03 13:30|24.8800|25.1200|24.8200|24.8900|5892346|0.0100|0.2300|0.0600|BULLISH
PFE|2025-09-03 14:30|24.8900|24.9395|24.7700|24.7950|4960091|0.0950|0.0495|0.0250|BEARISH
PFE|2025-09-03 15:30|24.8000|24.8200|24.7500|24.7650|3346310|0.0350|0.0200|0.0150|BEARISH
PFE|2025-09-03 16:30|24.7650|24.8300|24.7500|24.7750|2973230|0.0100|0.0550|0.0150|BULLISH
PFE|2025-09-03 17:30|24.7798|24.8400|24.7500|24.8050|3462711|0.0252|0.0350|0.0298|BULLISH
PFE|2025-09-03 18:30|24.8099|24.8400|24.7200|24.7500|3004875|0.0599|0.0301|0.0300|BEARISH
PFE|2025-09-03 19:30|24.7500|24.8200|24.7400|24.7800|3475278|0.0300|0.0400|0.0100|BULLISH
PFE|2025-09-04 13:30|24.7800|24.7800|24.5100|24.5350|8120512|0.2450|0.0000|0.0250|BEARISH
PFE|2025-09-04 14:30|24.5350|24.6050|24.4600|24.5550|6519140|0.0200|0.0500|0.0750|BULLISH
PFE|2025-09-04 15:30|24.5550|24.6050|24.4100|24.4150|4944853|0.1400|0.0500|0.0050|BEARISH
PFE|2025-09-04 16:30|24.4150|24.5200|24.3500|24.5163|5539515|0.1013|0.0037|0.0650|BULLISH
PFE|2025-09-04 17:30|24.5150|24.5500|24.4800|24.5150|3740897|0.0000|0.0350|0.0350|BULLISH
PFE|2025-09-04 18:30|24.5150|24.5800|24.4850|24.5161|4506126|0.0011|0.0639|0.0300|BULLISH
PFE|2025-09-04 19:30|24.5200|24.5600|24.4900|24.5200|5052276|0.0000|0.0400|0.0300|BULLISH
PFE|2025-09-05 13:30|24.5700|24.8400|24.5050|24.6150|8114702|0.0450|0.2250|0.0650|BULLISH
PFE|2025-09-05 14:30|24.6150|24.6900|24.5400|24.6700|3877007|0.0550|0.0200|0.0750|BULLISH
PFE|2025-09-05 15:30|24.6631|24.7300|24.6500|24.7050|3532103|0.0419|0.0250|0.0131|BULLISH
PFE|2025-09-05 16:30|24.7100|24.7200|24.6300|24.6501|2165909|0.0599|0.0100|0.0201|BEARISH
PFE|2025-09-05 17:30|24.6550|24.7900|24.6250|24.7400|4895595|0.0850|0.0500|0.0300|BULLISH
PFE|2025-09-05 18:30|24.7350|24.8100|24.7300|24.7801|3580605|0.0451|0.0299|0.0050|BULLISH
PFE|2025-09-05 19:30|24.7850|24.8900|24.7500|24.8900|4733544|0.1050|0.0000|0.0350|BULLISH
PFE|2025-09-08 13:30|24.9000|24.9650|24.4200|24.5900|9600090|0.3100|0.0650|0.1700|BEARISH
PFE|2025-09-08 14:30|24.5900|24.7800|24.5700|24.7350|5294772|0.1450|0.0450|0.0200|BULLISH
PFE|2025-09-08 15:30|24.7350|24.7400|24.5100|24.5650|4521708|0.1700|0.0050|0.0550|BEARISH
PFE|2025-09-08 16:30|24.5650|24.6050|24.5200|24.5300|3433757|0.0350|0.0400|0.0100|BEARISH
PFE|2025-09-08 17:30|24.5350|24.5400|24.3100|24.4342|10652925|0.1008|0.0050|0.1242|BEARISH
PFE|2025-09-08 18:30|24.4400|24.5100|24.4031|24.4650|6012461|0.0250|0.0450|0.0369|BULLISH
PFE|2025-09-08 19:30|24.4650|24.5700|24.4500|24.5700|5341860|0.1050|0.0000|0.0150|BULLISH
