Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PM|2025-09-02 13:30|166.5700|167.0000|163.3800|164.5500|1042022|2.0200|0.4300|1.1700|BEARISH
PM|2025-09-02 14:30|164.5800|166.7700|164.5800|166.4000|399665|1.8200|0.3700|0.0000|BULLISH
PM|2025-09-02 15:30|166.3900|167.2500|166.3450|167.2300|401156|0.8400|0.0200|0.0450|BULLISH
PM|2025-09-02 16:30|167.2350|167.8900|167.1500|167.3600|419412|0.1250|0.5300|0.0850|BULLISH
PM|2025-09-02 17:30|167.3300|168.0400|167.2600|167.8450|331210|0.5150|0.1950|0.0700|BULLISH
PM|2025-09-02 18:30|167.8446|167.9400|167.1550|167.7100|502268|0.1346|0.0954|0.5550|BEARISH
PM|2025-09-02 19:30|167.7100|167.8950|167.2600|167.4100|927490|0.3000|0.1850|0.1500|BEARISH
PM|2025-09-03 13:30|165.7000|166.9000|164.0800|165.2300|699832|0.4700|1.2000|1.1500|BEARISH
PM|2025-09-03 14:30|165.2100|165.5250|164.4900|164.7750|452948|0.4350|0.3150|0.2850|BEARISH
PM|2025-09-03 15:30|164.7900|164.8200|163.9200|163.9500|527207|0.8400|0.0300|0.0300|BEARISH
PM|2025-09-03 16:30|163.9500|163.9550|161.1560|161.7200|949063|2.2300|0.0050|0.5640|BEARISH
PM|2025-09-03 17:30|161.7300|162.5900|161.1800|161.9400|723859|0.2100|0.6500|0.5500|BULLISH
PM|2025-09-03 18:30|161.9200|163.0350|161.4300|162.7462|1184273|0.8262|0.2888|0.4900|BULLISH
PM|2025-09-03 19:30|162.7100|163.5800|162.3604|163.2200|1052495|0.5100|0.3600|0.3496|BULLISH
PM|2025-09-04 13:30|162.1600|164.5000|161.7600|163.1893|1375695|1.0293|1.3107|0.4000|BULLISH
PM|2025-09-04 14:30|163.2200|163.8600|160.5600|160.6100|1158359|2.6100|0.6400|0.0500|BEARISH
PM|2025-09-04 15:30|160.6400|161.0950|160.2500|160.6400|589102|0.0000|0.4550|0.3900|BULLISH
PM|2025-09-04 16:30|160.6900|160.8100|160.1300|160.5485|655631|0.1415|0.1200|0.4185|BEARISH
PM|2025-09-04 17:30|160.5000|160.6400|159.7873|159.8900|637502|0.6100|0.1400|0.1027|BEARISH
PM|2025-09-04 18:30|159.9200|160.6600|159.7900|160.5800|1176764|0.6600|0.0800|0.1300|BULLISH
PM|2025-09-04 19:30|160.6000|161.6050|160.5000|161.1600|1291329|0.5600|0.4450|0.1000|BULLISH
PM|2025-09-05 13:30|161.4700|162.0600|160.0700|161.6700|968464|0.2000|0.3900|1.4000|BULLISH
PM|2025-09-05 14:30|161.7100|161.8000|160.9102|161.5250|431085|0.1850|0.0900|0.6148|BEARISH
PM|2025-09-05 15:30|161.5250|161.6800|161.1001|161.2750|321464|0.2500|0.1550|0.1749|BEARISH
PM|2025-09-05 16:30|161.1900|161.5800|161.1250|161.4700|153351|0.2800|0.1100|0.0650|BULLISH
PM|2025-09-05 17:30|161.4700|161.5000|160.7800|161.0000|305481|0.4700|0.0300|0.2200|BEARISH
PM|2025-09-05 18:30|161.0700|161.8200|161.0600|161.6517|361013|0.5817|0.1683|0.0100|BULLISH
PM|2025-09-05 19:30|161.6650|162.0600|161.4600|161.6000|775050|0.0650|0.3950|0.1400|BEARISH
PM|2025-09-08 13:30|161.6600|162.1900|159.7200|161.5650|763746|0.0950|0.5300|1.8450|BEARISH
PM|2025-09-08 14:30|161.5600|161.6700|160.0400|160.3801|502496|1.1799|0.1100|0.3401|BEARISH
PM|2025-09-08 15:30|160.3800|160.7800|159.5700|160.7350|563288|0.3550|0.0450|0.8100|BULLISH
PM|2025-09-08 16:30|160.7100|161.1000|160.5700|160.9750|347643|0.2650|0.1250|0.1400|BULLISH
PM|2025-09-08 17:30|160.9750|161.5000|160.8534|161.3100|469415|0.3350|0.1900|0.1216|BULLISH
PM|2025-09-08 18:30|161.3100|161.7500|161.2100|161.5700|387661|0.2600|0.1800|0.1000|BULLISH
PM|2025-09-08 19:30|161.5700|162.7900|161.5700|162.7400|1060145|1.1700|0.0500|0.0000|BULLISH
PM|2025-09-09 13:30|162.0000|162.9600|161.1000|162.7000|471380|0.7000|0.2600|0.9000|BULLISH
PM|2025-09-09 14:30|162.7350|162.8800|162.2450|162.5000|264610|0.2350|0.1450|0.2550|BEARISH
PM|2025-09-09 15:30|162.4250|163.2700|162.2700|163.1700|327880|0.7450|0.1000|0.1550|BULLISH
PM|2025-09-09 16:30|163.1600|163.6100|163.1100|163.3400|281428|0.1800|0.2700|0.0500|BULLISH
PM|2025-09-09 17:30|163.4000|164.1899|163.3900|163.8500|282762|0.4500|0.3399|0.0100|BULLISH
PM|2025-09-09 18:30|163.8100|164.6498|163.8000|164.5600|459103|0.7500|0.0898|0.0100|BULLISH
PM|2025-09-09 19:30|164.5500|165.0400|164.4900|164.7400|822938|0.1900|0.3000|0.0600|BULLISH
PM|2025-09-10 13:30|164.7800|165.8300|164.1150|165.3850|504228|0.6050|0.4450|0.6650|BULLISH
PM|2025-09-10 14:30|165.3400|165.3800|164.0500|164.2400|285152|1.1000|0.0400|0.1900|BEARISH
PM|2025-09-10 15:30|164.2450|165.1550|164.0200|165.0050|446407|0.7600|0.1500|0.2250|BULLISH
PM|2025-09-10 16:30|164.9969|165.5300|164.9500|165.2400|275481|0.2431|0.2900|0.0469|BULLISH
PM|2025-09-10 17:30|165.2500|165.4473|164.6300|164.7600|254212|0.4900|0.1973|0.1300|BEARISH
