Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PYPL|2025-09-02 13:30|68.9400|69.3743|68.1503|69.2200|2502481|0.2800|0.1543|0.7897|BULLISH
PYPL|2025-09-02 14:30|69.2100|69.2500|68.5701|68.6050|1042942|0.6050|0.0400|0.0349|BEARISH
PYPL|2025-09-02 15:30|68.5950|68.6800|68.4000|68.4400|852270|0.1550|0.0850|0.0400|BEARISH
PYPL|2025-09-02 16:30|68.4350|69.0200|68.4335|68.9825|512404|0.5475|0.0375|0.0015|BULLISH
PYPL|2025-09-02 17:30|68.9900|69.3432|68.9100|68.9350|633776|0.0550|0.3532|0.0250|BEARISH
PYPL|2025-09-02 18:30|68.9400|69.0720|68.8070|69.0500|601981|0.1100|0.0220|0.1330|BULLISH
PYPL|2025-09-02 19:30|69.0600|69.3300|69.0350|69.2500|1092092|0.1900|0.0800|0.0250|BULLISH
PYPL|2025-09-03 13:30|68.9100|69.8900|68.8000|69.1500|2795860|0.2400|0.7400|0.1100|BULLISH
PYPL|2025-09-03 14:30|69.1400|69.5400|69.0654|69.0800|772843|0.0600|0.4000|0.0146|BEARISH
PYPL|2025-09-03 15:30|69.0800|69.3200|68.9500|69.2300|726920|0.1500|0.0900|0.1300|BULLISH
PYPL|2025-09-03 16:30|69.2250|69.5141|69.2200|69.4643|396153|0.2393|0.0498|0.0050|BULLISH
PYPL|2025-09-03 17:30|69.4500|69.6000|69.1400|69.4150|673242|0.0350|0.1500|0.2750|BEARISH
PYPL|2025-09-03 18:30|69.4100|69.5100|69.3550|69.4001|454352|0.0099|0.1000|0.0451|BEARISH
PYPL|2025-09-03 19:30|69.4050|69.8250|69.4020|69.6300|1092182|0.2250|0.1950|0.0030|BULLISH
PYPL|2025-09-04 13:30|69.7100|69.9000|66.2300|66.9616|5484876|2.7484|0.1900|0.7316|BEARISH
PYPL|2025-09-04 14:30|66.9600|67.8900|66.8200|67.8800|2774302|0.9200|0.0100|0.1400|BULLISH
PYPL|2025-09-04 15:30|67.8800|68.1267|67.6600|68.0500|799515|0.1700|0.0767|0.2200|BULLISH
PYPL|2025-09-04 16:30|68.0500|68.3000|67.9800|68.3000|692294|0.2500|0.0000|0.0700|BULLISH
PYPL|2025-09-04 17:30|68.3000|68.3800|68.1700|68.2800|603275|0.0200|0.0800|0.1100|BEARISH
PYPL|2025-09-04 18:30|68.2900|68.5800|68.2300|68.2900|880449|0.0000|0.2900|0.0600|BULLISH
PYPL|2025-09-04 19:30|68.2950|68.6300|68.2850|68.4500|1146977|0.1550|0.1800|0.0100|BULLISH
PYPL|2025-09-05 13:30|68.8660|69.9400|68.6800|68.9450|2341034|0.0790|0.9950|0.1860|BULLISH
PYPL|2025-09-05 14:30|68.9600|68.9600|68.3850|68.6700|1051581|0.2900|0.0000|0.2850|BEARISH
PYPL|2025-09-05 15:30|68.6750|68.7350|68.3750|68.4950|671865|0.1800|0.0600|0.1200|BEARISH
PYPL|2025-09-05 16:30|68.4950|68.5600|68.2700|68.2875|458823|0.2075|0.0650|0.0175|BEARISH
PYPL|2025-09-05 17:30|68.2800|68.4300|68.1700|68.3550|515812|0.0750|0.0750|0.1100|BULLISH
