Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
QCOM|2025-09-02 13:30|158.2747|158.7000|154.6000|157.2000|2064289|1.0747|0.4253|2.6000|BEARISH
QCOM|2025-09-02 14:30|157.2000|157.2900|155.2000|155.7317|815693|1.4683|0.0900|0.5317|BEARISH
QCOM|2025-09-02 15:30|155.7350|156.1200|155.4900|155.8100|831536|0.0750|0.3100|0.2450|BULLISH
QCOM|2025-09-02 16:30|155.7900|156.5882|155.6450|156.4600|437470|0.6700|0.1282|0.1450|BULLISH
QCOM|2025-09-02 17:30|156.4850|157.1800|156.4750|156.9800|509043|0.4950|0.2000|0.0100|BULLISH
QCOM|2025-09-02 18:30|156.9900|158.0600|156.9700|158.0200|628243|1.0300|0.0400|0.0200|BULLISH
QCOM|2025-09-02 19:30|158.0100|158.9400|157.9900|158.7900|1074130|0.7800|0.1500|0.0200|BULLISH
QCOM|2025-09-03 13:30|159.5000|159.5700|157.2100|157.3830|962047|2.1170|0.0700|0.1730|BEARISH
QCOM|2025-09-03 14:30|157.4100|158.3900|156.2900|156.4800|617570|0.9300|0.9800|0.1900|BEARISH
QCOM|2025-09-03 15:30|156.4400|156.9500|156.2200|156.5600|406976|0.1200|0.3900|0.2200|BULLISH
QCOM|2025-09-03 16:30|156.6100|157.1000|156.5000|156.7500|400058|0.1400|0.3500|0.1100|BULLISH
QCOM|2025-09-03 17:30|156.7550|156.9300|156.0600|156.3136|307614|0.4414|0.1750|0.2536|BEARISH
QCOM|2025-09-03 18:30|156.3100|156.5900|156.1850|156.3700|580812|0.0600|0.2200|0.1250|BULLISH
QCOM|2025-09-03 19:30|156.4000|157.3600|156.4000|157.2600|1040428|0.8600|0.1000|0.0000|BULLISH
QCOM|2025-09-04 13:30|155.9750|156.9200|154.4700|156.9200|876037|0.9450|0.0000|1.5050|BULLISH
QCOM|2025-09-04 14:30|156.9200|157.5000|156.3700|157.2600|705889|0.3400|0.2400|0.5500|BULLISH
QCOM|2025-09-04 15:30|157.2700|158.1369|157.0800|158.0902|662134|0.8202|0.0467|0.1900|BULLISH
QCOM|2025-09-04 16:30|158.0900|159.0200|158.0800|158.6850|597841|0.5950|0.3350|0.0100|BULLISH
QCOM|2025-09-04 17:30|158.6900|159.6900|158.3650|159.2516|572850|0.5616|0.4384|0.3250|BULLISH
QCOM|2025-09-04 18:30|159.2500|159.8500|159.2500|159.8000|525146|0.5500|0.0500|0.0000|BULLISH
QCOM|2025-09-04 19:30|159.7900|159.8400|159.1800|159.7200|1158419|0.0700|0.0500|0.5400|BEARISH
QCOM|2025-09-05 13:30|160.0800|163.4900|159.8600|160.8500|1445366|0.7700|2.6400|0.2200|BULLISH
QCOM|2025-09-05 14:30|160.8300|160.9100|159.3900|160.1000|787741|0.7300|0.0800|0.7100|BEARISH
QCOM|2025-09-05 15:30|160.0944|160.6800|159.5451|159.6100|790832|0.4844|0.5856|0.0649|BEARISH
QCOM|2025-09-05 16:30|159.6600|159.8000|159.1500|159.3100|384916|0.3500|0.1400|0.1600|BEARISH
QCOM|2025-09-05 17:30|159.3100|160.1000|159.2100|159.9800|410351|0.6700|0.1200|0.1000|BULLISH
QCOM|2025-09-05 18:30|160.0000|160.4250|159.7050|159.7350|690778|0.2650|0.4250|0.0300|BEARISH
QCOM|2025-09-05 19:30|159.7100|160.0400|159.5175|159.8300|1322471|0.1200|0.2100|0.1925|BULLISH
QCOM|2025-09-08 13:30|160.2100|160.2200|158.0100|158.8500|1165726|1.3600|0.0100|0.8400|BEARISH
QCOM|2025-09-08 14:30|158.8400|160.2600|158.8350|159.8300|853254|0.9900|0.4300|0.0050|BULLISH
QCOM|2025-09-08 15:30|159.8000|160.1200|159.5000|159.7600|405131|0.0400|0.3200|0.2600|BEARISH
QCOM|2025-09-08 16:30|159.7750|159.7750|158.9750|159.3150|378646|0.4600|0.0000|0.3400|BEARISH
QCOM|2025-09-08 17:30|159.3300|159.8400|158.8415|159.8200|408570|0.4900|0.0200|0.4885|BULLISH
QCOM|2025-09-08 18:30|159.8600|159.8800|158.9100|159.4800|714634|0.3800|0.0200|0.5700|BEARISH
QCOM|2025-09-08 19:30|159.4900|160.2900|159.4500|160.2790|1055432|0.7890|0.0110|0.0400|BULLISH
QCOM|2025-09-09 13:30|160.4600|161.6000|159.6600|160.3150|852841|0.1450|1.1400|0.6550|BEARISH
QCOM|2025-09-09 14:30|160.2600|160.2850|158.7800|159.9050|925295|0.3550|0.0250|1.1250|BEARISH
QCOM|2025-09-09 15:30|159.9000|160.1600|159.3758|159.7350|358737|0.1650|0.2600|0.3592|BEARISH
