Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SCHW|2025-09-02 13:30|95.3500|95.5200|94.0400|95.3200|1745774|0.0300|0.1700|1.2800|BEARISH
SCHW|2025-09-02 14:30|95.3200|95.7700|95.3100|95.5300|1105237|0.2100|0.2400|0.0100|BULLISH
SCHW|2025-09-02 15:30|95.5200|95.5200|94.9200|95.0500|692672|0.4700|0.0000|0.1300|BEARISH
SCHW|2025-09-02 16:30|95.0500|95.4600|95.0400|95.3700|471106|0.3200|0.0900|0.0100|BULLISH
SCHW|2025-09-02 17:30|95.3750|95.6846|95.3400|95.4900|392811|0.1150|0.1946|0.0350|BULLISH
SCHW|2025-09-02 18:30|95.4900|95.8100|95.3600|95.7650|517216|0.2750|0.0450|0.1300|BULLISH
SCHW|2025-09-02 19:30|95.7600|96.1100|95.7450|96.0800|1021195|0.3200|0.0300|0.0150|BULLISH
SCHW|2025-09-03 13:30|96.2100|96.5400|95.8650|96.2550|1047454|0.0450|0.2850|0.3450|BULLISH
SCHW|2025-09-03 14:30|96.2600|96.6150|96.1700|96.2300|687234|0.0300|0.3550|0.0600|BEARISH
SCHW|2025-09-03 15:30|96.2400|96.3300|95.8600|95.8950|583653|0.3450|0.0900|0.0350|BEARISH
SCHW|2025-09-03 16:30|95.9000|95.9150|95.4200|95.4770|679792|0.4230|0.0150|0.0570|BEARISH
SCHW|2025-09-03 17:30|95.4600|95.6200|95.2600|95.4900|586689|0.0300|0.1300|0.2000|BULLISH
SCHW|2025-09-03 18:30|95.4850|95.7500|95.3400|95.6100|708260|0.1250|0.1400|0.1450|BULLISH
SCHW|2025-09-03 19:30|95.6150|96.2200|95.6150|96.2000|1240971|0.5850|0.0200|0.0000|BULLISH
SCHW|2025-09-04 13:30|96.8700|97.1300|96.2100|97.0000|1151041|0.1300|0.1300|0.6600|BULLISH
SCHW|2025-09-04 14:30|97.0100|97.1700|96.8950|97.0900|777386|0.0800|0.0800|0.1150|BULLISH
