Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SPGI|2025-09-02 13:30|543.6300|544.4700|540.4300|542.3600|172624|1.2700|0.8400|1.9300|BEARISH
SPGI|2025-09-02 14:30|541.9550|542.6600|540.0900|540.2750|112153|1.6800|0.7050|0.1850|BEARISH
SPGI|2025-09-02 15:30|540.2000|540.2000|537.8500|537.8500|111852|2.3500|0.0000|0.0000|BEARISH
SPGI|2025-09-02 16:30|537.8100|539.8600|537.4500|539.7900|62049|1.9800|0.0700|0.3600|BULLISH
SPGI|2025-09-02 17:30|539.7300|540.8100|539.7100|539.8000|56244|0.0700|1.0100|0.0200|BULLISH
SPGI|2025-09-02 18:30|539.9300|540.0900|537.9950|538.1050|84810|1.8250|0.1600|0.1100|BEARISH
SPGI|2025-09-02 19:30|538.1000|540.0400|538.0950|539.4400|203894|1.3400|0.6000|0.0050|BULLISH
SPGI|2025-09-03 13:30|538.1100|539.5480|536.3250|539.2100|110164|1.1000|0.3380|1.7850|BULLISH
SPGI|2025-09-03 14:30|538.9100|542.2900|538.9000|540.1250|98038|1.2150|2.1650|0.0099|BULLISH
SPGI|2025-09-03 15:30|540.1250|540.3600|538.3900|539.3600|54954|0.7650|0.2350|0.9700|BEARISH
SPGI|2025-09-03 16:30|539.3600|539.3600|537.5100|537.5100|55346|1.8500|0.0000|0.0000|BEARISH
SPGI|2025-09-03 17:30|537.5200|537.8500|536.1600|537.1700|58374|0.3500|0.3300|1.0100|BEARISH
SPGI|2025-09-03 18:30|537.1250|537.1250|535.8300|536.8150|68202|0.3100|0.0000|0.9850|BEARISH
SPGI|2025-09-03 19:30|536.8150|539.7300|536.8150|539.2600|156366|2.4450|0.4700|0.0000|BULLISH
SPGI|2025-09-04 13:30|541.9800|543.7300|540.3000|542.3700|189472|0.3900|1.3600|1.6800|BULLISH
SPGI|2025-09-04 14:30|542.3700|542.6700|541.0400|541.7600|123914|0.6100|0.3000|0.7200|BEARISH
SPGI|2025-09-04 15:30|541.8150|542.4225|539.6000|539.7300|103548|2.0850|0.6075|0.1300|BEARISH
SPGI|2025-09-04 16:30|539.6500|539.8600|538.5700|539.3900|74941|0.2600|0.2100|0.8200|BEARISH
SPGI|2025-09-04 17:30|539.2700|540.2100|538.5700|538.7500|50995|0.5200|0.9400|0.1800|BEARISH
SPGI|2025-09-04 18:30|538.7500|539.7400|538.5300|538.7900|95866|0.0400|0.9500|0.2200|BULLISH
SPGI|2025-09-04 19:30|538.7300|540.5699|538.3700|540.2600|164194|1.5300|0.3099|0.3600|BULLISH
SPGI|2025-09-05 13:30|542.8700|543.1800|533.8300|535.7500|122759|7.1200|0.3100|1.9200|BEARISH
SPGI|2025-09-05 14:30|535.2100|535.7800|532.5200|535.7650|108824|0.5550|0.0150|2.6900|BULLISH
SPGI|2025-09-05 15:30|535.5000|536.9400|535.3800|536.2515|94888|0.7515|0.6885|0.1200|BULLISH
SPGI|2025-09-05 16:30|536.1300|537.1850|535.8100|536.1100|50089|0.0200|1.0550|0.3000|BEARISH
SPGI|2025-09-05 17:30|536.1550|536.1900|534.7500|535.9450|78078|0.2100|0.0350|1.1950|BEARISH
SPGI|2025-09-05 18:30|536.0400|538.2461|535.9950|537.9000|74920|1.8600|0.3461|0.0450|BULLISH
SPGI|2025-09-05 19:30|537.8100|538.0800|536.8800|538.0000|148166|0.1900|0.0800|0.9300|BULLISH
