Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TGT|2025-09-02 13:30|95.1300|95.3600|93.2200|93.3200|2628683|1.8100|0.2300|0.1000|BEARISH
TGT|2025-09-02 14:30|93.3100|93.4600|92.7400|92.9250|1693855|0.3850|0.1500|0.1850|BEARISH
TGT|2025-09-02 15:30|92.9100|93.0100|92.5900|92.6800|1774306|0.2300|0.1000|0.0900|BEARISH
TGT|2025-09-02 16:30|92.6950|92.7700|92.2800|92.3217|1121363|0.3733|0.0750|0.0417|BEARISH
TGT|2025-09-02 17:30|92.3150|92.5200|92.1500|92.2400|1195157|0.0750|0.2050|0.0900|BEARISH
TGT|2025-09-02 18:30|92.2350|92.4100|91.9200|92.3850|1527763|0.1500|0.0250|0.3150|BULLISH
TGT|2025-09-02 19:30|92.3800|92.5800|92.1200|92.4500|1928361|0.0700|0.1300|0.2600|BULLISH
TGT|2025-09-03 13:30|92.5000|92.6000|91.6870|91.9100|1474005|0.5900|0.1000|0.2230|BEARISH
TGT|2025-09-03 14:30|91.9000|92.1000|91.7300|91.9315|925123|0.0315|0.1685|0.1700|BULLISH
TGT|2025-09-03 15:30|91.9300|92.3500|91.8550|92.2100|2545705|0.2800|0.1400|0.0750|BULLISH
TGT|2025-09-03 16:30|92.2100|92.8600|92.2100|92.6200|786106|0.4100|0.2400|0.0000|BULLISH
TGT|2025-09-03 17:30|92.6200|92.7250|92.0363|92.4150|492882|0.2050|0.1050|0.3787|BEARISH
TGT|2025-09-03 18:30|92.4150|92.7150|92.1250|92.4250|615174|0.0100|0.2900|0.2900|BULLISH
TGT|2025-09-03 19:30|92.4250|92.5500|92.2900|92.3700|957832|0.0550|0.1250|0.0800|BEARISH
TGT|2025-09-04 13:30|92.7400|93.2900|92.2800|92.7374|1050609|0.0026|0.5500|0.4574|BEARISH
TGT|2025-09-04 14:30|92.7400|92.9000|92.3000|92.5488|653270|0.1912|0.1600|0.2488|BEARISH
TGT|2025-09-04 15:30|92.5427|93.0200|92.3800|92.9100|793452|0.3673|0.1100|0.1627|BULLISH
TGT|2025-09-04 16:30|92.9200|93.0309|92.5490|92.6300|370076|0.2900|0.1109|0.0810|BEARISH
TGT|2025-09-04 17:30|92.6200|92.8300|92.3800|92.6610|603657|0.0410|0.1690|0.2400|BULLISH
TGT|2025-09-04 18:30|92.6700|92.7100|92.3800|92.5000|703296|0.1700|0.0400|0.1200|BEARISH
TGT|2025-09-04 19:30|92.4950|92.7500|92.4050|92.6800|1091936|0.1850|0.0700|0.0900|BULLISH
TGT|2025-09-05 13:30|92.7800|93.9500|92.5000|92.7600|1343335|0.0200|1.1700|0.2600|BEARISH
TGT|2025-09-05 14:30|92.7500|93.1150|92.4500|92.9100|620277|0.1600|0.2050|0.3000|BULLISH
TGT|2025-09-05 15:30|92.9050|93.1700|92.7700|92.8900|358124|0.0150|0.2650|0.1200|BEARISH
TGT|2025-09-05 16:30|92.9000|92.9700|92.5850|92.6900|324622|0.2100|0.0700|0.1050|BEARISH
TGT|2025-09-05 17:30|92.7000|93.4200|92.7000|93.0650|409679|0.3650|0.3550|0.0000|BULLISH
TGT|2025-09-05 18:30|93.0600|93.4250|93.0600|93.1650|490107|0.1050|0.2600|0.0000|BULLISH
TGT|2025-09-05 19:30|93.1790|93.2700|92.9800|93.1900|651241|0.0110|0.0800|0.1990|BULLISH
TGT|2025-09-08 13:30|93.2100|93.4432|91.3500|91.4950|1814629|1.7150|0.2332|0.1450|BEARISH
TGT|2025-09-08 14:30|91.4950|91.7500|91.4000|91.5700|1109917|0.0750|0.1800|0.0950|BULLISH
TGT|2025-09-08 15:30|91.5600|91.7400|91.4402|91.6500|1021627|0.0900|0.0900|0.1198|BULLISH
TGT|2025-09-08 16:30|91.6600|91.7550|91.3350|91.5650|798725|0.0950|0.0950|0.2300|BEARISH
TGT|2025-09-08 17:30|91.5500|91.6500|91.3450|91.6400|988928|0.0900|0.0100|0.2050|BULLISH
TGT|2025-09-08 18:30|91.6500|91.7800|91.4200|91.4999|862455|0.1501|0.1300|0.0799|BEARISH
TGT|2025-09-08 19:30|91.4950|91.7100|91.4600|91.5000|1651367|0.0050|0.2100|0.0350|BULLISH
TGT|2025-09-09 13:30|91.6500|91.8600|90.2700|90.8100|1789199|0.8400|0.2100|0.5400|BEARISH
TGT|2025-09-09 14:30|90.8224|90.8450|90.4550|90.7350|773678|0.0874|0.0226|0.2800|BEARISH
TGT|2025-09-09 15:30|90.7400|90.9000|90.4684|90.5900|603937|0.1500|0.1600|0.1216|BEARISH
TGT|2025-09-09 16:30|90.5890|90.7450|90.5150|90.6450|422145|0.0560|0.1000|0.0740|BULLISH
TGT|2025-09-09 17:30|90.6500|90.7300|90.4250|90.5850|599330|0.0650|0.0800|0.1600|BEARISH
TGT|2025-09-09 18:30|90.6000|90.7000|90.2600|90.3650|1007322|0.2350|0.1000|0.1050|BEARISH
TGT|2025-09-09 19:30|90.3700|90.9800|90.2200|90.9050|1337085|0.5350|0.0750|0.1500|BULLISH
TGT|2025-09-10 13:30|90.6625|91.4000|90.3901|90.6710|1135928|0.0085|0.7290|0.2724|BULLISH
TGT|2025-09-10 14:30|90.6700|90.8150|90.0400|90.7500|881014|0.0800|0.0650|0.6300|BULLISH
TGT|2025-09-10 15:30|90.7500|90.8100|90.4600|90.4600|440531|0.2900|0.0600|0.0000|BEARISH
TGT|2025-09-10 16:30|90.4738|90.7100|90.2000|90.4300|413672|0.0438|0.2362|0.2300|BEARISH
TGT|2025-09-10 17:30|90.4400|90.6400|90.3201|90.5600|398932|0.1200|0.0800|0.1199|BULLISH
TGT|2025-09-10 18:30|90.5600|90.8100|90.5400|90.6164|393607|0.0564|0.1936|0.0200|BULLISH
TGT|2025-09-10 19:30|90.6200|90.8700|90.4900|90.7900|944028|0.1700|0.0800|0.1300|BULLISH
TGT|2025-09-11 13:30|90.8700|92.2500|90.7900|91.5100|1276843|0.6400|0.7400|0.0800|BULLISH
TGT|2025-09-11 14:30|91.5150|91.8400|91.1264|91.3050|677287|0.2100|0.3250|0.1786|BEARISH
TGT|2025-09-11 15:30|91.3200|91.3800|91.1100|91.3100|528239|0.0100|0.0600|0.2000|BEARISH
TGT|2025-09-11 16:30|91.3000|91.6100|91.1400|91.5555|887843|0.2555|0.0545|0.1600|BULLISH
TGT|2025-09-11 17:30|91.5600|91.8700|91.4100|91.6362|3788162|0.0762|0.2338|0.1500|BULLISH
TGT|2025-09-11 18:30|91.6300|91.7600|91.4900|91.5600|539970|0.0700|0.1300|0.0700|BEARISH
TGT|2025-09-11 19:30|91.5800|91.6200|91.2500|91.5050|835408|0.0750|0.0400|0.2550|BEARISH
TGT|2025-09-12 13:30|91.3000|91.4200|90.5900|90.7600|1038304|0.5400|0.1200|0.1700|BEARISH
TGT|2025-09-12 14:30|90.7700|90.8600|90.6400|90.6515|603781|0.1185|0.0900|0.0115|BEARISH
TGT|2025-09-12 15:30|90.6800|90.7100|90.0300|90.1100|780735|0.5700|0.0300|0.0800|BEARISH
TGT|2025-09-12 16:30|90.1198|90.2700|90.0400|90.1900|534703|0.0702|0.0800|0.0798|BULLISH
TGT|2025-09-12 17:30|90.2000|90.3800|90.0700|90.1600|618708|0.0400|0.1800|0.0900|BEARISH
TGT|2025-09-12 18:30|90.1601|90.3565|90.1000|90.1000|630056|0.0601|0.1964|0.0000|BEARISH
TGT|2025-09-12 19:30|90.1100|90.1900|90.0000|90.0000|1217090|0.1100|0.0800|0.0000|BEARISH
TGT|2025-09-15 13:30|90.0950|90.1900|88.8600|88.9350|2004715|1.1600|0.0950|0.0750|BEARISH
TGT|2025-09-15 14:30|88.9500|89.2800|88.7500|88.8290|1638771|0.1210|0.3300|0.0790|BEARISH
TGT|2025-09-15 15:30|88.8300|88.8500|88.5700|88.8200|1092555|0.0100|0.0200|0.2500|BEARISH
TGT|2025-09-15 16:30|88.8000|89.1600|88.7700|88.8950|842611|0.0950|0.2650|0.0300|BULLISH
TGT|2025-09-15 17:30|88.8900|89.2700|88.8500|88.9200|649368|0.0300|0.3500|0.0400|BULLISH
TGT|2025-09-15 18:30|88.9300|89.0700|88.6701|88.7100|790114|0.2200|0.1400|0.0399|BEARISH
TGT|2025-09-15 19:30|88.7200|88.7200|88.4400|88.5500|1425885|0.1700|0.0000|0.1100|BEARISH
TGT|2025-09-16 13:30|88.9300|89.7900|88.5700|88.8600|1532709|0.0700|0.8600|0.2900|BEARISH
TGT|2025-09-16 14:30|88.8750|89.2600|88.8750|89.1300|833933|0.2550|0.1300|0.0000|BULLISH
TGT|2025-09-16 15:30|89.1200|89.4800|89.0000|89.0400|704405|0.0800|0.3600|0.0400|BEARISH
TGT|2025-09-16 16:30|89.0600|89.4250|89.0300|89.3400|543982|0.2800|0.0850|0.0300|BULLISH
TGT|2025-09-16 17:30|89.3416|89.4200|89.1600|89.2950|341952|0.0466|0.0784|0.1350|BEARISH
TGT|2025-09-16 18:30|89.2900|89.5900|89.2750|89.4250|724722|0.1350|0.1650|0.0150|BULLISH
TGT|2025-09-16 19:30|89.4300|89.7900|89.4300|89.7100|1193147|0.2800|0.0800|0.0000|BULLISH
TGT|2025-09-17 13:30|89.8400|90.5596|89.5600|89.8503|1454547|0.0103|0.7093|0.2800|BULLISH
TGT|2025-09-17 14:30|89.8551|90.4251|89.7950|90.2000|909736|0.3449|0.2251|0.0601|BULLISH
TGT|2025-09-17 15:30|90.1900|90.4200|90.0000|90.1500|704586|0.0400|0.2300|0.1500|BEARISH
